"","Combined"
"387","NCT05179057_Phase 3, Randomized, Double-Blind, Placebo-Controlled Trial, With Cross-Over, of Posoleucel (ALVR105) for the Treatment of Adenovirus Infection in Pediatric and Adult Participants Receiving Standard of Care Following Allogeneic Hematopoietic Cell Transplantation_This study will assess the safety and efficacy of Posoleucel for the treatment of adenovirus (AdV) infection in pediatric and adult allo-HCT recipients receiving standard of care (SoC)._All_N/A_N/A_Inclusion Criteria:~Undergone allogeneic cell transplantation ≥21 days prior to dosing~Meet one of the below criteria:~AdV viremia DNA ≥10,000 copies/mL, OR~AdV viremia DNA results of ≥1,000 copies/mL, AND~has absolute lymphocyte count <180/mm3, OR~has received T cell depletion OR~had a cord blood transplant.~Exclusion Criteria:~Grade 3 or higher acute GVHD~Ongoing therapy with high-dose systemic corticosteroids~Uncontrolled viral (other than AdV), bacterial, or fungal infection(s)~Pregnant or lactating female unwilling to discontinue nursing prior to randomization~History of severe prior reactions to blood product transfusions~NOTE: Other protocol-defined inclusion/exclusion criterion may apply."
"388","NCT04970654_A Trial Comparing the Efficacy and Safety of Once Weekly Dosing of Somapacitan With Daily Norditropin® in Chinese Children With Growth Hormone Deficiency_The study compares two medicines for children with a low level of hormone to grow: somapacitan (a new medicine) given once a week and Norditropin® (a medicine doctors can already prescribe) given once a day. Researchers will test somapacitan to see how well it works, compared to the standard treatment with Norditropin®. The participants will either get Norditropin® once every day or somapacitan once every week - which treatment the participant gets is decided by chance. The participant and the study doctor will know which treatment the participant gets. The study includes a 52 week treatment period and a minimum of 30 days follow up period._All_N/A_N/A_Inclusion Criteria:~Informed consent of parent or legally acceptable representative of participant and child assent, as age-appropriate must be obtained before any trial related activities~The parent or legally acceptable representative of the child must sign and date the Informed consent form (according to local requirements)~The child must sign and date child assent form or provide oral assent (if required according to local requirements)~Prepubertal children: a) Boys: Age more than or equal to 2 years and 26 weeks and less than or equal to 11.0 years at the time of signing informed consent.~Testis volume less than 4 ml. b) Girls: Age more than or equal to 2 years and 26 weeks and less than or equal to 10.0 years at the time of signing informed consent. Tanner stage 1 for breast development (no palpable glandular breast tissue)~Confirmed diagnosis of growth hormone deficiency determined by two different growth hormone stimulation tests performed within 12 months prior to randomisation, defined as a peak growth hormone level of less than or equal to 10.0 ng/ml using the WHO International Somatropin 98/574 standard~If only one growth hormone stimulation test is available before screening, then confirmation of growth hormone deficiency by second and different growth hormone stimulation test must be done~For children with at least 2 additional pituitary hormone deficiencies (other than growth hormone deficiency) only one growth hormone stimulation test is needed~Impaired height defined as at least 2.0 standard deviations below the mean height for chronological age and gender according to Chinese general population standards at screening~Impaired height velocity defined as annualised height velocity at screening less than 7cm/year for subjects between 2.5 and 3 years old and less than 5 cm/year for subjects from 3 years and above calculated over a time span of minimum 3 months and maximum 18 months prior to screening according to Chinese guideline and expert consensus on children with short stature and GH therapy~No prior exposure to growth hormone therapy or IGF-I treatment~Bone age less than chronological age at screening~Body Mass Index more than 5th and less than 95th percentile, Body Mass Index-for-age growth charts according to Chinese general population standards.~IGF-I < -1.0 SDS at screening, compared to age and gender normalized range measured at central laboratory~No intracranial tumour confirmed by magnetic resonance imaging or computer tomography scan. An image or scan taken within 9 months prior to screening can be used as screening data if the medical evaluation and conclusion is available~Exclusion Criteria:~Known or suspected hypersensitivity to trial product(s) or related products.~Previous participation in this trial. Participation is defined as randomisation.~Receipt of any investigational medicinal product within 3 months before screening or participation in another clinical trial before randomisation~Any known or suspected clinically significant abnormality likely to affect growth or the ability to evaluate growth with standing height measurements:~Turner Syndrome (including mosaicisms)~Chromosomal aneuploidy and significant gene mutations causing medical syndromes with short stature, including but not limited to Laron syndrome, Noonan syndrome, Prader-Willi Syndrome, abnormal SHOX-1 gene analysis or absence of GH receptors~Significant spinal abnormalities including but not limited to scoliosis, kyphosis and spina bifida variants~Congenital abnormalities (causing skeletal abnormalities), including but not limited to Russell-Silver Syndrome or skeletal dysplasias~Family history of skeletal dysplasia~Children born small for gestational age (birth weight 10th percentile of the recommended gender-specific birth weight for gestational age according to national standards in China5~Children diagnosed with diabetes mellitus or screening values from central laboratory of~fasting plasma glucose more than or equal to 126 mg/dl (7.0 mmol/L) or~HbA1c more than or equal to 6.5 %~Current inflammatory diseases requiring systemic corticosteroid treatment for longer than 2 consecutive weeks within the last 3 months prior to screening~Children requiring inhaled glucocorticoid therapy at a dose greater than 400 µg/day of inhaled budesonide or equivalents for longer than 4 consecutive weeks within the last 12 months prior to screening~Concomitant administration of other treatments that may have an effect on growth, e.g. but not limited to methylphenidate for treatment of attention deficit hyperactivity disorder (ADHD)~Diagnosis of attention deficit hyperactivity disorder~Prior history or presence of malignancy including intracranial tumours~Prior history or known presence of active Hepatitis B or Hepatitis C (exceptions to this exclusion criterion is the presence of antibodies due to vaccination against Hepatitis B)~Any clinically significant abnormal laboratory screening tests, as judged by the study doctor~Any disorder which, in the opinion of the study doctor, might jeopardise Participant's safety or compliance with the protocol~The participant or the parent/legally acceptable representative is likely to be non-compliant in respect to trial conduct, as judged by the study doctor~Children with hypothyroidism and/or adrenal insufficiency not on adequate and stable replacement therapy for at least 90 days prior to randomisation."
"389","NCT00251823_The Safety and Efficacy of Eptifibatide-Facilitated Percutaneous Coronary Angioplasty Versus Primary Percutaneous Coronary Angioplasty Alone_Rationale:~ST-elevation myocardial infarction (STEMI) is usually triggered by rupture of an atherosclerotic plaque that then accumulates platelets and fibrin and leads to an occlusive coronary thrombus. Clinical benefits obtained with revascularization of the infarct related artery (IRA) depend on the achievement of four goals:~Early reperfusion~Full restoration of normal flow in the epicardial vessels~Full restoration of flow in the microcirculation, and~Preservation of myocardial function.~Reperfusion of the IRA can be achieved pharmacologically with intravenous thrombolytic agents, or mechanically with percutaneous coronary intervention (PCI). In Canada, thrombolysis is the current standard of care in most hospitals, although there is mounting evidence that primary PCI is superior, and many Canadian centres are shifting towards this strategy. To offer primary PCI to community hospitals without on site cardiac catheterization facilities, regional programs need to be present that allow rapid transfer to invasive centers that offer this procedure round-the-clock.~Recent evidence suggests that angiographic and clinical results with primary PCI could be further enhanced by facilitation with a pharmacological treatment given prior to the procedure. The present proposal plans to examine the safety and efficacy of eptifibatide to facilitate coronary angioplasty in STEMI in patients who present to centres with and without on-site catheterization facilities.~The primary outcome measure will be a composite clinical endpoint including death, recurrent myocardial infarction, recurrent unstable ischemia, or stroke, at 30 days.~Secondary endpoints include the percent thrombolysis in myocardial infarction (TIMI) grade 3 coronary flow after the PCI, myocardial perfusion score, individual clinical outcomes as listed for the primary endpoint, resolution of ST-segment elevation, requirement for subsequent revascularization, frequency of congestive heart failure (CHF), cardiogenic shock, and Canadian Cardiovascular Society (CCS) angina class._All_N/A_N/A_Inclusion Criteria:~Ischemic chest discomfort of 30 minutes duration~Onset of chest pain 12 hours prior to entry into the study~ST segment elevation of > 1 mm (0.1 mV) in two or more contiguous electrocardiographic leads (on a standard 12 lead electrocardiogram [ECG]), or left bundle branch block not known to be old~Exclusion Criteria:~Active bleeding~History of stroke within 90 days or any intracranial bleed.~Major surgery or trauma within the past 6 weeks~Uncontrolled hypertension (systolic blood pressure [SBP] 200 mm Hg and/or diastolic blood pressure [DBP] 110 mm Hg despite treatment)~Prolonged (> 10 minutes) cardiopulmonary resuscitation~Inadequate vascular access~PCI within the last 30 days~Thrombolytic agents within the preceding 7 days~Concurrent use of warfarin~A blood coagulation disorder (i.e. international normalized ratio [INR] > 2.0, platelet count < 100,000/mm3, or hematocrit < 30%)~Intolerance to aspirin or clopidogrel~A subcutaneous therapeutic dose of any low molecular weight heparin (LMWH) within 12 hours~Known severe contrast allergy~Other medical condition that is likely to result in death within 12 months~Participation in a study or another investigational device or drug trial within the past four weeks~Pregnancy~Known severe renal impairment (creatinine > 200 mole/l)~Sustained hypotension, systolic blood pressure < 80 mm Hg, or the need for intravenous (IV) inotropes and/or intraaortic balloon counterpulsation to support the blood pressure~Inability to provide informed consent"
"390","NCT05201144_A Trial of Phosphodiesterase-5 Inhibitor in Neonatal Congenital Diaphragmatic Hernia (TOP-CDH)_Congenital diaphragmatic hernia (CDH) occurs in approximately 1 in 3000 US live births, similar to the incidence seen within the Utah Birth Defects cohort. The diaphragmatic defect compromises lung growth and alters pulmonary vascular development. This is reflected postnatally as respiratory failure, pulmonary hypertension (PH) and overall cardiopulmonary dysfunction, particularly post-repair. Currently, optimal management of post-repair PH remains poorly investigated. Sildenafil citrate is a highly selective phosphodiesterase-5 inhibitor that increases cGMP levels, leading to smooth muscle relaxation and an anti-proliferative effect within the pulmonary vasculature. It is used off-label for many neonatal PH disorders, including PH associated with bronchopulmonary dysplasia and idiopathic persistent PH. Most neonates with CDH born within the Mountain West referral basin are managed at a quaternary care center, Primary Children's Hospital (PCH). Of these neonates with PH, approximately 25% have been treated with off-label sildenafil. However, neither the PCH clinical care group nor others have developed/published a standardized approach for either initiating or discontinuing sildenafil therapy in this group of patients. Thus, the aim of this study is to assess the safety and effectiveness of sildenafil therapy for PH in neonates with CDH within the Utah cohort. Given the relatively short-term outcome and small sample size for this trial, the plan is to use this data to support a larger multicenter randomized trial targeting long-term cardiopulmonary outcomes of infants with CDH and post-repair PH._All_N/A_N/A_Inclusion Criteria:~Infants admitted to PCH NICU~Diagnosis of congenital diaphragmatic hernia (CDH)~Status post-surgical repair of diaphragmatic defect~Has an echocardiogram 48-72 hours after repair with left ventricular eccentricity index (LVEI) ≥ 1.4~Parental consent obtained within 24 hours after the above echocardiogram~Exclusion Criteria:~Infants with CDH who do not undergo surgical repair~Does not have an echocardiogram 48-72 hours post-repair~Has LVEI < 1.4 on above echocardiogram~Has concurrent severe congenital heart defect that requires neonatal cardiac repair~Has a documented sildenafil allergy~Concurrent therapy with fluconazole at time of study drug initiation~Inability to obtain parental consent within 24 hours of the echocardiogram~Receiving extracorporeal membrane oxygenation (ECMO) at the time of the study"
"391","NCT03113760_Multicenter, Double-blind, Placebo-controlled, Randomized Withdrawal Trial With Tadekinig Alfa (r-hIL-18BP) in Patients With IL-18 Driven Monogenic Autoinflammatory Conditions: NLRC4 Mutation and XIAP Deficiency_This is a Phase 3 study to assess the safety and efficacy of Tadekinig alfa in patients with monogenic, interleukin-18 (IL 18) driven autoinflammation due to Nucleotide-binding oligomerization domain, leucine-rich repeat and caspase recruiting domain (CARD domain) containing 4 (NLRC4) - Macrophage activation syndrome (MAS) mutation (NLRC4-MAS mutation) or X-linked inhibitor of apoptosis (XIAP) deficiency. Because of the likelihood for pathogenic IL-18 in certain monogenic diseases, patients known to harbor deleterious mutations in NLRC4-MAS or XIAP and who have a history of ongoing inflammation will be enrolled if they have ferritin ≥ 500 ng/mL or persistent C reactive protein (CRP) elevation ≥ 2 times the upper limit of normal (ULN) and the patients should have a Modified Autoinflammatory Disease Activity Index (mAIDAI) ≥ 4._All_N/A_N/A_INCLUSION CRITERIA~Patients with genetic diagnosis of NLRC4-MAS mutation or XIAP deficiency (caused by BIRC4 gene mutation) as confirmed by analysis performed at the central genetics laboratory. If possible, flow cytometry assay will be performed in parallel to confirm diagnosis of XIAP deficiency. (Note: Previous flow cytometry assay results will be permitted for confirmation of XIAP deficiency diagnosis.)~Patients with XIAP deficiency and a previous bone marrow transplantation are allowed, if they show evidence of primary or secondary graft failure, or failure to achieve phenotypic correction with evidence of XIAP-related disease recurrence or clinically significant mixed chimerism.~Ferritin ≥ 500 ng/mL or persistent elevation of CRP ≥ 2x ULN and mAIDAI ≥4~Patients receiving corticosteroids, non-steroidal anti-inflammatory drugs (NSAIDs) or disease modifying anti-rheumatic drugs (DMARDs), and/or IL-1 blockade with insufficient response to treatment upon enrollment are allowed into the study. Patients not receiving any of these treatments before start of therapy are also allowed.~Women of childbearing potential with negative urine pregnancy test (UPT) at all visits (if UPT is positive, a blood test for human chorionic gonadotropin (hCG) to be performed) and who agree to follow highly effective birth control recommendations during the study and until 1 month after the end of the treatment. Birth control methods considered highly effective are: combined (estrogen and progestogen containing) hormonal contraception associated with inhibition of ovulation, progestogen-only hormonal contraception associated with inhibition of ovulation, intrauterine device (IUD), intrauterine hormone-releasing system (IUS), bilateral tubal occlusion, vasectomized partner or sexual abstinence. In each case of delayed menstrual period (over one month between menstruations, confirmation of absence of pregnancy is strongly recommended. This recommendation also applies to women of childbearing potential with infrequent or irregular menstrual cycles. A post-study contraception duration of 4 weeks is recommended taking into account the median half-life of Tadekinig alfa of almost 40h and 5 half-lives representing a duration of 200 hours.~EXCLUSION CRITERIA~Patients with life-threatening co-morbidities not associated with the underlying NLRC4-mutation or XIAP deficiency~Positive test for or prior history of HIV, Hepatitis B or Hepatitis C (serology)~Presence of active infections or a history of pulmonary TB infection with or without documented adequate therapy~Presence of life threatening infections~Oncologic causes of symptoms; current or previous history of malignancy~Presence of CNS manifestations (i.e. seizures, altered mental status, signs of increased intracranial pressure, chronic papilledema, loss of vision, other sensorineural deficiencies, etc.)~Patients suffering from biallelic mutations in any of the following genes: PRF1/Perforin, UNC13D/Munc 13-4, STX11/Syntaxin11, STXB2/Munc 18-2, RAB27A/Rab27a (Griscelli syndrome type 2), LYST (Chediak-Higashi syndrome), AP3B1, ADTB3A, HPS2 mutations (Hermansky-Pudlak syndrome 2) and X-linked lymphoproliferative syndrome (XLP)-1 with SH2D1A mutation~Patients who are pregnant or nursing, women of childbearing potential who are unwilling to use highly effective birth control methods (see definition in Inclusion Criteria above) through 4 weeks after the end of their participation in the study~Concomitant use of immunosuppression therapies excluded by the protocol. Note: NSAIDs, glucocorticoids, cyclosporine, tacrolimus, and IL-1 inhibitors (anakinra, canakinumab, or rilonacept, or others) are allowed~Patients and/or parents (or legal representative, if applicable) not willing to sign assent/informed consent~Hypersensitivity to the active substance or one of the excipients of the investigational product"
"392","NCT00572377_Safety and Efficacy of Alprostadil (FemLife Gel) in the Treatment of Female Sexual Arousal Disorder_Female sexual arousal disorder (FSAD) is a frequent finding in women in middle age and more prevalent in post-menopausal women. Topical alprostadil is currently under development for the treatment of FSAD. The purpose of this research is to determine if this formula of alprostadil is safe and effective in women with FSAD. We will be comparing alprostadil to placebo. Each participant will be treated for 1 month with active alprostadil and 1 month with placebo without knowing which they are using. This way, the investigators can compare the effects of alprostadil to the effects of an inactive topical gel.~Post-menopausal women with FSAD will be recruited. The women interested in participating in the study will first meet with investigators and answer questions to make sure they are eligible for the study and fit the diagnosis of FSAD.~Once enrolled, subjects will fill out questionnaires about their medical history, social history, and psychosocial history. They will also undergo medical examination. At this introductory research visit they will fill out baseline questionnaires, give medical history, undergo physical exam and have blood drawn. The informed consent will be reviewed and will be signed by the participant at this time.~The subject will then return for the 1st treatment visit at which time vital signs like blood pressure and heart rate will be taken, external genitalia will be examined and study drug will be dispensed after randomly being assigned to either alprostadil or placebo. After instruction, the subject will use first dose in the clinic and be monitored for 2 hours looking for changes in vital signs or local genitalia reaction. If no problems are noted, subject will be sent home with study drug and Female Sexual Encounter Profile Cards (FSEP). The patient will fill out these cards with each sexual encounter. After 1 week patient will be contacted by phone and asked about side effects or concerns. After 4 weeks the subject will return for another study visit at which time FSEP cards and left over study drug will be collected, questionnaires will be filled out, labs will be drawn and subject will undergo exam of external genitalia. The subject will then be sent home for a 2 week washout period.~The subject will return after this 2 week period with no study medication; she will then return and the above process will be repeated with either alprostadil or placebo (whichever she did not receive the first time)._Female_N/A_N/A_Inclusion Criteria:~FSAD based on American Foundation for Urological Disease Consensus Panel definition~Post-menopausal by WISE criteria or proof of bilateral oophorectomy.~FSAD for at least 6 months.~History of self reported normal sexual arousal and/or orgasm in the past.~Documentation of a normal PAP smear and pelvic exam within the past year.~Women may be on hormone replacement therapy because this is a non-hormonal therapy.~Exclusion Criteria:~Primary anorgasmia, vaginismus, sexual pain or sexual arousal disorder.~History of unresolved sexual trauma or abuse.~Endocrine disorders~Chronic UTI, vaginal infection, pelvic inflammatory disease, or dyspareunia within the preceding 12 months.~STI~Clinically significant renal, hepatic, neurologic, or cardiac disease in the preceding 6 months.~Male partner with impotence.~Depression or other mood disorder."
"393","NCT02822599_The Role of Human Fibrinogen Concentrate (RiaSTAP) in Decreasing Blood Loss and the Need for Component Blood Therapy in Infants Undergoing Cardiopulmonary Bypass._The goal of the study is to determine whether the use of Human Fibrinogen Concentrate (RiaSTAP) will decrease blood loss and the need for component blood therapy in neonates and infants undergoing cardiopulmonary bypass._All_1 Day_1 Year_Inclusion Criteria:~Neonatal and infant cardiac patients presenting for open-heart surgery at Nicklaus Children's Hospital will be eligible for enrollment in the study.~Exclusion Criteria:~Patients who fall outside of the age range for the study will be excluded. Patients known to have had an anaphylactic or severe reaction to the drug or its components will not be enrolled. At the time of the rewarming ROTEM, any patient with a FIBTEM MCF > 15mm, will be excluded."
"394","NCT00229775_Efficacy of Chloroquine + Sulfadoxine Pyrimethamine Versus Artemether + Lumefantrine for the Treatment of Uncomplicated Plasmodium Falciparum Malaria in the Philippines_The purpose of this study is to determine whether artemether + lumefantrine is as effective as chloroquine + sulfadoxine pyrimethamine in the treatment of uncomplicated Plasmodium falciparum malaria_All_N/A_N/A_Inclusion Criteria:~Weight > 10 kg;~Documented fever (axillary temperature >37.5oC) and/or a history of fever during the previous 24 hours in the absence of another obvious cause of fever (such as pneumonia, measles, otitis media);~Monoinfection with P. falciparum between 1,000 and 100,000 asexual parasites/µl as determined by microscopic examination of thick, or thick and thin peripheral blood smears;~Informed consent from the patient or parent/guardian (in the case of children),assent from child (ages 8 -17 years inclusive);~Willingness on the part of the patient to return to the clinic for regular check-ups during the 28-day follow-up period.~Exclusion Criteria:~1. Danger signs: unable to drink or breastfeed; vomiting (more than twice in the previous 24 hours); recent history of convulsions (one or more in the previous 24 hours); impaired consciousness; unable to sit or stand; 2. Severe Manifestations of P. falciparum malaria in adults and children (World Health Organization criteria)~Prostration (inability to sit unassisted [children], extreme weakness [adults])~Impaired consciousness (Blantyre coma scale [children], Glascow coma scale [adults])~Respiratory distress (sustained nasal flaring, indrawing, Kussmaul breathing)~Multiple convulsions (³2 convulsions/24 hour period)~Circulatory collapse (hypotension and poor perfusion)~Pulmonary edema~Abnormal bleeding~Jaundice~Hemoglobinuria~Severe anemia (Hb < 5 gm/dL)~Hypoglycemia (blood glucose < 2.2 mmol/L [<40 mg/dL])~Acidosis (bicarbonate <15 mmol/L)~Hyperparisitemia (level varies with endemicity)~Renal impairment (urine output < 12 mL/kg/24 hours) 3. Other underlying chronic or severe diseases (e.g., cardiac, renal, hepatic diseases, HIV/AIDS, malnutrition); 4. History of hypersensitivity reactions to any of the drugs being tested or used as alternative treatment: sulfonamides, chloroquine, artemisinins, artemether, lumefantrine, quinine or tetracycline/clindamycin; 4. Pregnancy (history of pregnancy or a positive urine pregnancy test); 5. Women who are breast feeding children less than 8 weeks of age. -"
"395","NCT00732537_Inhaled Nitric Oxide in Neonates With Elevated A-aDO2 Gradients Not Requiring Mechanical Ventilation_Inhaled nitric oxide (iNO) improves oxygenation in term infants with respiratory failure. However, iNO has been primarily used in infants receiving mechanical ventilation. This study is a pilot study to determine if iNO given into an oxygen hood is effective in improving oxygenation in term and near-term infants who have poor oxygenation but who are not yet mechanically ventilated._All_1 Hour_1 Week_Inclusion Criteria:~gestation >34 weeks at birth~age <7 days~post-ductal arterial line~an A-aDO2 of 400 to 600 on two blood gases, at least 30 minutes apart.~Exclusion Criteria:~Infants with major malformations~Infants with cardiac disease"
"396","NCT03315455_A Randomized, Multicenter, Open-Label, Phase III Clinical Trial to Evaluate the Efficacy, Safety, and Pharmacokinetics of Prophylactic Emicizumab Versus No Prophylaxis in Hemophilia A Patients_This multicenter, open-label, Phase 3 study with randomized and non-randomized arms is designed to investigate the efficacy, safety, and pharmacokinetics of emicizumab in participants with hemophilia A regardless of factor VIII (FVIII) inhibitor status. Participants greater than or equal to (≥)12 years old who received episodic therapy with FVIII or bypassing agents prior to study entry and experienced at least 5 bleeds over the prior 24 weeks will be randomized in a 2:2:1 ratio to the following regimens: Arm A: Emicizumab prophylaxis at 3 milligrams per kilogram (mg/kg) once every week (QW) subcutaneously (SC) for 4 weeks, followed by 1.5 mg/kg QW SC; Arm B: Emicizumab prophylaxis at 3 mg/kg QW SC for 4 weeks, followed by 6 mg/kg once every 4 weeks (Q4W) SC; and Arm C: No prophylaxis (control arm). In addition, pediatric participants less than (<)12 years old with hemophilia A and FVIII inhibitors who received episodic therapy with bypassing agents prior to study entry will be enrolled to Arm D: Emicizumab prophylaxis at 3 mg/kg QW SC for 4 weeks, followed by 1.5 mg/kg QW SC._All_N/A_N/A_Inclusion Criteria:~Inclusion Criteria for Arms A, B, and C:~Diagnosis of severe congenital hemophilia A or hemophilia A with FVIII inhibitors~Aged 12 years or older at the time of informed consent~Body weight ≥40 kilograms (kg) at the time of screening~Participants without FVIII inhibitors (<0.6 Bethesda unit per milliliter [BU/mL]) who completed successful immune tolerance induction (ITI) must have done so at least 5 years before screening and have no evidence of inhibitor recurrence (permanent or temporary)~Documentation of the details of episodic therapy (FVIII or bypassing agents) and of number of bleeding episodes for at least the last 24 weeks and ≥5 bleeds in the last 24 weeks prior to study entry~Adequate hematologic, hepatic, and renal function~For women of child bearing potential: agreement to remain abstinent or use a protocol defined contraceptive measure during the treatment period and for at least 5 elimination half-lives (24 weeks) after the last dose of study drug~Inclusion Criteria for Arm D:~Diagnosis of congenital hemophilia A of any severity and documented history of high-titer inhibitor (i.e., ≥5 BU/mL)~Children <12 years old at time of informed consent~Body weight >3 kg at time of informed consent~Requires treatment with bypassing agents~Adequate hematologic, hepatic, and renal function~For female participants who are of childbearing potential, follow the same contraception criteria as listed above for Arms A, B, and C~Exclusion Criteria:~Exclusion Criteria for Arms A, B, and C:~Inherited or acquired bleeding disorder other than hemophilia A~At high risk for thrombotic microangiopathy, in the investigator's judgment~History of illicit drug or alcohol abuse within 48 weeks prior to screening, in the investigator's judgment~Previous (in the past 12 months) or current treatment for thromboembolic disease (with the exception of previous catheter-associated thrombosis for which anti-thrombotic treatment is not currently ongoing) or signs of thromboembolic disease~Other conditions that may increase risk of bleeding or thrombosis~History of clinically significant hypersensitivity associated with monoclonal antibody therapies or components of the emicizumab injection~Known human immuno-deficiency virus (HIV) infection with cluster of differentiation 4 (CD4) count <200 cells/microliter (cells/mcL) within 24 weeks prior to screening. Participants with HIV infection who have CD4 >200 cells/mcL and meet all other criteria are eligible~Use of systemic immunomodulators at enrollment or planned use during the study, with the exception of anti-retroviral therapy~Concurrent disease, treatment, or abnormality in clinical laboratory tests that could interfere with the conduct of the study, may pose additional risk, or would, in the opinion of the investigator, preclude the participant's safe participation in and completion of the study~Planned surgery (excluding minor procedures such as tooth extraction or incision and drainage) during the study~Receipt of: Emicizumab in a prior investigational study; An investigational drug to treat or reduce the risk of hemophilic bleeds within 5 half-lives of last drug administration; A non-hemophilia-related investigational drug concurrently, within last 30 days or 5 half-lives, whichever is shorter~Pregnant or lactating, or intending to become pregnant during the study~Exclusion Criteria for Arm D:~Inherited or acquired bleeding disorder other than hemophilia A~Ongoing (or plan to receive during the study) ITI therapy or prophylaxis treatment with FVIII~Previous (in the past 12 months) or current treatment for thromboembolic disease (with the exception of previous catheter-associated thrombosis for which anti-thrombotic treatment is not currently ongoing) or signs of thromboembolic disease~Other diseases that may increase risk of bleeding or thrombosis~History of clinically significant hypersensitivity associated with monoclonal antibody therapies or components of the emicizumab injection~Known infection with HIV, hepatitis B virus (HBV), or hepatitis C virus (HCV)~At high risk for thrombotic microangiopathy, in the investigator's judgment~Use of systemic immunomodulators at enrollment or planned use during the study~Planned surgery (excluding minor procedures such as tooth extraction or incision and drainage) during the study~Inability (or unwillingness by caregiver) to receive (allow receipt of) blood or blood products (or any standard-of-care treatment for a life-threatening condition)~Receipt of: Emicizumab in a prior investigational study; An investigational drug to treat or reduce the risk of hemophilic bleeds within 5 half-lives of last drug administration; A non-hemophilia-related investigational drug concurrently, within last 30 days or 5 half-lives, whichever is shorter~Concurrent disease, treatment, or abnormality in clinical laboratory tests that could interfere with the conduct of the study, may pose additional risk, or would, in the opinion of the investigator, preclude the participant's safe participation in and completion of the study~Pregnant or lactating, or intending to become pregnant during the study"
"397","NCT00738777_A Randomized, Prospective Trial of 2-6 Weeks Pre-operative Hormonal Treatment for Hormone Receptor Positive Breast Cancer: Anastrozole +/- Fulvestrant or Tamoxifen Exposure - Response in Molecular Profile (AFTER-study)._To investigate prospectively whether short term endocrine treatment can induce molecular changes, predictive for therapy response._All_N/A_N/A_Inclusion Criteria:~Patients with proven invasive adenocarcinoma of the breast~Any tumor with a size ≥ 1cm (NOT inflammatory breast cancer)~WHO-performance score 0 or 1~Written informed consent~Exclusion Criteria:~Clues of metastatic disease by clinical examination according to most recent NABON guidelines~Multicentric breast cancer~Inflammatory breast cancer~Hormone replacement during the last 12 months~Other systemic treatment during the waiting time till surgery~Already planned date for surgery within the next 2 weeks~Any psychological, familial, sociological or geographical condition potentially hampering adequate informed consent or compliance with the study protocol~Patient's refusal to undergo a core biopsy procedure of the primary tumor before the start of treatment~NB: a concomitant malignancy within the last five years is not an exclusion criterium, because survival is not the primary endpoint. Just as prior invasive breast cancer or DCIS within the last 15 years is not an exclusion criterium.~NB: Patients of childbearing potential must implement adequate non-hormonal contraceptive measures during the study."
"398","NCT00171340_An Open-Label, Randomized, MultiCenter Study to Evaluate the Use of Zolendronic Acid in the Prevention of Cancer Treatment-Related Bone Loss in Postmenopausal Women With Estrogen Positive and/or Progesterone Positive Breast Cancer Receiving Letrozole as Adjuvant Therapy_Post-menopausal breast cancer patients will receive letrozole 2.5 mg daily for the treatment of breast cancer and will be randomized to a treatment group to receive either upfront zoledronic acid 4 mg IV 15-minute infusion every 6 months or delayed start zoledronic acid 4 mg IV 15-minute infusion every 6 months. Delayed start zoledronic acid will be initiated when either the Bone Mineral Density T-score is below -2 Standard Deviations at either the lumbar spine or hip or any clinical fracture unrelated to trauma or an asymptomatic fracture discovered at the month 36 scheduled visit. Letrozole 2.5 mg will be given daily for 5 years._Female_N/A_N/A_Inclusion Criteria:~Stage I-IIIa breast cancer~Postmenopausal or recently postmenopausal~Recent surgery for breast cancer~Estrogen Receptor positive and/or progesterone receptor positive hormone receptor status~No prior treatment with letrozole~Other protocol-defined inclusion criteria may apply.~Exclusion Criteria:~Metastatic disease~Invasive bilateral disease~Clinical or radiological evidence of existing fracture in spine or hip~Prior treatment with IV bisphosphonates in the past 12 months~Current treatment with oral bisphosphonates ( must be discontinued within 3 weeks of baseline evaluation)~Use of Tibolone within 6 months~Prior use of parathyroid hormone for more than 1 week~Previous or concomitant malignancy~Abnormal renal function~History of disease effecting bone metabolism~Other protocol-defined exclusion criteria may apply."
