"","var"
"135","NCT00034047 Pregnant and breastfeeding individuals are explicitly excluded from the trial. Exclusion Criteria:~Pregnancy or breast feeding"
"136","NCT00541697 Pregnant or lactating individuals are explicitly excluded from the trial. Pregnant or lactating"
"137","NCT04372940 Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria. Exclusion Criteria: pregnancy surgery"
"138","NCT03789552 Pregnant individuals are explicitly excluded from the trial as female patients of child-bearing potential must have negative pregnancy tests at screening and randomization, and must use appropriate birth control. Female patients of child-bearing potential must have negative pregnancy tests at screening visit [Day -21, quantitative serum human chorionic gonadotropin (β-hCG test)] and randomization visit (Day 1, urine pregnancy test)."
"139","NCT04385563 Pregnant individuals are explicitly excluded from the trial as participants must have a negative pregnancy test and use contraception. Female with childbearing potential: negative pregnancy test within 7 days before the first administration of the investigational drug; patients are not breastfeeding; Contraception use must continue for the duration of study treatment and for at least 6 months after the last dose of study treatment."
"140","NCT01276327 Pregnant individuals are excluded as the study involves healthy male and female subjects, and pregnancy is not mentioned in the inclusion criteria. Healthy male and female subjects"
"141","NCT02466074 Pregnant individuals are explicitly excluded from the trial as indicated by the requirement for a negative pregnancy test and the need for effective birth control. Positive pregnancy test or inability or unwillingness to use effective means of birth control."
"142","NCT03987620 Pregnant individuals are excluded from the trial as the study requires participants to be postmenarchal females with a diagnosis of symptomatic AVVC. The exclusion criteria do not explicitly mention pregnancy, but the requirement for postmenarchal females implies exclusion of pregnant individuals. Subject is a postmenarchal female subject 12 years and older"
"143","NCT02003625 Pregnant or lactating individuals are explicitly excluded from the trial. Exclusion Criteria: Pregnancy or lactation"
"144","NCT01663532 Pregnant and breastfeeding individuals are explicitly excluded from the trial. The exclusion criteria specify that sexually active females of childbearing potential must practice birth control or remain abstinent, and females who are breastfeeding or have a positive pregnancy test are excluded. Females who are breast-feeding and/or who have a positive pregnancy test result prior to receiving IMP in this trial."
"145","NCT02275546 The study explicitly excludes pregnant individuals as participants must be non-pregnant and pre-menopausal. Additionally, participants must not be within 2 months of their last pregnancy outcome. is pregnant or within 2 months of last pregnancy outcome (delivery, spontaneous or induced abortion, medical or surgical management of ectopic pregnancy)."
"146","NCT03585504 The study explicitly excludes pregnant individuals as it focuses on postpartum adolescents and involves the insertion of a contraceptive implant. The exclusion criteria also mention breastfeeding women, which implies that the study does not include pregnant individuals. Exclusion Criteria:~women who are breastfeeding"
"147","NCT00903344 The study explicitly excludes pregnant individuals as it only enrolls fully lactating mothers within 1 month after delivery. Inclusion Criteria:~Fully lactating mothers age 18 and up~Within 1 month after delivery~Plan to breast feed for at least 6 months"
"148","NCT05877638 Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria. Current pregnancy"
"149","NCT05740280 The study explicitly excludes pregnant and lactating females, and only includes females of nonchildbearing potential. Females will not be pregnant or lactating."
"150","NCT00839293 Pregnant or breastfeeding females are explicitly excluded from the trial. Exclusion Criteria:~Females who are pregnant or breast-feeding"
"151","NCT00006734 Pregnant individuals are explicitly excluded from the trial. The study requires fertile patients to use effective contraception. Not pregnant or nursing. Fertile patients must use effective contraception."
"152","NCT04732169 Pregnant and lactating women are explicitly excluded from the trial. Women of reproductive potential must have a negative urine pregnancy test at screening. For females: no current pregnancy or lactation (women of reproductive potential must have a negative urine pregnancy test at screening)."
"153","NCT00166543 The trial explicitly includes only postmenopausal females, which excludes pregnant individuals. Inclusion Criteria: Postmenopausal females"
"154","NCT02939326 Pregnant and lactating women are explicitly excluded from the trial. Women of childbearing potential must use dual methods of contraception and must not be pregnant, lactating, or planning to become pregnant during the study. Women of child bearing potential must not be pregnant, lactating, or planning to become pregnant during the study."
"155","NCT00862225 Pregnant and lactating individuals are explicitly excluded from the trial. Women of childbearing potential must use a highly effective method of birth control. Pregnancy or lactation"
"156","NCT02367183 Pregnant or breastfeeding individuals are explicitly excluded from the trial. Additionally, females of childbearing potential must have a negative pregnancy test and use contraception. Pregnant or breastfeeding."
"157","NCT04892641 The trial explicitly excludes pregnant or lactating individuals and requires women of childbearing potential to use contraception and have a negative pregnancy test. Exclusion Criteria:~Pregnant or lactating at Screening or planning to become pregnant (self or partner) at any time during the study, including the F/U period."
"158","NCT00218218 Pregnant or breastfeeding individuals are explicitly excluded from the trial. Exclusion Criteria:~Pregnant or breastfeeding"
"159","NCT02294734 Pregnant individuals are explicitly excluded from the trial as the inclusion criteria require a negative pregnancy test and the use of contraception for females of reproductive potential. Female subject: is eligible to participate if she is not pregnant (as confirmed by a negative urine human chorionic gonadotrophin [hCG] test), not lactating, and at least one of the following conditions applies: Non-reproductive potential defined as... Reproductive potential and agrees to follow one of the options listed below in the GSK Modified List of Highly Effective Methods for Avoiding Pregnancy in Females of Reproductive Potential (FRP) requirements from 30 days prior to the first dose of study medication and until completion of the follow-up visit."
"160","NCT00399711 Pregnant individuals are explicitly excluded from the trial as indicated by the exclusion criteria mentioning 'Pregnancy diabetes'. Exclusion Criteria: Pregnancy diabetes"
"161","NCT02350725 The study explicitly excludes pregnant individuals by requiring female subjects to be at least 2 years post-menopausal. Female subjects must be at least 2 years post-menopausal"
"162","NCT01213407 Pregnant individuals are explicitly excluded from the trial as indicated by the requirement for a negative pregnancy test and the need for participants to use birth control. Positive pregnancy test or breast-feeding.~Patients unwilling to perform a save method of birth control."
"163","NCT00376714 Pregnant individuals are explicitly excluded from the trial as indicated by the requirement for a negative pregnancy test and the exclusion of subjects with a positive pregnancy test. The subject has a positive pregnancy test."
"164","NCT01012895 Pregnant individuals are explicitly excluded from the trial. Pregnant chronic hepatitis c"
"165","NCT02697136 The study explicitly excludes females of childbearing potential, indicating that pregnant individuals are not included. Main Exclusion Criteria: Females of childbearing potential"
"166","NCT02285920 Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria. Exclusion Criteria: Pregnancy, anticipated pregnancy, or breastfeeding"
"167","NCT04221360 The study explicitly excludes pregnant or lactating women and requires females to be menopausal or surgically infertile. Males must use contraceptives. Pregnant or lactating women~Females must be menopause or surgical infertility~Males who have consented to the use of appropriate pregnancy contraceptive methods up to 28 days after the last investigational product and not to provide sperm"
"168","NCT00966953 Pregnant or nursing women are explicitly excluded from the trial. Pregnant or nursing women."
"169","NCT02168309 The study explicitly enrolls postpartum individuals and does not include pregnant individuals. The focus is on managing severe postpartum hypertension. Postpartum~Persistent postpartum blood pressures ≥ 160/105 on two or more occasions"
"170","NCT03079921 Pregnant individuals are explicitly excluded from the trial as indicated by the requirement for a negative pregnancy test and the use of effective contraceptive measures. For female participants of child-bearing potential: Positive pregnancy test, presently breast-feeding, or unwillingness to use effective contraceptive measures for the duration of study participation."
"171","NCT04385290 Pregnant or nursing women are explicitly excluded from the trial. Additionally, women of child-bearing potential must have a negative serum pregnancy test and use contraception. Pregnant or nursing (lactating) women~Women of child-bearing potential, defined as all women physiologically capable of becoming pregnant, unless they fulfill at least one of the following criteria:~Post-menopausal (12 months of natural amenorrhea or 6 months of amenorrhea with serum follicule stimulating hormone > 40 U/ml)~Postoperative (i.e. 6 weeks) after bilateral ovariectomy with or without hysterectomy~Women of childbearing potential must have a negative serum pregnancy test performed within 7 days before the first dose of study drug~Continuous and correct application of a contraception method with a Pearl Index of < 1% (e.g. implants, depots, oral contraceptives, intrauterine device) from initial study drug administration until at least 7 months after the last dose of gemtuzumab ozogamicin and at least 4 months after the last dose of midostaurin, whichever period is longer. A hormonal contraception method must always be combined with a barrier method (e.g. condom)~Sexual abstinence~Vasectomy of the sexual partner~Sexually active males unless they use a condom during intercourse while taking the drug during treatment, and for at least 4 months after stopping treatment and should not father a child in this period. A condom is required to be used also by vasectomized men as well as during intercourse with a male partner in order to prevent delivery of the drug via semen"
"172","NCT01006018 The trial explicitly excludes women of child-bearing age who are pregnant, desire to become pregnant, are breastfeeding, or who refuse to take the recommended birth control measures. Women of child-bearing age who are pregnant, desire to become pregnant, are breastfeeding, or who refuse to take the recommended birth control measures"
"173","NCT00932152 The trial explicitly excludes pregnant or breastfeeding individuals as stated in the exclusion criteria. Pregnant or breast feeding."
"174","NCT00099489 Pregnant and breastfeeding women are explicitly excluded from the trial. Additionally, female subjects must practice effective contraception and cannot consider becoming pregnant during the study. Female subjects who are currently pregnant or breast-feeding."
"175","NCT02904954 Pregnant individuals are explicitly excluded from the trial as evidenced by the requirement for a negative pregnancy test and the exclusion of pregnant or breastfeeding women. Female patients who are pregnant or breastfeeding or male or female patients of reproductive potential who are not willing to employ effective birth control from screening to 90 days after the last dose of durvalumab monotherapy."
"176","NCT06008106 Pregnant individuals are explicitly excluded from the trial as indicated by the requirement for a negative serum pregnancy test for premenopausal female patients. Serum pregnancy test results are positive for premenopausal female patients;"
"177","NCT01147627 Pregnant individuals are excluded as female patients of reproductive age are required to practice a reliable method of birth control throughout the study. female patients of reproductive age should practice a reliable method of birth control throughout the study"
"178","NCT00258076 The study explicitly excludes pregnant individuals as it requires negative pregnancy tests and specifies that participants must not be currently pregnant or breastfeeding. Subjects who are not pregnant (as demonstrated by negative pregnancy tests at screening and before admission for each treatment period) and who have completed their last term pregnancy at least 60 days before the admission visit"
"179","NCT02955394 The trial explicitly excludes pre- or peri-menopausal women unless they have concurrent ovarian suppression, which effectively excludes pregnant individuals. Postmenopausal, or if pre- or peri- menopausal, then will need to have concurrent ovarian suppression."
"180","NCT00006004 Pregnant and nursing individuals are explicitly excluded from the trial. Fertile patients must use effective contraception. Not pregnant or nursing. Fertile patients must use effective contraception."
"181","NCT00002548 Pregnant individuals are explicitly excluded from the trial. The study requires fertile patients to use effective contraception. Not pregnant or nursing. Fertile patients must use effective contraception."
"182","NCT04160000 The trial explicitly excludes pregnant or nursing lactating mothers and women of childbearing potential who are not on effective contraceptive therapy. Pregnant or nursing lactating mothers or women of childbearing potential who are not on effective contraceptive therapy"
"183","NCT00995150 The study explicitly excludes currently pregnant individuals, those who were pregnant within 4 weeks prior to study entry, and those planning pregnancy within 24 months of study entry. It also excludes currently breastfeeding individuals. Exclusion Criteria:~Currently pregnant, pregnant within 4 weeks prior to study entry or planning pregnancy within 24 months of study entry~Currently breastfeeding"
"184","NCT00299923 Pregnant and breastfeeding individuals are explicitly excluded from the trial. Additionally, all fertile males and females must use two reliable forms of effective contraception during treatment and 6 months post-treatment. Ongoing pregnancy or breast feeding. All fertile males and females must use two reliable forms of effective contraception (combined) during treatment with study drugs and 6 months post treatment."
"185","NCT00754065 The study explicitly excludes pregnant and lactating individuals, as well as those who have had less than three cycles since delivery, abortion, or lactation before the start of treatment. The study focuses on comparing oral contraceptives in healthy female volunteers requesting contraception. Exclusion Criteria: Pregnancy or lactation (less than three cycles since delivery, abortion, or lactation before start of treatment)"
"186","NCT03189719 Pregnant and breastfeeding individuals are explicitly excluded from the trial. Female participants of childbearing potential must have a negative pregnancy test and use contraception. Is pregnant or breastfeeding, or expecting to conceive or father children within the projected duration of the study, starting with the screening visit through 120 days after the last dose of study medication and up to 180 days after last dose of cisplatin"
"187","NCT00019682 Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria. Patients who are pregnant"
"188","NCT02323451 Pregnant or lactating females are explicitly excluded from the trial. Pregnant or lactating females."
"189","NCT03011645 Pregnant and breastfeeding women are explicitly excluded from the trial. Women of childbearing potential must undergo pregnancy testing and are excluded if they are not willing to receive information on positive pregnancy test results. Women who are known to be pregnant, intend to become pregnant, or breast-feeding will be excluded. Women who are of child bearing potential (under age 55) will be informed that they will need to have their urine tested for pregnancy and that they should not participate in the research if they are not willing to have the Investigators provide them with information on positive pregnancy test results."
"190","NCT03361865 Pregnant individuals are explicitly excluded from the trial as participants must have adequate organ function and meet other health criteria that would not be applicable to pregnant individuals. Adequate organ function per protocol-defined criteria."
"191","NCT03242018 Pregnant individuals are explicitly excluded from the trial as women of childbearing potential must use highly effective birth control methods and be tested for pregnancy. Women of childbearing potential (WOCBP) not willing to use highly effective method(s) of birth control during the study treatment period and the follow-up period, or who are unwilling or unable to be tested for pregnancy during the study."
"192","NCT02753426 Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria. Exclusion Criteria: pregnancy;"
"193","NCT03440021 Pregnant and breastfeeding individuals are explicitly excluded from the trial. pregnancy or breast-feeding status"
"194","NCT00547898 Pregnant and breastfeeding individuals are explicitly excluded from the trial. Exclusion Criteria: Pregnancy or breast-feeding"
"195","NCT05641298 Pregnant and lactating individuals are explicitly excluded from the trial. Participants must have a negative pregnancy test and agree to use a highly effective method of contraception during the study and 30 days after the last dose. Participants must have a negative pregnancy test and agree to use a highly effective method of contraception during the study and 30 days after last dose. Female participant who is pregnant or lactating."
"196","NCT01602315 Pregnant or nursing (lactating) women were explicitly excluded from the trial. Pregnant or nursing (lactating) women"
"197","NCT00583700 Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria. Exclusion Criteria: Pregnant"
"198","NCT03126149 The trial explicitly excludes pregnant individuals by requiring female participants to be of non-childbearing potential. Healthy males and female of non-childbearing potential"
"199","NCT02680782 Pregnant individuals are explicitly excluded from the trial as participants must have a negative pregnancy test and agree to use effective contraceptive methods. For women of childbearing potential, (a) agree to use effective contraceptive methods from screening, through the study, and for at least 4 weeks after the last dose of study drug; and (b) have a negative pregnancy test (serum or urine) at screening and on Day -1 prior to each Dosing period."
"200","NCT00133848 Pregnant individuals are explicitly excluded from the trial as women who could bear children must have a negative urine pregnancy test and agree to either abstain from sexual intercourse or use specific effective contraceptive measures. Women who could bear children must have a negative urine pregnancy test and agree to either abstain from sexual intercourse or the use of specific effective contraceptive measures."
"201","NCT00436579 Pregnant and nursing individuals are explicitly excluded from the trial. Participants must have a negative pregnancy test and use effective contraception. Not pregnant or nursing~Negative pregnancy test~Fertile patients must use effective contraception"
"202","NCT00649896 The study explicitly excludes pregnant individuals as it only includes postmenopausal women aged 40-69 years. Absence of menses for one year for postmenopausal subjects, or at least 6 weeks for oophorectomized subjects."
"203","NCT05452525 Pregnant or breastfeeding individuals are explicitly excluded from the trial. Those who are pregnant or breastfeeding"
"204","NCT06212648 Pregnant or lactating women are explicitly excluded from the trial. Additionally, women and men of childbearing potential must agree to use effective contraceptive methods during the trial and for 4 weeks after the last investigational drug administration. Pregnant or lactating women~Women and men of childbearing potential who do not agree to use a combination of effective or medically acceptable contraceptive methods* for the duration of the clinical trial and 4 weeks after administration of the last investigational drug"
"205","NCT04924114 Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria. Is pregnant or nursing or is planning to become pregnant during the study."
"206","NCT03049189 Pregnant or breast-feeding women are explicitly excluded from the trial. Pregnant or breast-feeding women"
"207","NCT00826202 Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria. females who are of childbearing potential but are not taking adequate contraceptive precautions or who are pregnant or breast feeding"
"208","NCT00474916 The study explicitly excludes pregnant individuals by requiring females to be sterile or post-menopausal. Females must be sterile or post-menopausal"
"209","NCT04240535 Pregnant and breastfeeding individuals are explicitly excluded from the trial. Additionally, females of childbearing potential must use effective birth control and take a urine pregnancy test. Male or non-pregnant, non-breastfeeding females. If the subject is a female of childbearing potential, she agrees to use an acceptable form of effective birth control for the duration of the study and is willing to take a urine pregnancy test at the screening/enrollment visit and prior to treatment."
"210","NCT03340597 Pregnant and lactating women are explicitly excluded from the trial. Additionally, female subjects of childbearing potential must agree to use appropriate contraception. Female subjects who are pregnant or lactating."
"211","NCT02819921 Pregnant and breastfeeding women are explicitly excluded from the trial. Women who is pregnant or breast feeding, or who has a history of seizure disorder or hepatic or renal insufficiency"
"212","NCT00120302 Pregnant and breastfeeding individuals are explicitly excluded from the trial. Additionally, females of childbearing potential must practice contraception and have a negative pregnancy test to participate. At baseline and throughout the study, females of childbearing potential: Who are pregnant or breast-feeding. Who are menstruating, capable of becoming pregnant, and not practicing a medically approved method of contraception during and up to at least 4 weeks after the end of study treatment. A negative pregnancy test (urine) for all females of childbearing potential is required at the screening visit."
"213","NCT00057941 The trial explicitly includes only postmenopausal women, which excludes pregnant individuals. The inclusion criteria specify that all patients must be postmenopausal females. All patients must be postmenopausal females defined by: Prior bilateral oophorectomy or bilateral ovarian irradiation; No menstrual period for 12 months or longer."
"214","NCT02190604 Pregnant or nursing (lactating) women are explicitly excluded from the trial. Additionally, women of child-bearing potential must use highly effective contraception. Pregnant or nursing (lactating) women. Women of child-bearing potential, UNLESS they are using highly effective contraception."
"215","NCT00127985 Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria. Exclusion Criteria: Pregnancy."
"216","NCT00132743 Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria. Patients who are pregnant, planning to become pregnant, or lactating"
"217","NCT05816252 Pregnant and breastfeeding individuals are explicitly excluded from the trial. Is pregnant or breastfeeding, or expecting to conceive or father children within the projected duration of the study;"
"218","NCT01600703 Pregnant individuals are explicitly excluded from the trial as a pregnancy test is required and those who test positive will be excluded. A pregnancy test will be performed 1 to 3 days prior to each study in all female subjects. Those who test positive for pregnancy will be excluded."
"219","NCT02515799 The study explicitly excludes pregnant individuals by requiring women of childbearing potential to use a highly effective form of birth control. Women of childbearing potential (WOCBP) must use a highly effective form of birth control (confirmed by the Investigator)."
"220","NCT02418468 Pregnant or nursing women were explicitly excluded from the trial. Pregnant or nursing (lactating) women, where pregnancy is defined as the state of a female after conception and until the termination of gestation, confirmed by a positive hCG laboratory test."
"221","NCT00469690 Pregnant and nursing women are explicitly excluded from the trial. Female patients who are pregnant, nursing an infant or planning a pregnancy"
"222","NCT05983250 Pregnant and lactating individuals are explicitly excluded from the trial. Female subjects of childbearing potential must have a negative pregnancy test and use highly effective birth control methods. Female subjects of childbearing potential must have a negative urine pregnancy test result at the Screening Visit and a negative urine pregnancy test and must not be pregnant, lactating, or planning a pregnancy from the Screening Visit to 7 months after the last dose of study drug."
"223","NCT02508207 Pregnant or nursing females are explicitly excluded from the trial. Pregnant or nursing females"
"224","NCT01312844 Pregnant individuals are explicitly excluded from the trial as female subjects must be postmenopausal, surgically sterile, or using contraceptives and have a negative pregnancy test. Female subjects must be postmenopausal, surgically sterile, or, if of child-bearing age, using double-barrier contraceptive method or prescription oral contraceptives (e.g. estrogen-progestin combinations), contraceptive implants (e.g. NorplantTM, DepoProveraTM, or transdermally delivered contraceptives (Ortho EvraTM) before entry and throughout the study; and have a negative urine b-HCG pregnancy test at screening."
"225","NCT01770431 Pregnant or lactating women are explicitly excluded from the trial. Pregnant or lactating women;"
"226","NCT02662023 Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria. Exclusion Criteria:~pregnancy;"
"227","NCT04333537 Pregnant and breast-feeding mothers are explicitly excluded from the trial. Pregnancy and breast-feeding mothers"
"228","NCT04857957 Pregnant and lactating individuals are explicitly excluded from the trial. Additionally, females must not be currently pregnant and must use an adequate method of birth control. Is pregnant, lactating, or planning a pregnancy during the study."
"229","NCT00884832 The study explicitly excludes pregnant or nursing women from participation. Pregnant or nursing women"
"230","NCT00647738 The study explicitly includes only healthy male volunteers aged 18-55 years, thus excluding pregnant individuals. Males aged from 18 to 55 years with a body mass index (BMI) greater than or equal to 19 and below 30"
"231","NCT02803749 Pregnant and lactating women are explicitly excluded from the trial. Lactating or pregnant woman"
"232","NCT01593722 Pregnant and breastfeeding women are explicitly excluded from the trial. The study involves administration of medications contraindicated in pregnancy. Eligibility: - Individuals who live in 4 villages in Cameroon where Loa loa infection is known to exist, who are between 20 and 60 years of age, not pregnant or breastfeeding and have a low level of Loa loa parasites in the blood, but are otherwise healthy. EXCLUSION CRITERIA (SCREENING): Known to be pregnant (by history) or breastfeeding. EXCLUSION CRITERIA (INTERVENTIONAL STUDY): Pregnancy (by serum or urine beta-HCG) or breastfeeding. EXCLUSION OF CHILDREN AND PREGNANT WOMEN: Pregnant women and children (the age of consent in Cameroon is 20 years of age) will be excluded from this study since it involves administration of medications contraindicated in pregnancy and more than minimal risk with no prospect of direct benefit, respectively."
"233","NCT04790305 Pregnant or lactating women are explicitly excluded from the trial. Pregnant or lactating women, and those who planning a pregnancy during the study period."
"234","NCT04401059 Pregnant or lactating women are explicitly excluded from the trial. Pregnant or lactating women."
"235","NCT02943213 Pregnant and lactating individuals are explicitly excluded from the trial. The inclusion criteria require a negative pregnancy test and the exclusion criteria state that female subjects who are pregnant or breastfeeding are excluded. Female subjects that are pregnant (positive pregnancy test) or breastfeeding."
"236","NCT00777127 Pregnant and breastfeeding individuals are explicitly excluded from the trial. Additionally, women of childbearing potential must use a highly effective method of birth control. Pregnancy, breast-feeding or planned pregnancy during the study. Women of child bearing potential not using a highly effective method of birth control defined as those which result in a low failure rate (i.e. <1% per year) when used consistently and correctly such as implants, injectables, combined oral contraceptives, hormonal IUDs, tubal ligation or vasectomised partner."
"237","NCT02324972 Pregnant and breastfeeding women are explicitly excluded from the trial. Female subject who is pregnant or breast-feeding"
"238","NCT00166257 Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria. Exclusion Criteria: Pregnancy"
"239","NCT02453789 Pregnant or breast-feeding women are explicitly excluded from the trial. A negative urine pregnancy test must be demonstrated in females of child-bearing potential at Screening. Pregnant or breast-feeding women. A negative urine pregnancy test must be demonstrated in females of child-bearing potential at Screening."
"240","NCT05743244 Pregnant and lactating individuals are explicitly excluded from the trial. Participants must have a negative pregnancy test and use highly-effective contraceptive methods. Be currently pregnant or lactating or anticipate becoming pregnant during the study"
"241","NCT02278562 Pregnant individuals are explicitly excluded from the trial. Exclusion Criteria: Pregnancy;"
"242","NCT00674310 Pregnant individuals are excluded as the study requires participants to have no clinically significant abnormal findings on physical examination, medical history, or clinical laboratory results during screening, which typically includes a negative pregnancy test. No clinically significant abnormal finding on the physical examination, medical history, or clinical laboratory results during screening"
"243","NCT02917291 Pregnant women and women of childbearing age not using contraception are explicitly excluded from the trial. Pregnant women or women of childbearing age who are not using an appropriate method of contraception and, moreover, are not willing to continue to use it for the duration of the trial."
"244","NCT00171132 The trial explicitly enrolls postmenopausal women, which excludes pregnant individuals. The purpose of the study is to show that valsartan compared to atenolol has favorable effects on exercise capacity, quality of life, diastolic function and elevated blood pressure in hypertensive postmenopausal overweight women with impaired exercise tolerance despite normal left ventricular ejection fraction (LVEF)."
"245","NCT04229615 The trial explicitly excludes pregnant individuals as it involves advanced ovarian cancer treatment and requires participants to have completed a platinum-based chemotherapy regimen. Exclusion Criteria: Patients who have received other study drug treatment within 4 weeks prior to the first administration(< 5 elimination half-lives of the study drug molecular targeted anti-cancer drugs)."
"246","NCT00181077 The study explicitly excludes pregnant individuals as it requires women to have delivered their infants prior to initiating therapy. Women must have delivered their infant(s) prior to initiating therapy"
"247","NCT00405392 The study explicitly enrolls postmenopausal women, which excludes pregnant individuals. This is a randomized open label, multi-centre study for Korean women with postmenopausal osteoporosis."
"248","NCT02439359 Pregnant and lactating individuals are explicitly excluded from the trial. The inclusion criteria specify that females of childbearing potential must be non-pregnant and non-lactating, and must use contraception. Be a healthy non-pregnant, non-lactating female of any race or ethnicity of childbearing potential between 18 and 55 years of age,~Contraception in use for at least 60 days prior to the Screening visit"
"249","NCT04545541 Pregnant individuals are explicitly excluded from the trial. The exclusion criteria state that females aged 18-49 years are excluded unless there is documented menopause or hysterectomy or a pregnancy test was performed and is negative. Pregnant or might be pregnant. Females aged 18-49 years are excluded unless there is documented menopause or hysterectomy or a pregnancy test was performed and is negative."
"250","NCT03487198 Pregnant and lactating individuals are explicitly excluded from the trial. The exclusion criteria specify that females who are breast-feeding or lactating and those who have a positive pregnancy test result prior to screening or randomization are not eligible to participate. Females who are breast-feeding or lactating and who have a positive pregnancy test result (Urine or serum test) prior to screening or randomization (within 72 hours)."
"251","NCT03482440 The study explicitly excludes current pregnancy and focuses on postpartum women who have delivered within two years. It aims to investigate cardiovascular disease risk in women who have had preeclampsia. Exclusion Criteria:~current pregnancy"
"252","NCT02873936 Pregnant individuals are explicitly excluded from the trial. Key Exclusion Criteria:~Previous treatment with any janus kinase (JAK) inhibitor~NOTE: Other protocol Inclusion/ Exclusion criteria may apply."
"253","NCT05533411 The trial explicitly excludes women of childbearing potential and lactating women, indicating that pregnant individuals are excluded. Exclusion Criteria: Are lactating. Are women of childbearing potential."
"254","NCT04307953 Pregnant and breastfeeding women are explicitly excluded from the trial. Additionally, women of child-bearing potential must use contraception, and male participants must use contraception if they have a pregnant partner. Women who are pregnant or breast-feeding (from the time 3 months prior to 4 weeks after completion of participation in the study)"
"255","NCT02673593 The study explicitly excludes pregnant individuals by requiring participants to be non-smokers and have a negative urine cotinine test, which implies a requirement for non-pregnancy. Subject is male or female and is aged between 18 and 45 years inclusive. Subject is a non-smoker, has been a non-smoker for 3 months prior to screening and has a negative urine cotinine test at screening."
"256","NCT04258397 Pregnant individuals are explicitly excluded from the trial. The exclusion criteria mention pregnancy, planning to become pregnant, or currently breast-feeding, and require women under 55 to have a reliable method of birth control or have no menses in the preceding 2 years. Pregnancy, planning to become pregnant, or currently breast-feeding; women under 55 will need to either have a reliable method of birth control (IUD {intrauterine device}, oral contraceptive pills {OCPs}) or have no menses in the preceding 2 years."
"257","NCT00461305 The study explicitly excludes pregnant individuals as it involves the administration of contraceptives (Drospirenone/Ethinylestradiol) and requires participants to have a normal menstrual cycle. Exclusion Criteria: Patients with undiagnosed abnormal vaginal bleeding"
"258","NCT01999400 Pregnant or lactating females are explicitly excluded from the trial. Pregnant or lactating females."
"259","NCT00847886 Pregnant and nursing women are explicitly excluded from the trial. Participants must practice contraception, indicating exclusion of pregnant individuals. Women who are pregnant or nursing"
"260","NCT00374309 Pregnant individuals are explicitly excluded from the trial as indicated by the requirement for a negative beta-HCG pregnancy test and the exclusion of women who are breast-feeding or planning to become pregnant during the first 24 weeks after enrollment. Negative beta-HCG pregnancy test (urine or serum) for women presumed to be of reproductive potential. Breast-feeding or planning to become pregnant during the first 24 weeks after enrollment."
"261","NCT02929823 Pregnant individuals are explicitly excluded from the trial as it requires a negative pregnancy test and the use of effective contraception throughout the study. Is a female of childbearing potential with a negative pregnancy test result at Screening and Randomization and agrees to use effective contraception throughout the study, or is a postmenopausal woman with a negative pregnancy test result at Screening and Randomization"
"262","NCT05277350 Pregnant and lactating individuals are explicitly excluded from the trial. Participants must agree to use highly effective contraception for the entire study duration. Pregnancy or lactating or intention of becoming pregnant (all females to agree to use highly effective contraception (defined as those, alone or in combination, that result in a low failure rate i.e., less than 1% per year) for the entire study duration"
"263","NCT04909723 Pregnant individuals are explicitly excluded as participants must not be pregnant and must agree to use highly effective contraceptives. If woman of child-bearing potential, must not be pregnant, and must also agree to use an appropriate highly-effective contraceptive."
"264","NCT04922021 The trial explicitly excludes pregnant or lactating participants. Participant is pregnant or lactating."
"265","NCT03421288 Pregnant and breastfeeding individuals are explicitly excluded from the trial. The inclusion criteria require women of childbearing potential to use contraceptive methods and have a negative pregnancy test before starting the treatment. Pregnancy or breast feeding or planning to become pregnant within 5 months after the end of treatment. Women of childbearing potential must have a negative serum pregnancy test result within 7 days prior to initiation of study treatment."
"266","NCT04649476 Pregnant individuals are explicitly excluded from the trial as female patients must test HCG negative and use contraception. Female patient tested HCG negative in serum or urine within 7 days prior to the start of investigational product. Both patient and partner must agree to use contraception prior to study entry and for the duration of study participation and for up to 120 days after the last dose of PD-1 blockade."
"267","NCT00795262 Pregnant or nursing women are explicitly excluded from the trial. Additionally, women of childbearing potential must use acceptable methods of birth control, and any subject that becomes pregnant during the study will be discontinued. Pregnant or nursing women... any subject that becomes pregnant during the study will be discontinued from the trial."
"268","NCT01321255 Pregnant or premenopausal women are explicitly excluded from the trial. Exclusion Criteria: Pregnant or premenopausal women."
"269","NCT05139238 The study explicitly enrolls postpartum individuals within 6 weeks of delivery and does not include pregnant individuals. The purpose of this study is to assess which blood pressure medication (intravenous labetalol or oral nifedipine) works better in treating severely elevated blood pressure in women who have just delivered a baby."
