NCT_ID,ChatGPT_Check,Explanation
NCT04221360,Excluded,"The study explicitly states that pregnant or lactating women are excluded. It also specifies that females must be menopausal or surgically infertile, and males must use contraceptives, which further supports the exclusion of pregnant or lactating women."
NCT00966953,Excluded,"The justification clearly states that pregnant or nursing women are explicitly excluded from the trial, and the quote 'Pregnant or nursing women' supports this exclusion."
NCT02168309,Excluded,"The study explicitly mentions that it enrolls postpartum individuals and focuses on managing severe postpartum hypertension. Since it specifies postpartum individuals, it inherently excludes pregnant individuals."
NCT03079921,Excluded,"The evidence clearly states that pregnant individuals are excluded from the trial, as indicated by the requirement for a negative pregnancy test and the use of effective contraceptive measures. Additionally, it specifies that female participants who are presently breast-feeding are also excluded."
NCT04385290,Excluded,"The evidence explicitly states that pregnant or nursing women are excluded from the trial. Additionally, it provides detailed requirements for women of child-bearing potential, including the need for a negative serum pregnancy test and the use of contraception, which further supports the exclusion of pregnant or lactating women."
NCT01006018,Excluded,"The trial explicitly states that it excludes women of child-bearing age who are pregnant, desire to become pregnant, are breastfeeding, or who refuse to take the recommended birth control measures. This clearly indicates that pregnant and lactating women are excluded from the trial."
NCT00932152,Excluded,"The trial explicitly states in the exclusion criteria that pregnant or breastfeeding individuals are excluded, as indicated by the phrase 'Pregnant or breast feeding.'"
NCT00099489,Excluded,"The evidence explicitly states that pregnant and breastfeeding women are excluded from the trial. It also mentions that female subjects must practice effective contraception and cannot consider becoming pregnant during the study, which further supports the exclusion."
NCT02904954,Excluded,The evidence clearly states that pregnant or breastfeeding women are excluded from the trial. It mentions the requirement for a negative pregnancy test and specifies that female patients who are pregnant or breastfeeding are excluded.
NCT06008106,Excluded,The requirement for a negative serum pregnancy test for premenopausal female patients explicitly excludes pregnant individuals from the trial.
NCT01147627,Excluded,"The requirement for female patients of reproductive age to practice a reliable method of birth control throughout the study implies that pregnant individuals are excluded, as they would not be able to comply with this requirement."
NCT00258076,Excluded,The study explicitly excludes pregnant individuals by requiring negative pregnancy tests and specifying that participants must not be currently pregnant or breastfeeding. The criteria also state that subjects must have completed their last term pregnancy at least 60 days before the admission visit.
NCT02955394,Excluded,"The trial explicitly excludes pre- or peri-menopausal women unless they have concurrent ovarian suppression, which effectively excludes pregnant individuals. This is because ovarian suppression would prevent pregnancy."
NCT00006004,Excluded,"The trial explicitly states that pregnant and nursing individuals are excluded. Additionally, it specifies that fertile patients must use effective contraception, reinforcing the exclusion of pregnant and nursing individuals."
NCT00002548,Excluded,The evidence explicitly states that pregnant individuals are excluded from the trial. The requirement for fertile patients to use effective contraception and the statement 'Not pregnant or nursing' clearly indicate that pregnant and lactating individuals are not allowed to participate.
NCT04160000,Excluded,The trial explicitly states that it excludes pregnant or nursing lactating mothers and women of childbearing potential who are not on effective contraceptive therapy. This is clear from the provided quote.
NCT00995150,Excluded,"The study explicitly states that it excludes currently pregnant individuals, those who were pregnant within 4 weeks prior to study entry, those planning pregnancy within 24 months of study entry, and currently breastfeeding individuals. The exclusion criteria are clearly mentioned."
NCT00299923,Excluded,"The justification clearly states that pregnant and breastfeeding individuals are explicitly excluded from the trial. Additionally, it mentions that all fertile males and females must use two reliable forms of effective contraception during treatment and 6 months post-treatment, which further supports the exclusion of pregnant and breastfeeding individuals."
NCT00754065,Excluded,"The study explicitly states in the exclusion criteria that pregnant and lactating individuals are excluded, as well as those who have had less than three cycles since delivery, abortion, or lactation before the start of treatment."
NCT03189719,Excluded,"The evidence explicitly states that pregnant and breastfeeding individuals are excluded from the trial. It also specifies that female participants of childbearing potential must have a negative pregnancy test and use contraception, further confirming the exclusion."
NCT00019682,Excluded,The justification clearly states that pregnant individuals are explicitly excluded from the trial as per the exclusion criteria. The quote 'Patients who are pregnant' confirms this exclusion.
NCT02323451,Excluded,"The justification clearly states that pregnant or lactating females are explicitly excluded from the trial, and the quote 'Pregnant or lactating females' supports this exclusion."
NCT03011645,Excluded,"The evidence clearly states that pregnant and breastfeeding women are explicitly excluded from the trial. It mentions that women who are known to be pregnant, intend to become pregnant, or are breastfeeding will be excluded. Additionally, it specifies that women of childbearing potential must undergo pregnancy testing and are excluded if they are not willing to receive information on positive pregnancy test results."
NCT03361865,Excluded,"The justification states that participants must have adequate organ function and meet other health criteria, which implies that pregnant individuals are explicitly excluded as they may not meet these criteria."
NCT03242018,Excluded,"The evidence explicitly states that pregnant individuals are excluded from the trial. It mentions that women of childbearing potential must use highly effective birth control methods and be tested for pregnancy, indicating that those who are pregnant cannot participate."
NCT02753426,Excluded,"The exclusion criteria explicitly mention 'pregnancy,' which clearly indicates that pregnant individuals are excluded from the trial."
NCT03440021,Excluded,"The justification explicitly states that pregnant and breastfeeding individuals are excluded from the trial, and the quote 'pregnancy or breast-feeding status' supports this exclusion."
NCT00547898,Excluded,"The justification clearly states that pregnant and breastfeeding individuals are explicitly excluded from the trial, as indicated by the exclusion criteria mentioning 'Pregnancy or breast-feeding'."
NCT05641298,Excluded,"The evidence explicitly states that pregnant and lactating individuals are excluded from the trial. It mentions the requirement for a negative pregnancy test and the use of highly effective contraception, which further supports the exclusion of pregnant and lactating participants."
NCT01602315,Excluded,The quote 'Pregnant or nursing (lactating) women' explicitly mentions that these women were excluded from the trial.
NCT00583700,Excluded,The exclusion criteria explicitly state that pregnant individuals are excluded from the trial.
NCT03126149,Excluded,The trial explicitly excludes pregnant individuals by requiring female participants to be of non-childbearing potential. This clearly indicates that pregnant individuals are not eligible to participate.
NCT02680782,Excluded,"The evidence clearly states that participants must have a negative pregnancy test and agree to use effective contraceptive methods, which explicitly excludes pregnant individuals from the trial."
NCT00133848,Excluded,The evidence clearly states that women who could bear children must have a negative urine pregnancy test and agree to either abstain from sexual intercourse or use specific effective contraceptive measures. This implies that pregnant individuals are explicitly excluded from the trial.
NCT00436579,Excluded,"The evidence provided explicitly states that pregnant and nursing individuals are excluded from the trial. It mentions the requirement for a negative pregnancy test and the use of effective contraception, which clearly indicates that pregnant or nursing individuals cannot participate."
NCT00649896,Excluded,"The study explicitly states that it includes only postmenopausal women aged 40-69 years, which inherently excludes pregnant individuals. The criteria of absence of menses for one year for postmenopausal subjects or at least 6 weeks for oophorectomized subjects further supports this exclusion."
NCT05452525,Excluded,The justification clearly states that pregnant or breastfeeding individuals are explicitly excluded from the trial.
NCT06212648,Excluded,"The justification clearly states that pregnant or lactating women are explicitly excluded from the trial. Additionally, it mentions that women and men of childbearing potential must agree to use effective contraceptive methods during the trial and for 4 weeks after the last investigational drug administration, further supporting the exclusion of pregnant or lactating women."
NCT04924114,Excluded,"The quote explicitly states that pregnant individuals are excluded from the trial, as it mentions 'Is pregnant or nursing or is planning to become pregnant during the study.'"
NCT03049189,Excluded,The quote 'Pregnant or breast-feeding women' directly indicates that pregnant or breast-feeding women are explicitly excluded from the trial.
NCT00826202,Excluded,The exclusion criteria explicitly state that females who are pregnant or breastfeeding are excluded from the trial.
NCT00474916,Excluded,"The requirement for females to be sterile or post-menopausal explicitly excludes pregnant individuals, as these conditions preclude the possibility of pregnancy."
NCT04240535,Excluded,"The evidence explicitly states that pregnant and breastfeeding individuals are excluded from the trial. It also specifies that females of childbearing potential must use effective birth control and take a urine pregnancy test, which further supports the exclusion of pregnant individuals."
NCT03340597,Excluded,"The justification clearly states that pregnant and lactating women are explicitly excluded from the trial. Additionally, it mentions that female subjects of childbearing potential must agree to use appropriate contraception, which further supports the exclusion of pregnant and lactating women."
NCT02819921,Excluded,The quote explicitly states that pregnant and breastfeeding women are excluded from the trial.
NCT00120302,Excluded,"The provided quote explicitly states that pregnant and breastfeeding individuals are excluded from the trial. It also specifies that females of childbearing potential must practice contraception and have a negative pregnancy test to participate, further confirming the exclusion."
NCT00057941,Excluded,"The trial explicitly includes only postmenopausal women, which inherently excludes pregnant individuals. The inclusion criteria specify that all patients must be postmenopausal females, defined by conditions that preclude pregnancy, such as prior bilateral oophorectomy, bilateral ovarian irradiation, or no menstrual period for 12 months or longer."
NCT02190604,Excluded,"The evidence explicitly states that pregnant or nursing (lactating) women are excluded from the trial. Additionally, it specifies that women of child-bearing potential must use highly effective contraception, further supporting the exclusion of pregnant or lactating women."
NCT00127985,Excluded,"The exclusion criteria explicitly state 'Pregnancy,' which clearly indicates that pregnant individuals are excluded from the trial."
NCT00132743,Excluded,"The justification clearly states that pregnant individuals are explicitly excluded from the trial, and it specifically mentions patients who are pregnant, planning to become pregnant, or lactating."
NCT05816252,Excluded,"The quote explicitly states that pregnant and breastfeeding individuals are excluded from the trial by mentioning 'Is pregnant or breastfeeding, or expecting to conceive or father children within the projected duration of the study.'"
NCT01600703,Excluded,The evidence clearly states that a pregnancy test is required and those who test positive will be excluded from the trial. This explicitly excludes pregnant individuals from participating.
NCT02515799,Excluded,"The study explicitly requires women of childbearing potential to use a highly effective form of birth control, which implies that pregnant individuals are excluded from the trial."
NCT02418468,Excluded,"The quote explicitly states that pregnant or nursing women were excluded from the trial, and it provides a clear definition of pregnancy and the method of confirmation (positive hCG laboratory test)."
NCT00469690,Excluded,"The quote explicitly states that pregnant and nursing women are excluded from the trial, as it mentions 'Female patients who are pregnant, nursing an infant or planning a pregnancy.'"
NCT05983250,Excluded,"The provided quote clearly states that pregnant and lactating individuals are explicitly excluded from the trial. It specifies that female subjects must have a negative pregnancy test and must not be pregnant, lactating, or planning a pregnancy from the Screening Visit to 7 months after the last dose of the study drug."
NCT02508207,Excluded,"The justification clearly states that pregnant or nursing females are explicitly excluded from the trial, which directly indicates that they are not allowed to participate."
NCT01312844,Excluded,"The evidence explicitly states that pregnant individuals are excluded from the trial. It requires female subjects to be postmenopausal, surgically sterile, or using contraceptives and to have a negative pregnancy test."
NCT01770431,Excluded,The quote 'Pregnant or lactating women' explicitly mentions that these individuals are excluded from the trial.
NCT02662023,Excluded,"The exclusion criteria explicitly mention 'pregnancy,' indicating that pregnant individuals are excluded from the trial."
NCT04333537,Excluded,The justification clearly states that pregnant and breast-feeding mothers are explicitly excluded from the trial.
NCT04857957,Excluded,"The evidence clearly states that pregnant and lactating individuals are explicitly excluded from the trial. It also mentions that females must not be currently pregnant and must use an adequate method of birth control, which further supports the exclusion of pregnant and lactating individuals."
NCT00884832,Excluded,The justification clearly states that the study explicitly excludes pregnant or nursing women from participation.
NCT00647738,Excluded,"The study explicitly includes only healthy male volunteers aged 18-55 years, which inherently excludes pregnant individuals as they cannot be male."
NCT02803749,Excluded,The quote 'Lactating or pregnant woman' explicitly mentions that pregnant and lactating women are excluded from the trial.
NCT01593722,Excluded,"The evidence explicitly states that pregnant and breastfeeding women are excluded from the trial. The eligibility criteria and exclusion criteria both mention that individuals who are pregnant or breastfeeding are not eligible to participate. Additionally, it is noted that the study involves medications contraindicated in pregnancy."
NCT04790305,Excluded,"The quote explicitly states that pregnant or lactating women are excluded from the trial, as well as those planning a pregnancy during the study period."
NCT04401059,Excluded,The quote 'Pregnant or lactating women' explicitly states that pregnant or lactating women are excluded from the trial.
NCT02943213,Excluded,"The evidence clearly states that pregnant and lactating individuals are explicitly excluded from the trial. The inclusion criteria require a negative pregnancy test, and the exclusion criteria specifically mention that female subjects who are pregnant or breastfeeding are excluded."
NCT00777127,Excluded,"The evidence explicitly states that pregnant and breastfeeding individuals are excluded from the trial. Additionally, it specifies that women of childbearing potential must use a highly effective method of birth control, further supporting the exclusion of pregnant individuals."
NCT02324972,Excluded,The quote 'Female subject who is pregnant or breast-feeding' explicitly states that pregnant and breastfeeding women are excluded from the trial.
NCT00166257,Excluded,"The exclusion criteria explicitly mention 'Pregnancy,' which clearly indicates that pregnant individuals are excluded from the trial."
NCT02453789,Excluded,"The evidence explicitly states that pregnant or breast-feeding women are excluded from the trial. Additionally, it requires a negative urine pregnancy test for females of child-bearing potential at Screening, further confirming the exclusion."
NCT05743244,Excluded,The evidence clearly states that pregnant and lactating individuals are explicitly excluded from the trial. The requirement for a negative pregnancy test and the use of highly-effective contraceptive methods further supports this exclusion.
NCT02278562,Excluded,"The evidence given explicitly states that pregnancy is listed under the exclusion criteria, which clearly indicates that pregnant individuals are excluded from the trial."
NCT00674310,Excluded,"The justification states that participants must have no clinically significant abnormal findings on physical examination, medical history, or clinical laboratory results during screening, which typically includes a negative pregnancy test. This implies that pregnant individuals are excluded from the trial."
NCT02917291,Excluded,"The justification clearly states that pregnant women and women of childbearing age not using contraception are explicitly excluded from the trial. This is evident from the quote: 'Pregnant women or women of childbearing age who are not using an appropriate method of contraception and, moreover, are not willing to continue to use it for the duration of the trial.'"
NCT00171132,Excluded,"The trial explicitly enrolls postmenopausal women, which inherently excludes pregnant individuals as postmenopausal women cannot be pregnant."
NCT04229615,Unspecified,"The provided quote does not explicitly mention the exclusion of pregnant or lactating individuals. It only specifies the exclusion of patients who have received other study drug treatments within a certain timeframe. Therefore, the evidence given does not suggest that pregnant/lactating people are excluded from the trial."
NCT00181077,Excluded,The quote 'Women must have delivered their infant(s) prior to initiating therapy' clearly indicates that pregnant individuals are excluded from the trial.
NCT00405392,Excluded,"The study explicitly enrolls postmenopausal women, which inherently excludes pregnant individuals as postmenopausal women cannot be pregnant."
NCT02439359,Excluded,"The evidence clearly states that pregnant and lactating individuals are explicitly excluded from the trial. The inclusion criteria specify that females of childbearing potential must be non-pregnant and non-lactating, and must use contraception."
NCT04545541,Excluded,"The exclusion criteria explicitly state that females aged 18-49 years are excluded unless there is documented menopause, hysterectomy, or a negative pregnancy test. This clearly indicates that pregnant individuals are excluded from the trial."
NCT03487198,Excluded,The exclusion criteria explicitly state that females who are breast-feeding or lactating and those who have a positive pregnancy test result prior to screening or randomization are not eligible to participate. This clearly indicates that pregnant and lactating individuals are excluded from the trial.
NCT03482440,Excluded,"The study explicitly states that current pregnancy is an exclusion criterion, which clearly indicates that pregnant individuals are excluded from the trial."
NCT02873936,Unspecified,"The provided quote does not mention pregnant or lactating individuals. It only specifies previous treatment with any janus kinase (JAK) inhibitor as an exclusion criterion. Therefore, it is not clear from the given information whether pregnant or lactating individuals are excluded."
NCT05533411,Excluded,"The exclusion criteria explicitly state that lactating women and women of childbearing potential are excluded, which implies that pregnant individuals are also excluded."
NCT04307953,Excluded,"The evidence explicitly states that pregnant and breastfeeding women are excluded from the trial. It also mentions specific requirements for contraception for women of child-bearing potential and male participants with pregnant partners, further supporting the exclusion of pregnant and breastfeeding women."
NCT02673593,Unspecified,"The provided justification does not explicitly mention the exclusion of pregnant or lactating individuals. The requirement for participants to be non-smokers and have a negative urine cotinine test does not directly imply a requirement for non-pregnancy. Therefore, the evidence given suggests that the trial did not specify whether pregnant/lactating people were included."
NCT04258397,Excluded,"The exclusion criteria explicitly mention pregnancy, planning to become pregnant, or currently breast-feeding as conditions that exclude individuals from the trial. Additionally, it requires women under 55 to have a reliable method of birth control or have no menses in the preceding 2 years, further supporting the exclusion of pregnant or lactating individuals."
NCT00461305,Excluded,"The study involves the administration of contraceptives and requires participants to have a normal menstrual cycle, which implies that pregnant individuals are excluded. Additionally, the exclusion criteria mention patients with undiagnosed abnormal vaginal bleeding, further supporting the exclusion of pregnant individuals."
NCT01999400,Excluded,The quote 'Pregnant or lactating females' clearly indicates that pregnant or lactating females are explicitly excluded from the trial.
NCT00847886,Excluded,"The justification states that pregnant and nursing women are explicitly excluded from the trial. Additionally, the requirement for participants to practice contraception further supports the exclusion of pregnant individuals."
NCT00374309,Excluded,The trial explicitly excludes pregnant individuals by requiring a negative beta-HCG pregnancy test and excluding women who are breast-feeding or planning to become pregnant during the first 24 weeks after enrollment.
NCT02929823,Excluded,"The trial explicitly requires a negative pregnancy test and the use of effective contraception throughout the study, which clearly indicates that pregnant individuals are excluded."
NCT05277350,Excluded,"The evidence explicitly states that pregnant and lactating individuals are excluded from the trial. It also mentions that participants must agree to use highly effective contraception, which further supports the exclusion of pregnant or lactating individuals."
NCT04909723,Excluded,"The evidence clearly states that participants must not be pregnant and must agree to use highly effective contraceptives, which explicitly excludes pregnant individuals from the trial."
NCT04922021,Excluded,The quote 'Participant is pregnant or lactating' clearly indicates that pregnant or lactating individuals are explicitly excluded from the trial.
NCT03421288,Excluded,"The evidence clearly states that pregnant and breastfeeding individuals are explicitly excluded from the trial. The inclusion criteria require women of childbearing potential to use contraceptive methods and have a negative pregnancy test before starting the treatment, and it specifies that pregnancy or breastfeeding or planning to become pregnant within 5 months after the end of treatment are exclusion criteria."
NCT04649476,Excluded,"The evidence clearly states that female patients must test HCG negative, which is a pregnancy test, and use contraception. This indicates that pregnant individuals are explicitly excluded from the trial."
NCT00795262,Excluded,"The evidence clearly states that pregnant or nursing women are explicitly excluded from the trial. Additionally, it mentions that any subject who becomes pregnant during the study will be discontinued, which further supports the exclusion of pregnant or nursing women."
NCT01321255,Excluded,The exclusion criteria explicitly state that pregnant or premenopausal women are excluded from the trial.
NCT05139238,Excluded,The study explicitly states that it enrolls postpartum individuals within 6 weeks of delivery and does not include pregnant individuals. This clearly indicates that pregnant individuals are excluded from the trial.
NCT04662073,Excluded,"The evidence clearly states that participants must yield a negative urine pregnancy test at screening and adhere to contraceptive measures, which explicitly excludes pregnant individuals from the trial."
NCT00803712,Excluded,"The evidence provided clearly states that pregnant individuals are excluded from the trial, as indicated by the requirement for a negative pregnancy test and the use of contraceptives. Additionally, the criteria explicitly mention that subjects who are pregnant or breastfeeding are excluded."
NCT04397458,Excluded,"The study explicitly includes only those who have undergone a cesarean delivery, which means participants are in the postpartum period. Therefore, pregnant individuals are excluded by definition."
NCT00208299,Excluded,The quote explicitly states that pregnant or breast-feeding individuals are excluded from the trial.
NCT00204230,Excluded,The quote 'Exclusion Criteria: Gravidity or Lactation' clearly states that individuals who are pregnant (gravidity) or lactating are excluded from the trial.
NCT05744687,Excluded,The quote 'Pregnant or lactating women' clearly indicates that pregnant or lactating women are explicitly excluded from the trial.
NCT00229437,Excluded,"The evidence explicitly states that female subjects of childbearing potential must be nonpregnant and nonlactating, which clearly indicates that pregnant and lactating individuals are excluded from the trial."
NCT02596074,Excluded,"The quote 'Pregnant, breast feeding or trying to conceive' explicitly mentions that pregnant and breastfeeding individuals are excluded from the trial."
NCT02977286,Excluded,The quote 'Pregnant or actively lactating females' clearly indicates that these individuals are explicitly excluded from the trial.
NCT03757351,Excluded,"The study explicitly excludes women of childbearing potential, which implies that pregnant individuals are not eligible to participate."
NCT00240513,Excluded,"The exclusion criteria explicitly mention that pregnant, breast-feeding, or lactating individuals are excluded from the trial."
NCT02638207,Excluded,"The evidence explicitly states that pregnant and breastfeeding women are excluded from the trial. It also specifies that participants must use effective birth control methods, which further supports the exclusion of pregnant and breastfeeding women."
NCT00367783,Excluded,"The exclusion criteria specifically mention 'Women of childbearing potential,' which implies that pregnant individuals are excluded from the trial."
NCT00588731,Excluded,The provided quote explicitly states that pregnant and nursing women are excluded from the trial. The exclusion criteria clearly mention that women who are pregnant or nursing are not eligible to participate.
NCT04615351,Excluded,"The trial focuses on postpartum females who had gestational diabetes and cannot tolerate metformin. Since it specifically targets postpartum females, it inherently excludes currently pregnant individuals."
NCT04970654,Excluded,"The trial is explicitly focused on prepubertal children aged 2-11 years, and pregnant individuals are not mentioned. Given the specific age range and developmental stage targeted, it is clear that pregnant/lactating individuals are excluded by the nature of the study design."
NCT00414687,Excluded,"The exclusion criteria explicitly mention 'Pregnancy, female patients of child-bearing potential without adequate contraception and nursing mothers,' which clearly indicates that pregnant and lactating individuals are excluded from the trial."
NCT05828485,Excluded,"The justification clearly states that pregnant or lactating women are explicitly excluded from the trial. Additionally, the requirement for participants to take contraceptives further supports the exclusion of pregnant or lactating women."
NCT00236457,Excluded,"The justification explicitly states that pregnant or nursing females are excluded from the trial, which aligns with the provided quote."
NCT00737282,Excluded,The quote explicitly states that pregnant or lactating females or women who are attempting or expecting to become pregnant at any time during the study are excluded. This directly indicates that such individuals are not allowed to participate in the trial.
NCT03353753,Excluded,"The evidence explicitly states that pregnant and lactating individuals are excluded from the trial. It mentions that female patients of childbearing potential must have a negative pregnancy test at screening and agree to follow contraception requirements. Additionally, it clearly states that if the patient is female, she cannot be pregnant or lactating."
NCT00852696,Excluded,"The justification clearly states that pregnant individuals are excluded from the trial because it involves sub-urethral sling procedures and anti-muscarinic medications, which are not suitable for pregnant individuals."
NCT02578472,Excluded,"The trial explicitly requires women of childbearing potential to have a negative pregnancy test and to practice a highly effective method of birth control, which clearly indicates that pregnant individuals are excluded from the trial."
NCT02404870,Excluded,"The evidence clearly states that pregnant individuals are explicitly excluded from the trial. This is indicated by the requirement for a negative pregnancy test and the use of effective contraceptive methods. Additionally, a positive urine pregnancy test or planning to become pregnant during the study are grounds for exclusion."
NCT00788229,Excluded,The provided quote explicitly states that pregnant and lactating individuals are excluded from the trial. It also specifies additional criteria for excluding females of childbearing potential who do not meet certain conditions.
NCT03301298,Excluded,"The trial explicitly excludes female subjects of childbearing potential, which includes pregnant individuals. The phrase 'Female subject of childbearing potential' indicates that pregnant individuals are excluded."
NCT00802815,Excluded,"The evidence clearly states that women of childbearing potential must have a negative pregnancy test and use adequate birth control, which explicitly excludes pregnant individuals from the trial."
NCT05635084,Excluded,"The evidence explicitly states that pregnant or nursing women are excluded from the trial. Additionally, it specifies that women of childbearing potential must use highly effective contraception, further supporting the exclusion of pregnant or lactating women."
NCT00272766,Excluded,"The evidence provided clearly states that participants must have limited childbearing potential and a negative pregnancy test, which explicitly excludes pregnant individuals from the trial."
NCT04982913,Excluded,"The evidence explicitly states that pregnant and lactating individuals are excluded from the trial. It also mentions that participants must take effective contraceptive measures, further supporting the exclusion of pregnant and lactating individuals."
NCT01200602,Excluded,"The trial explicitly excludes pregnant individuals by requiring a negative pregnancy test for women of childbearing potential, which indicates that pregnant individuals cannot participate."
NCT03621085,Excluded,The quote 'Pregnancy or breast feeding' under Exclusion Criteria explicitly states that pregnant and breastfeeding individuals are excluded from the trial.
NCT00790478,Excluded,"The evidence clearly states that pregnant and breastfeeding women are explicitly excluded from the trial. It also specifies that female participants must have a negative pregnancy test and practice acceptable contraception, and it mentions that women who are pregnant, breastfeeding, attempting conception, or planning to attempt conception over the following 6 months, or are currently taking hormone replacement therapy (HRT) are excluded."
NCT00250952,Excluded,"The evidence clearly states that pregnant and breastfeeding individuals are explicitly excluded from the trial. The inclusion criteria require a negative pregnancy test and reliable contraception, and the exclusion criteria explicitly exclude pregnant and breastfeeding individuals."
NCT01367561,Excluded,"The exclusion criteria explicitly state that females are excluded, which inherently includes pregnant individuals."
NCT00861406,Excluded,"The evidence clearly states that pregnant and lactating women are explicitly excluded from the trial. It specifies that women of childbearing potential must have a negative pregnancy test and use contraception, and must not be pregnant or lactating."
NCT00416442,Excluded,"The study explicitly requires female subjects to be either surgically sterilized or postmenopausal, which inherently excludes pregnant individuals. The criteria ensure that participants cannot be pregnant or become pregnant during the study."
NCT00947791,Excluded,"The quote explicitly states that women who plan to become pregnant, are pregnant, or are breastfeeding are excluded from the trial."
NCT02579603,Excluded,"The provided quote explicitly states that pregnant and nursing women are excluded from the trial. It also specifies that women of childbearing potential must use highly effective methods of birth control, further indicating that the trial is designed to exclude pregnant and nursing women."
NCT00000451,Excluded,"The quote explicitly states that pregnant and nursing females are excluded from the study. It also mentions that participants must use a reliable method of birth control, reinforcing the exclusion of pregnant and nursing females."
NCT00817713,Excluded,The exclusion criteria explicitly state that pregnant and lactating women in the first week of lactation are excluded from the trial.
NCT04360135,Excluded,"I agree because the study involves participants undergoing hysterectomy, a procedure that removes the uterus, making pregnancy impossible. Therefore, pregnant individuals are explicitly excluded."
NCT00261599,Excluded,"The trial explicitly states that female patients must be surgically sterile, postmenopausal, or not pregnant or lactating, and must have a negative pregnancy test result at screening and pre-dose. This clearly indicates that pregnant and lactating individuals are excluded from the trial."
NCT05873062,Excluded,The study explicitly excludes pregnant individuals as it requires women of childbearing potential to have a negative urine pregnancy test and to comply with contraceptive requirements. This clearly indicates that pregnant individuals are not allowed to participate in the trial.
NCT00865215,Excluded,The evidence explicitly states that female volunteers must have a negative pregnancy screen and cannot be currently pregnant or breastfeeding. This clearly indicates that pregnant and lactating individuals are excluded from the trial.
NCT03992365,Excluded,"The justification clearly states that pregnant, lactating women or women of childbearing potential without an effective method of birth control are explicitly excluded from the trial. This is supported by the quote provided."
NCT04045795,Excluded,"The requirement for contraceptive use by men or women implies that the trial is taking measures to prevent pregnancy during the study period, which suggests that pregnant individuals are excluded."
NCT00956098,Excluded,"The quote explicitly states that pregnant or lactating individuals are excluded from the trial, as it mentions 'pregnancy or lactation' as a condition for exclusion."
NCT02542943,Excluded,"The justification clearly states that pregnant or breastfeeding women are explicitly excluded from the trial, and this is supported by the quote from the exclusion criteria."
NCT02044848,Excluded,"The justification explicitly states that pregnant or lactating individuals are excluded from the trial, as indicated by the phrase 'Pregnancy or lactation.'"
NCT01641939,Excluded,"The quote 'For female participants, current pregnancy or lactation' explicitly states that pregnant and lactating individuals are excluded from the trial."
NCT02981069,Excluded,"The evidence explicitly states that pregnant individuals are excluded from the trial. The exclusion criteria mention suspected pregnancy, desiring pregnancy in the next 6 months, breastfeeding, or known pregnancy in the last 2 months. Additionally, participants must use two barrier methods of contraception during the study period unless sterilized or have an IUD."
NCT03560349,Excluded,"The study explicitly includes women who have developed a post-dural puncture headache after labor, indicating that participants are postpartum. Since the focus is on the postpartum period, pregnant individuals are excluded."
NCT02379091,Excluded,"The quote explicitly states that pregnant or lactating individuals are excluded from the trial, as it mentions that participants who are pregnant or lactating, or intend to become pregnant or donate ova within a specified time frame, are not eligible."
NCT04530747,Excluded,"The provided quote explicitly states that pregnant and breastfeeding individuals are excluded from the trial. It also mentions that women of child-bearing potential must use contraception, further supporting the exclusion of pregnant individuals."
NCT02158533,Excluded,"The exclusion criteria explicitly state that individuals who are pregnant, planning to become pregnant, or breastfeeding are excluded from the trial."
NCT00971152,Excluded,The study explicitly excludes individuals with any contraindication to being pregnant and carrying a pregnancy to term. This indicates that pregnant/lactating people are excluded from the trial.
NCT02519231,Excluded,"The evidence clearly states that pregnant individuals are explicitly excluded from the trial, as the exclusion criteria include 'Known or suspected pregnancy' and 'Postpartum in the past 4 weeks.'"
NCT02474069,Excluded,"The evidence explicitly states that pregnant and breastfeeding women are excluded from the trial. It also specifies the requirements for women capable of becoming pregnant, including practicing contraception and having a negative pregnancy test before inclusion."
NCT02058849,Excluded,"The justification clearly states that pregnant women are explicitly excluded from the study due to the potential teratogenic or abortifacient effects of chemo-radiation. Additionally, it mentions that breastfeeding should be discontinued due to potential risks to nursing infants, which implies that lactating women are also excluded."
NCT01353508,Excluded,"The exclusion criteria explicitly mention 'Women of childbearing potential,' which includes pregnant individuals. Therefore, the evidence suggests that pregnant/lactating people are excluded from the trial."
NCT00797706,Excluded,"The inclusion criteria explicitly state that participants must be clinically sterile females, which directly excludes pregnant individuals."
NCT00293969,Excluded,"The justification clearly states that pregnant and breastfeeding individuals are explicitly excluded from the trial, and this is supported by the quote from the exclusion criteria: 'pregnancy or breast-feeding'."
NCT03976401,Excluded,"The inclusion criteria explicitly state that only non-pregnant, non-lactating females are eligible, which clearly excludes pregnant and lactating females from the trial."
NCT00417872,Excluded,"The evidence explicitly states that pregnant and breastfeeding women are excluded from the trial. It also details the requirements for women of childbearing potential to use birth control and have a negative pregnancy test, further supporting the exclusion of pregnant and breastfeeding women."
NCT00338455,Excluded,"The requirement for participants to use two highly effective methods of birth control for the duration of the study implies that pregnant individuals are excluded, as they would not need birth control if they were already pregnant."
NCT02296190,Excluded,"The evidence clearly states that pregnant individuals are explicitly excluded from the trial. The inclusion criteria require females of childbearing potential to have a negative pregnancy test and use contraception, and the exclusion criteria specifically mention that females who are pregnant or planning to become pregnant during the study period are excluded."
NCT02263508,Excluded,"The justification clearly states that participants must not be pregnant or breastfeeding, which explicitly excludes pregnant and lactating individuals from the trial."
