"","nct_id","official_title","summary","criteria","C_section_pain","Postpartum_GPT","Postpartum_quote.x","Enrolls_postpartum","Postpartum_intervention","Postpartum_quote.y"
"24","NCT02487303","Intravenous Versus Oral Acetaminophen for Postoperative Pain Control After Cesarean Delivery","This study will compare IV (intravenous) versus oral (PO) acetaminophen for postoperative pain after scheduled, elective Cesarean delivery. All patients will receive a standardized spinal anesthetic for operative anesthesia and will be randomized into one of three groups: (group 1) 1 gram IV acetaminophen every 8 hours for three doses, (group 2) 1 gram oral acetaminophen every 8 hours for three doses, or (group 3) no acetaminophen. This will be a randomized, open label study.","Inclusion Criteria:~Parturients 18 years~Elective Cesarean delivery~Spinal anesthesia~Able to consent to the study and participate in the follow-up.~Exclusion Criteria:~Weight under 50 kgs~Allergy to acetaminophen~General anesthesia~Urgent or emergent cases~Bleeding diathesis or other coagulopathy~G6PD deficiency~Liver disease~Substance abuse or dependence~HELLP syndrome~Thrombocytopenia or platelet dysfunction~History or active gastrointestinal bleeding~Acute kidney injury or chronic renal insufficiency~Contraindication/refusal to spinal anesthesia~Chronic pain~Chronic narcotic use~Illicit drug use~Allergy to any study related medications.",1,"Postpartum intervention","This study will compare IV (intravenous) versus oral (PO) acetaminophen for postoperative pain after scheduled, elective Cesarean delivery.",1,1,"postoperative pain after scheduled, elective Cesarean delivery"
"25","NCT01868633","The Effect of a Single Intraoperative Dose of Dexamethasone in Combination With Intrathecal Morphine for Post Cesarean Delivery Analgesia","The purpose of this study is to assess the effectiveness intravenous (IV) dexamethasone when used as part of a multimodal regimen to manage post cesarean delivery pain.~We hypothesize that a single dose of IV dexamethasone administered, as part of a multimodal analgesia after spinal anesthesia will significantly reduce post cesarean delivery opioid consumption and pain","Inclusion Criteria:~English Speaking~Non-laboring women~Scheduled Elective Cesarean section under spinal anesthesia~American Society of Anesthesiologists I-II physical status~Exclusion Criteria:~Contraindications to spinal anesthesia~allergy to study medication~patients with allergy to morphine~patients with uncontrolled hypertension~history of peptic ulcer disease~liver cirrhosis~diabetes mellitus~glaucoma~known IV drug abusers~patients with chronic pain or on long term opioids~patients administered steroids in the past week~women with fetuses having known congenital abnormalities~psychiatric illness such that they are unable to comprehend or participate in study questions~patients on antiviral medications or live virus vaccines would also be excluded.",1,"Postpartum intervention","The purpose of this study is to assess the effectiveness intravenous (IV) dexamethasone when used as part of a multimodal regimen to manage post cesarean delivery pain.",0,0,"post cesarean delivery pain"
"26","NCT04067609","Postoperative Dexamethasone on Post-Cesarean Pain in Patients Using Medication Assisted Treatment (MAT)","Investigating if giving post-operative dexamethasone to patients with a history of opioid use disorder on medication assisted treatment during pregnancy improves their pain scores and decreases their opioid use after cesarean section.","Inclusion Criteria:~English-speaking,~History of opioid use disorder with current use of MAT during pregnancy,~Scheduled for cesarean delivery for their current pregnancy for any indication [examples of elective c-section (decision made for c-section to be performed prior to onset of labor): fetal malpresentation, suspected macrosomia, prior c-section, abnormal placentation, patient preference],~Negative toxicology screen upon admission to the hospital for their cesarean section, no prior administration of betamethasone for fetal lung maturity within 24h of their scheduled cesarean delivery~Exclusion Criteria:~non-english speaking,~screen positive for illicit substance(s) on their admission toxicology screen,~require general anesthesia for their cesarean section due to maternal/fetal indication for non-anticipated urgency (thus no longer 'elective') or failure of adequate intra- operative pain control with spinal anesthesia,~medical history including known cardiovascular disease, heart failure, uncontrolled hypertension, uncontrolled gestational diabetes or uncontrolled pregestational diabetes, active GI bleed or untreated peptic ulcer,~untreated infectious diseases including tuberculosis, systemic candida",1,"Postpartum intervention","Investigating if giving post-operative dexamethasone to patients with a history of opioid use disorder on medication assisted treatment during pregnancy improves their pain scores and decreases their opioid use after cesarean section.",0,1,"Investigating if giving post-operative dexamethasone to patients with a history of opioid use disorder on medication assisted treatment during pregnancy improves their pain scores and decreases their opioid use after cesarean section."
"27","NCT03638011","A Comparison of the Post-cesarean Section Analgesic Effects of Neuraxial Duramorph vs. Bilateral Transverse Abdominal Plane Block With Combined Bupivacaine/Liposomal Bupivacaine (Exparel)","The primary objective is to reduce or eliminate the use of all narcotics/opiates for post Cesarean section pain management. The investigators hypothesize that in comparison with epidural or intrathecal Duramorph, a TAP block with liposomal bupivacaine (Exparel) will provide better, longer-acting pain control and will significantly reduce the use of post-operative IV or p.o. opiates. This is a prospective, randomized clinical trial.","Inclusion Criteria:~Females, aged 18-45 years inclusive and ASA physical status 1-3.~Undergoing non-urgent Cesarean section with neuraxial anesthesia/analgesia.~Subjects must be physically and mentally able to participate in the study and complete all study assessments.~Subjects must be able to give fully informed consent to participate in this study after demonstrating a good understanding of the risks and benefits of the proposed components of the TAP infiltration.~Exclusion Criteria:~History of hypersensitivity or idiosyncratic reactions to amide-type local anesthetics~Any subject whose anatomy, or surgical procedure, in the opinion of the Investigator, might preclude the potential successful performance of a bilateral TAP infiltration.~Any subject who in the opinion of the Investigator, might be harmed or be a poor candidate for participation in the study.~Any subject, who in the opinion of the Investigator, is on chronic pain medicine, including large doses of NSAIDs.~Subjects who have received any investigational drug within 30 days prior to study drug administration, or planned administration of another investigational product or procedure during their participation in this study.",1,"Postpartum intervention","The primary objective is to reduce or eliminate the use of all narcotics/opiates for post Cesarean section pain management.",1,1,"The primary objective is to reduce or eliminate the use of all narcotics/opiates for post Cesarean section pain management."
"28","NCT02919072","Comparison of Epidural Chloroprocaine 3% and Ropivacaine 0.75% for Unplanned Caesarean Section in Labouring Women Who Have an Epidural Catheter in Situ","The study evaluate the quality of epidural anaesthesia and the safety of Chloroprocaine HCl 3% compared with Ropivacaine HCl 0.75% in patients with an epidural catheter in situ undergoing unplanned Caesarean section.","Inclusion Criteria:~Informed consent: Signed written informed consent before inclusion in the study (obtained from women fulfilling the criteria, only when effective analgesia has been established)~Sex, pregnancy status and age: Labouring women with singleton pregnancy, ≥ 18 years old~Epidural catheter: Previously sited epidural catheter~ASA physical status: I-II~Analgesia: Effective analgesia established following combined spinal epidural analgesia (CSE)~Term gestation: ≥ 36 weeks~Caesarean section: Unplanned Caesarean section category 2 or 3, according to Lucas Classification~Body Mass Index (BMI): ≤ 40 kg/m2~Full comprehension: ability to comprehend the full nature and purpose of the study, including possible risks and side effects; ability to co-operate with the investigator and to comply with the requirements of the entire study.~Exclusion Criteria:~Physical findings: Clinically significant abnormal physical findings which could interfere with the objectives of the study. Contraindications to epidural anaesthesia~ASA physical status: III-V~Further anaesthesia: Patients expected to require further anaesthesia~Epidural catheter: Epidural catheter failure (epidural catheter replacement required or inability to provide effective analgesia)~Pregnancy: Labouring women with multiple pregnancy~Caesarean section: Elective Caesarean section~Allergy: ascertained or presumptive hypersensitivity to the active principle and /or formulations ingredients; ascertained or presumptive hypersensitivity to the amide and ester-type anaesthetics~Diseases: significant history of renal, hepatic, gastrointestinal, cardiovascular, respiratory, skin, haematological, endocrine or neurological diseases that may interfere with the aim of the study; ascertained psychiatric diseases, eclampsia, antepartum haemorrhage, sepsis, blood coagulation disorders, insulin dependent diabetes mellitus, terminal kidney failure~Medications: Medication known to interfere with the extent of regional blocks (see chloroprocaine and ropivacaine SmPCs) for 2 weeks before the start of the study~Investigative drug studies: participation in the evaluation of any investigational product for 3 months before this study, calculated from the first day of the month following the last visit of the previous study~Drug, alcohol: history of drug or alcohol abuse~Plasma cholinesterase: Known plasma cholinesterase deficiency.",1,"Neither","0",0,0,"The study evaluate the quality of epidural anaesthesia and the safety of Chloroprocaine HCl 3% compared with Ropivacaine HCl 0.75% in patients with an epidural catheter in situ undergoing unplanned Caesarean section."
"29","NCT02605187","Patient-Driven Analgesic Protocol Selection for Post-Cesarean Pain Management","The ability to predict pain and then apply modified treatment protocols has been limited. Current practice is for physicians to select standard post-operative pain treatment protocols without patient consultation. This study hopes to determine if patient's involvement in analgesic drug/dosage selection can optimize pain relief while minimizing related side effects. This could result in a more patient-centered care model and individualized perioperative analgesic treatment protocols based on patient's preferences, needs and expectations.","Inclusion Criteria:~Women age 18-50~Singleton gestation~Not in active labor~Scheduled for their 1st, 2nd, or 3rd elective Cesarean~Cesarean deliveries under spinal or combined spinal epidural anesthesia (with no additional epidural doses administered)~Exclusion Criteria:~History of chronic pain, anxiety, or depression~Unable to understand the concept of Verbal Numerical Pain Scale at the time of informed consent~Chronic consumption of opiates, antidepressants or anticonvulsants~Intake of opioids, NSAIDS or acetaminophen 48hrs prior to the psychophysical test~Preeclampsia (with any severe features)~Diabetes (not controlled with diet and needing drugs)~Preterm delivery (<35 weeks gestation)",1,"Postpartum intervention","This study hopes to determine if patient's involvement in analgesic drug/dosage selection can optimize pain relief while minimizing related side effects.",0,1,"post-operative pain treatment protocols"
"30","NCT03500211","Lidocaine Patch for Adjunct Analgesia for Postoperative Cesarean Birth Patients","Randomized control trial evaluating use of lidocaine vs placebo patch for post-operative cesarean incision pain.","Inclusion Criteria:~Pregnant patients who require a scheduled or non-urgent cesarean birth~Patient able to receive neuraxial analgesia~Patient able to give verbal and written consent for both cesarean birth and study~Exclusion Criteria:~Patients requiring emergent cesarean birth~Patients allergic to lidocaine or adhesive~Patients who have already received an epidural during this admission or requiring general anesthesia for cesarean birth~Patients using chronic oral neuromodulators~Patients with cardiac disease or using anti-arrhythmic agents~Patients with fibromyalgia or chronic pain syndromes such as rheumatoid arthritis, osteoarthritis, or lupus.~Daily narcotic or opiate use for greater than the 2 months prior to enrollment in the study.",1,"Postpartum intervention","Randomized control trial evaluating use of lidocaine vs placebo patch for post-operative cesarean incision pain.",0,1,"Randomized control trial evaluating use of lidocaine vs placebo patch for post-operative cesarean incision pain."
"31","NCT04897841","Obstetric Liposomal Bupivacaine Via Surgical Transversus Abdominis Plane Block for Post Cesarean Pain Control: a Single-blind Pilot Randomized Controlled Trial","This study seeks to identify whether the addition of liposomal bupivacaine to regular bupivacaine and saline administered via surgical transversus abdominis plane (TAP) block will reduce the cumulative opioid dose in the first 48 hours after cesarean. 60 women scheduled for cesarean at Unity-Point Health Meriter Hospital in Madison, Wisconsin will be enrolled and can be expect to be on study for up to 6 weeks post-partum.","Inclusion Criteria:~Maternal age greater than or equal to 18~Singleton or multifetal pregnancy~Able to receive neuraxial analgesia~Planned/ scheduled Cesarean delivery OR non-urgent Cesarean delivery at UnityPoint-Health Meriter with adequate time to consider and consent to the study~Able to provide consent in English~Exclusion Criteria:~Known hypersensitivity to bupivacaine (defined as a history of a reaction or allergy to bupivacaine (injectable, intravenous, or transdermal) reported by patient or documented in the medical record~Contraindication to regional analgesia~Positive urine drug screen at admission to the hospital, if ordered for clinical purposes.~Current opioid use or opioid use disorder per patient report or documented in the medical record~Chronic opioid use or opioid use disorder, either patient reported or documented in the medical record, defined as opioid use on most days for greater than 3 months~Planned cesarean hysterectomy (excluded due to anticipated blood loss and alternative pain control measures, possible prolonged intubation)~Planned vertical midline incision (excluded due to possible different postpartum pain)~Presence of renal dysfunction precluding the use of NSAIDs (NSAIDs are part of the usual postpartum pain regimen/ hospital protocol) per discretion of the treating physician or PI~Ischemic heart disease, congestive heart failure, or cardiomyopathy of pregnancy precluding the use of NSAIDs (NSAIDs are part of the usual postpartum pain regimen/ hospital protocol) per discretion of the treating physician or PI~Significant liver dysfunction precluding the use of acetaminophen (acetaminophen is part of the usual postpartum pain regimen/ hospital protocol) per discretion of the treating physician or PI~Coagulopathy~Planned discharge from the hospital less than 48 hours postpartum~Unable to receive post-operative scheduled acetaminophen for any reason, such as allergy to acetaminophen or elevated liver function tests precluding acetaminophen use~Unable to receive post-operative scheduled NSAIDs for any reason, such as allergy to ketorolac or ibuprofen, or renal dysfunction precluding NSAID use~Seizure disorder: Specifically, poorly controlled seizure disorder defined as having had a seizure within the last three years despite antiepileptic use or poorly managed seizure disorder due to medication non-compliance.~Cardiac disease or arrhythmia: Defined as ischemic heart disease, peripartum cardiomyopathy, heart failure (with reduced or preserved ejection fraction, compensated or decompensated). Patients with a remote history of non-cyanotic pediatric cardiac surgery (like a VSD closure or PDA ligation as a child) do not need to be excluded. History of adult cardiac surgery without ongoing problems or treatments other than chronic anticoagulation (mitral valve repair for MVP or aortic valve replacement for bicuspid aortic valve for example) would not need to be excluded. History of repaired congenital cyanotic heart disease should be considered for exclusion, ultimately up to the anesthesiologist that day. A patient with a history of arrhythmias not requiring medication or ablation would NOT need to be excluded and could be included in the study. History of ablation or active anti-arrhythmic medication should be considered for exclusion.~Hypoxia: Defined as requiring supplemental oxygen during the day.~Acidosis. This will be uncommon in our population, but if someone has active diabetic ketoacidosis will exclude.",1,"Enrolls postpartum","60 women scheduled for cesarean at Unity-Point Health Meriter Hospital in Madison, Wisconsin will be enrolled and can be expect to be on study for up to 6 weeks post-partum.",0,1,"This study seeks to identify whether the addition of liposomal bupivacaine to regular bupivacaine and saline administered via surgical transversus abdominis plane (TAP) block will reduce the cumulative opioid dose in the first 48 hours after cesarean."
"32","NCT03810235","Transdermal Lidocaine Patch for Post-Cesarean Pain Control for Women With Obesity: a Single-blind Randomized Controlled Trial","This study will be a single-center, single blind, randomized controlled trial. The study will be conducted at UnityPoint-Health Meriter Hospital under investigators from the University of Wisconsin-Madison. Obstetric patients with prepregnancy obesity undergoing a Cesarean delivery at UnityPoint-Health Meriter will be eligible.","Inclusion Criteria:~Maternal age greater than or equal to 18~Prepregnancy body mass index greater than or equal to 30 kg/m2 or ≥35 kg/m2 at delivery if no prepregnancy/ early pregnancy weight available~Singleton or multifetal pregnancy~Able to receive neuraxial analgesia~Planned/ scheduled Cesarean delivery OR non-urgent Cesarean delivery with adequate time to consider and consent to the study~Gestational age greater or equal to 32 weeks~Exclusion Criteria:~Known hypersensitivity to lidocaine or colloid patch (defined as a history of a reaction or allergy to lidocaine (injectable, intravenous, or transdermal) or hydrocolloid patch reported by patient or documented in the medical record) or patient report~Contraindication to regional analgesia~Positive urine drug screen at admission to the hospital, if ordered for clinical purposes.~Current opioid use or opioid use disorder per patient report or documented in the medical record or the ePDMP (reviewed by PI 1-14 days prior to surgery)~Chronic opioid use or opioid use disorder, either patient reported or documented in the medical record or the ePDMP (reviewed by PI 1-14 days prior to surgery), defined as opioid use on most days for >3 months~Planned Cesarean hysterectomy (excluded due to anticipated blood loss and alternative pain control measures, possible prolonged intubation)~Planned vertical midline incision~Presence of renal dysfunction precluding the use of NSAIDs~Ischemic heart disease, congestive heart failure, or cardiomyopathy of pregnancy~Coagulopathy~Planned discharge from the hospital less than 24 hours postpartum",1,"Postpartum intervention","The intervention is evaluated for pain control after Cesarean delivery, which is a postpartum intervention.",1,1,"Transdermal Lidocaine Patch for Post-Cesarean Pain Control for Women With Obesity"
"33","NCT02009722","Intrathecal Opioids for Pain Control After Cesarean Delivery: Determining the Optimal Dose","Both hydromorphone and morphine are administered as part of spinal anesthesia to help improve pain control after cesarean delivery. In this study, the investigators are going to determine the doses of each of those medicines that provides optimal pain control to women undergoing cesarean delivery while limiting side effects related to those medicines. The investigators hypothesize that the doses of hydromorphone and morphine that provide optimal pain control without significant side effects will be 100 micrograms and 150 micrograms, respectively. The investigators further hypothesize that at each respective optimal dose, side effects will be less in the hydromorphone group.","Inclusion Criteria:~Women presenting for elective cesarean delivery with no major co-morbidities, including pregnancy induced co-morbidities (e.g. pre-eclampsia)~Singleton gestation at term (37-42 weeks)~Desire to have a spinal anesthesia technique for cesarean delivery~Exclusion Criteria:~Current or historical evidence of clinically significant medical disease or condition~Any contraindication to the administration of a spinal technique for anesthesia~History of hypersensitivity or idiosyncratic reaction to opioid medications~Chronic pain syndrome or current regular opioid use~Evidence of anticipated fetal anomalies~Allergy or intolerance to Tylenol, ketorolac, ibuprofen, or oxycodone~BMI > 40",1,"Neither","0",0,0,"pain control after cesarean delivery"
"34","NCT02354833","Phenylephrine vs. Norepinephrine Infusion in Preventing Hypotension After Spinal Anesthesia for Cesarean Delivery","The purpose of the study is to determine if a medication called phenylephrine, which helps to control blood pressure, is more effective as a continuous intravenous (IV) infusion compared to continuous IV norepinephrine in maintaining blood pressure during a spinal anesthetic for a cesarean delivery. Good blood pressure control has been shown to decrease nausea and vomiting during and after cesarean delivery under spinal anesthesia. For elective cesarean delivery, all participants will receive spinal anesthesia with a local anesthetic and morphine (provides long term pain control after cesarean delivery). This study plans to enroll 80 pregnant research subjects 18 years and above. Patients will be randomly assigned according to a computer generated system to be in one of two groups.","Inclusion Criteria:~The American Society of Anesthesiologists (ASA) Physical Status classification 1 and 2~Pregnant women with singleton pregnancy~Gestational age greater than 36 weeks~Cesarean delivery under spinal anesthesia~Exclusion Criteria:~Use of cardiac medication or medication for blood pressure control~Cardiovascular disease~Multiple gestation~Gestation diabetes requiring insulin~History of postoperative nausea and vomiting~Refusal to be in study~Gastric bypass surgery~History of chronic opioid use (chronic pain syndrome)~Emergent caesarean delivery for maternal and/or fetal distress~Eclampsia~Progressive neurologic disease~Infection at insertion site~Allergy to local anesthetics, narcotics or other study medications.",1,"Neither","0",0,0,"Good blood pressure control has been shown to decrease nausea and vomiting during and after cesarean delivery under spinal anesthesia."
"35","NCT00458003","Phenylephrine Versus Ephedrine to Treat Spinal Anesthesia-Induced Hypotension in Preeclamptic Patients During Cesarean Delivery","Hypotension remains a common clinical problem after induction of spinal anesthesia for cesarean delivery. Maternal hypotension has been associated with considerable morbidity (maternal nausea and vomiting and fetal/neonatal acidemia). Traditionally, ephedrine has been the vasopressor of choice because of concerns about phenylephrine's potential adverse effect on uterine blood flow. This practice was based on animal studies which showed that ephedrine maintained cardiac output and uterine blood flow, while direct acting vasoconstrictors, e.g., phenylephrine, decreased uteroplacental perfusion. However, several recent studies have demonstrated that phenylephrine has similar efficacy to ephedrine for preventing and treating hypotension and may be associated with a lower incidence of fetal acidosis. All of these studies have been performed in healthy patients undergoing elective cesarean delivery.~Preeclampsia complicates 5-6% of all pregnancies and is a significant contributor to maternal and fetal morbidity and mortality. Many preeclamptic patients require cesarean delivery of the infant. These patients often have uteroplacental insufficiency. Given the potential for significant hypotension after spinal anesthesia and its effect on an already compromised fetus, prevention of (relative) hypotension in preeclamptic patients is important. Spinal anesthesia in preeclamptic patients has been shown to have no adverse neonatal outcomes as compared to epidural anesthesia when hypotension is treated adequately. Due to problems related to management of the difficult airway and coagulopathy, both of which are more common in preeclamptic women, spinal anesthesia may be the preferred regional anesthesia technique. Recent studies have demonstrated that preeclamptic patients may experience less hypotension after spinal anesthesia than their healthy counterparts. To our knowledge, phenylephrine for the treatment of spinal anesthesia-induced hypotension has not been studied in women with preeclampsia. The aim of our study is to compare intravenous infusion regimens of phenylephrine versus ephedrine for the treatment of spinal anesthesia induced hypotension in preeclamptic patients undergoing cesarean delivery. The primary outcome variable is umbilical artery pH.","Inclusion Criteria:~ASA PS II - III women~18 years old and older~scheduled for cesarean delivery (no trial of labor)~eligible for spinal anesthesia~diagnosis of preeclampsia~Exclusion Criteria:~patients with failed trial of labor~preexisting hypertension~body mass index (BMI) ≥ 40 kg/m2~resting heart rate < 60 bpm~progression to eclampsia, > twin gestation~known fetal anomalies~contraindications to spinal anesthesia~emergency procedure or refusal of consent~failure to achieve a T6 level of anesthesia~conversion to general anesthesia",1,"Neither","0",0,0,"Hypotension remains a common clinical problem after induction of spinal anesthesia for cesarean delivery."
"36","NCT03853694","A Multicenter, Randomized, Active-Controlled Study to Evaluate the Efficacy and Safety of EXPAREL When Administered Via Infiltration Into the Transversus Abdominis Plane Versus Standard of Care in Subjects Undergoing Elective Cesarean Section (CHOICE)","The purpose of this study is to compare total opioid consumption by subjects in different treatment groups.~Another purpose of this study is to assess how well EXPAREL works, collect any safety data and assess your satisfaction using EXPAREL.","Inclusion Criteria:~Females 18 years of age and older at screening.~Term pregnancies of 37 to 42 weeks gestation, scheduled to undergo elective C-section.~American Society of Anesthesiology (ASA) physical status 1, 2, or 3.~Able to provide informed consent, adhere to the study visit schedule, and complete all study assessments.~Exclusion Criteria:~Subjects who, in the opinion of the study site principal investigator, have a high-risk pregnancy.~Subjects with a pregnancy-induced medical condition or complication.~Subjects with 3 or more prior C-sections.~Pre-pregnancy body mass index >50 kg/m2.~Allergy, hypersensitivity, intolerance, or contraindication to any of the study medications.~Planned concurrent surgical procedure with the exception of salpingo-oophorectomy or tubal ligation.~Severely impaired renal or hepatic function.~Subjects at an increased risk for bleeding or a coagulation disorder.~Concurrent painful physical condition that may require analgesic treatment in the postsurgical period for pain that is not strictly related to the surgery.~Clinically significant medical disease in either the mother or baby that, in the opinion of the investigator, would make participation in a clinical study inappropriate.~History of, suspected, or known addiction to or abuse of illicit drug(s), prescription medicine(s), or alcohol within the past 2 years.~Administration of an investigational drug within 30 days or 5 elimination half-lives of such investigational drug.~Previous participation in an EXPAREL study.~Any clinically significant event or condition uncovered during the surgery that might render the subject medically unstable or complicate the subject's postsurgical course.~Receives the epidural component of combined spinal epidural (CSE) anesthesia during the study.",1,"Neither","0",0,0,"elective C-section~pain management"
"37","NCT02571439","A Randomized Controlled Trial of Surgical TAP-block After Cesarean Delivery: a Cost-effective Alternative to the Conventional TAP-block","The TAP is a space between the muscle layers of the abdominal wall that houses nerves supplying the abdominal skin. Injecting the local anesthetic ropivacaine into this space will block these nerves and prevent pain following c-section. The investigators will compare two different approaches to injecting the local anesthetic in this space. Conventionally, the block is done after surgery is completed and the abdomen is closed. The anesthesiologist introduces a needle through the abdominal wall skin under ultrasound guidance to reach the TAP space and the drug is injected. Since the TAP layer is one of the deeper layers of the abdominal (belly) wall and is closer to the inside of the abdomen than to the outside (skin), injecting from the inner aspect of the abdominal wall during the surgery is easier and quicker to perform than the conventional block and does not require ultrasound guidance as there is no risk of injury to abdominal organs like the liver.~With this research the investigators attempt to prove that surgically administered TAP blocks take 25% less time to perform compared to the conventionally administered TAP block for post cesarean section pain relief. Surgical TAP blocks are also more cost-effective as in addition to reduced OR time, they are safer and do not require skilled operator and specialized equipment. Secondary outcomes will include total time spent in the Operating room, presence and severity of postoperative pain, time to first request for pain medication, total postoperative narcotic consumption in 48 hours after surgery and side effects.","Inclusion Criteria:~We will recruit women undergoing scheduled cesarean delivery under neuraxial anesthesia~Exclusion Criteria:~Age less than 18 years~We will limit recruitment to women able to speak atleast one of the following languages: English, Spanish, Chinese, Russian~Chronic pain syndrome~Opioid dependence~Allergy to local anesthetic~Vertical skin incision~Sepsis at the site of injection~Converted to general anesthesia~Any complicated procedures including blood loss more than 2000ml and duration of surgery more than 2 hours.",1,"Postpartum intervention","The investigators will compare two different approaches to injecting the local anesthetic in this space. Conventionally, the block is done after surgery is completed and the abdomen is closed.",0,1,"post cesarean section pain relief"
"38","NCT03427463","Comparison of 0.1 and 0.05mg Intrathecal Morphine When Administered With a Multimodal Pain Regimen for Post-cesarean Analgesia","The purpose of this study is to determine the ideal dose of spinal morphine for use in Cesarean section. Spinal anesthesia (single injection in the lower back to numb patients from the waist down) is commonly used in Cesarean section to provide numbness and pain relief during the surgery, and adding morphine to the spinal anesthetic provides long lasting pain relief for up to 24 hours after surgery. The ideal dose of spinal morphine, when given with other types of pain medications such as nonsteroidal anti-inflammatories and acetaminophen, has not been determined. In addition, spinal morphine can have side effects such as nausea and itching, so using a lower dose of morphine may decrease these side effects while providing the same amount of postoperative pain relief. Study participants will be divided into two groups. Group 1 will receive the standard dose of spinal morphine (0.1mg) while Group 2 will receive a lower dose of spinal morphine (0.05mg). Both groups will receive the standard dose of spinal bupivacaine (numbing medication) and spinal fentanyl (short acting pain medication). The additional pain medications (IV Toradol and oral acetaminophen) will be given to both groups after surgery. Pain control and morphine side effects will be compared between the two groups in order to determine the best dose of spinal morphine for cesarean section.","Inclusion Criteria:~any parturient 18 years of age or older~undergoing elective cesarean delivery under spinal anesthesia~able to consent to the study and participate in the follow-up.~Exclusion Criteria:~any known allergy to morphine~general anesthesia~urgent or emergent cases~any bleeding diathesis or other coagulopathy~known G6PD deficiency~any known liver disease~known alcohol abuse or dependence~HELLP syndrome~thrombocytopenia or known platelet dysfunction~history or active gastrointestinal bleeding~acute kidney injury or chronic renal insufficiency~contraindication/refusal to spinal anesthestic~chronic pain~chronic narcotic use~illicit drug use~allergy to any study related medications",1,"Postpartum intervention","The purpose of this study is to determine the ideal dose of spinal morphine for use in Cesarean section. Spinal anesthesia (single injection in the lower back to numb patients from the waist down) is commonly used in Cesarean section to provide numbness and pain relief during the surgery, and adding morphine to the spinal anesthetic provides long lasting pain relief for up to 24 hours after surgery.",0,0,"The purpose of this study is to determine the ideal dose of spinal morphine for use in Cesarean section."
"39","NCT02956616","Enhanced Recovery at Cesarean Birth to Improve Postoperative Outcomes and Reduce Postoperative Length of Stay","To determine whether women randomized to an enhanced recovery program will have improved postoperative outcomes including improved breastfeeding initiation and continuation, reduction in hospital length of stay without compromising patient satisfaction in comparison to standard postoperative recovery interventions.","Inclusion Criteria:~1. Women undergoing a non-urgent or elective cesarean delivery >37 weeks gestation~Exclusion Criteria:~Women undergoing an urgent or emergent cesarean birth~Women less than 18 years old~Patients receiving general anesthesia~Abnormally adherent placenta (Placenta Accreta) or expected excessive blood loss (Placenta accreta)~Pre-existing essential hypertension or hypertensive disorders of pregnancy (preeclampsia, eclampsia, HELLP)~Chronic or acute renal impairment~Bleeding disorders or platelet dysfunction~Peptic ulcer disease or gastrointestinal bleeding~Known hypersensitivity to ketorolac (toradol)~Active infection at the time of cesarean~Cesarean birth prior to 37 weeks~Women in significant pain in labor",1,"Postpartum intervention","To determine whether women randomized to an enhanced recovery program will have improved postoperative outcomes including improved breastfeeding initiation and continuation, reduction in hospital length of stay without compromising patient satisfaction in comparison to standard postoperative recovery interventions.",1,1,"Women undergoing a non-urgent or elective cesarean delivery >37 weeks gestation"
"40","NCT03098420","Dose Escalation of Dexamethasone to Increase Duration of Transversus Abdominal Plane Block Following Cesarean Section: A Prospective Randomized Double-Blinded Clinical Study","The study aims to improve the care of the obstetric population after cesarean section and improve total patient satisfaction by improving post-surgical pain control with the use of dexamethasone in combination with bilateral TAP blocks. The investigators will utilize a dose-escalation of dexamethasone in the TAP block to observe its effects at specific small doses. It is the hope of the investigator that the studied technique would become utilized routinely for the obstetric population following cesarean section.~The investigators hope to show that the addition of dexamethasone in bilateral TAP blocks will prolong the duration of the block in a dose-dependent fashion. The investigators hope to improve post-operative pain following cesarean section, increase duration of TAP block with use of dexamethasone, decrease overall pain scores in the first 24-48 hours, and decrease opioid requirements after cesarean section.~The primary endpoint will be estimation of duration of TAP block, being assessed within 48 hours after surgery. Secondary endpoints will include pain scores both in PACU and on the floor, average pain scores, time until first opioid administration, total opioid consumption in first 48 hours, use of PONV medications, and overall patient satisfaction.","Inclusion Criteria:~Women undergoing cesarean section delivery.~Patients classified as American Society of Anesthesiology (ASA) class II or III.~ASA II: mild systemic disease, pregnancy~ASA III: severe systemic disease~Women ≥ 18 years old~Neuraxial anesthesia (spinal) to be used as anesthetic technique intraoperatively for cesarean section (this is the UAB Anesthesiology standard of care).~Exclusion Criteria:~Any patient not classified as an ASA I or II.~General Anesthesia or neuraxial anesthesia with epidural used as anesthetic techniques for cesarean section.~Allergy/intolerance to local anesthetic or steroids.~Pre-existing neurological and/or anatomical deficit that would preclude regional block.~Coexisting coagulopathy such as hemophilia or von Willebrand Disease~BMI > 40.~Emergency Cesarean Sections",1,"Postpartum intervention","The study aims to improve the care of the obstetric population after cesarean section and improve total patient satisfaction by improving post-surgical pain control with the use of dexamethasone in combination with bilateral TAP blocks.",1,1,"The study aims to improve the care of the obstetric population after cesarean section and improve total patient satisfaction by improving post-surgical pain control with the use of dexamethasone in combination with bilateral TAP blocks."
