"","nct_id","official_title","summary","criteria","Postpartum_GPT","Postpartum_quote.x","Enrolls_postpartum","Postpartum_intervention","Postpartum_quote.y"
"51","NCT00228033","Calcium for the Prevention of Postpartum Depression","This study will evaluate the effectiveness of taking supplemental calcium while pregnant in reducing the risk of postpartum depression.","Inclusion Criteria:~Less than 26 weeks pregnant~At risk for postpartum depression due to a family or personal history of depression or history of premenstrual dysphoric disorder (PMDD)~Exclusion Criteria:~Currently depressed~Currently taking medications for depression, bipolar disorder, or schizophrenia~History of medication treatment for depression within 3 months of study entry~Any of the following illnesses: diabetes, kidney disease, parathyroid disease, or untreated thyroid disease~Currently taking a diuretic or calcium channel blocker~Does not speak English","Postpartum intervention","This study will evaluate the effectiveness of taking supplemental calcium while pregnant in reducing the risk of postpartum depression.",0,0,""
"52","NCT03978598","Effect of Immediate Versus Standard Postpartum Insertion of the Contraceptive Implant on Breastfeeding Outcomes","The investigators are studying the effect of placing the etonogestrel implant (Nexplanon) in the first 24 hours after birth on breastfeeding. Women who wish to have an etonogestrel implant placed after their birth, wish to breastfeed, and are willing to participate in the study will be randomly assigned to either get the implant placed in the first 24 hours after delivery of the baby and placenta or 4-6 weeks later. The investigators do not believe there will be a difference in breastfeeding 8 weeks after delivery or time to lactogenesis between those who get the implant placed early or later.","Inclusion Criteria:~Pregnant women or women who have delivered vaginally and by cesarean section within 22 hours (2-hour window will allow for implant insertion by 24 hours postpartum)~Aged 13 and older~English or Spanish speakers~Deliver an infant at UNM Hospital at > 37 weeks gestational age~Intend to breastfeed~Desire the implant as a method for contraception~Agree to randomization~Must have a working phone (study questions to be answered through phone calls or accessed electronically by a link sent through email or text message)~Exclusion Criteria:~Under age 13~History of breast cancer (screen by past medical history)~History of undiagnosed vaginal bleeding (screen by past medical history)~Head trauma that affected pituitary function (screen by past medical history)~Prolactin insufficiency (screen by past medical history)~Previous lactation failure (defined as no lactation within 5 days postpartum)~Any contraindication to lactation/implant use including diseases transmittable by breast milk (screen by past medical history)~Liver dysfunction (screen by past medical history)~Use of drugs that inhibit lactation (screen by medical history)~Sensitivity to the components of the ENG implant (screen by past medical history)~Contraindications to use the implant by the (US MEC) (screen by past medical history)~Active labor~Delivery at < 37 weeks gestational age","Postpartum intervention","The investigators are studying the effect of placing the etonogestrel implant (Nexplanon) in the first 24 hours after birth on breastfeeding.",1,1,"placing the etonogestrel implant (Nexplanon) in the first 24 hours after birth"
"53","NCT04344860","Prospective, Randomized Trial Comparing Recombinant Von Willebrand Factor (rVWF) Plus Tranexamic Acid vs. rVWF Alone to Reduce Postpartum Hemorrhage in Women With Von Willebrand Disease: The VWD-WOMAN Trial","This is a single-center randomized phase III clinical trial, the VWD-Woman Trial, in which 20 pregnant subjects with von Willebrand disease (VWD), defined as VWF ristocetin co-factor activity (VWF:RCo) <0.50 IU/ml (historic) and previous history of bleeding are enrolled. Subjects will include women with VWD age 18 years and older, excluding those who have a bleeding disorder other than VWD. Once enrolled, subjects who meet all of the inclusion and none of the exclusion criteria will be randomized to recombinant Von Willebrand factor (rVWF, Vonvendi ®) with Tranexamic Acid (TA, Cyclokapron®); or recombinant Von Willebrand factor (rVWF, Vonvendi®) alone to prevent postpartum hemorrhage after vaginal or caesarean delivery. The primary endpoint is quantitative blood loss (QBL) by a labor suite nurse at delivery. Secondary endpoints include safety assessment for postpartum lochial blood loss by Pictorial Blood Assessment Chart (PBAC), transfusion, blood products, thromboembolic events, and hysterectomy within 21 days; and mechanism of PPH reduction by VWF assays (VWF:RCo, VWF:Ag, VIII:C), fibrinogen, and d-dimer. Blood draws are at 5 time points, including at 36 weeks' gestation (screening), on admission for childbirth, and at 1 day, 2 days, and 21 days after delivery. The VWD-Woman Trial is considered greater than minimal risk as study drugs are given at delivery and special coagulation studies are obtained.","Inclusion Criteria:~Pregnant females >= 18 years of age~Confirmed VWD, as defined by VWF:RCo < 0.50 IU/dL and previous history of bleeding~Willingness to have blood drawn~Willing to be randomized to one of two treatments at delivery and for 2 days postpartum.~Willing to keep a diary for 3 weeks of postpartum bleeding by pictorial assessment chart (PBAC) and any blood products, transfusion, or medications taken.~Willing to return at 21 days for final blood draw and review of diary.~Exclusion Criteria:~Any bleeding disorder other than VWD; or past thrombotic disease of other bleeding disorders.~Previous thrombosis, cardiac disease, congestive failure, arrhythmia, hypertension, MI, or stroke.~Platelet count < 100,000/ ul.~Past allergic reaction to VWF or tranexamic acid.~Surgery within the past 8 weeks.~Inability to comply with study protocol requirements.~Concomitant use of antiplatelet drugs, anticoagulants, or NSAIDs. Aspirin will be allowed for preeclampsia prevention.~Treatment with DDAVP, cryoprecipitate, whole blood, plasma or plasma derivatives containing substantial quantities of VWF within 5 days of study.~History of renal disease.~Inability to comply with study requirements.","Enrolls postpartum","Willing to keep a diary for 3 weeks of postpartum bleeding by pictorial assessment chart (PBAC) and any blood products, transfusion, or medications taken.",0,0,""
"54","NCT00198718","Vitamin A Supplementation of Breast Feeding Mothers and Their Neonates at Delivery: Impact on Mother to Child Transmission of HIV During Lactation, HIV Infection Among Women During the Postpartum Year, and Infant Mortality.","The ZVITAMBO PROJECT is testing whether giving mothers and infants a single large dose of vitamin A during the immediate post partum period will reduce:~Infant Mortality Can oral administration of a single 50,000 IU dose of vitamin A to newborn infants, a single 400,000 IU dose of vitamin A given to their lactating mothers, or supplementation of both the mother and infant during the immediate post partum period reduce infant mortality by at least 30%?~Mother to Child HIV transmission during breast feeding Can oral administration of a single large dose of vitamin A given during the immediate post partum period to HIV seropositive lactating women and/or their babies reduce HIV transmission via breast feeding by at least 30%?~Sexually transmitted HIV infection of post partum women Can a single 400,000 IU dose of vitamin A given during the immediate post partum period to HIV seronegative women reduce their likelihood of becoming HIV infected during the post partum year by at least 25%?~Infant feeding in the context of HIV: An operational research study was initiated mid-way through the trial to determine how UNAIDS Guidelines on infant feeding in the context of HIV could be effectively implemented and to measure the impact of such a program on infant feeding practices and postnatal HIV transmission.~Substudies:~Random subsamples of maternal and infant blood were evaluated for anemia and iron status to determine the effect of vitamin A on hematopoiesis and serum and breast milk retinol (mothers) and modified relative dose response test (infants) to determine the effect of vitamin A on vitamin A status.~A subsample of maternal and infant blood samples were evaluated for the presence of HLA-E, HLA-G, and TAP polymorphisms and their relation to prevalent HIV infection in mothers and risk of mother to child transmission.","Inclusion Criteria:~mothers and their neonates delivering at a study recruitment site during the recruitment period~Exclusion Criteria:~mother in intensive care unit~mother not fully conscious~maternal temperature > 39˚~Mother is 'nil per mouth' (NPO)~Mother is terminally ill as indicated in medical notes~Infant is NPO~Infant is terminally ill as indicated in medical notes~Infant birth weight <1500 g~Infant is a twin or triplet delivery~Regular place of residence is outside Harare.","Enrolls postpartum","The ZVITAMBO PROJECT is testing whether giving mothers and infants a single large dose of vitamin A during the immediate post partum period will reduce:~Infant Mortality",1,1,"The ZVITAMBO PROJECT is testing whether giving mothers and infants a single large dose of vitamin A during the immediate post partum period will reduce:~Infant Mortality Can oral administration of a single 50,000 IU dose of vitamin A to newborn infants, a single 400,000 IU dose of vitamin A given to their lactating mothers, or supplementation of both the mother and infant during the immediate post partum period reduce infant mortality by at least 30%?~Mother to Child HIV transmission during breast feeding Can oral administration of a single large dose of vitamin A given during the immediate post partum period to HIV seropositive lactating women and/or their babies reduce HIV transmission via breast feeding by at least 30%?~Sexually transmitted HIV infection of post partum women Can a single 400,000 IU dose of vitamin A given during the immediate post partum period to HIV seronegative women reduce their likelihood of becoming HIV infected during the post partum year by at least 25%?"
"55","NCT03022526","Combined Spinal Epidural v. Epidural Labor Analgesia for Postpartum Depression Symptoms (COPE Trial): Pilot Randomized Control Trial","The purpose of this pilot prospective randomized control trial is to compare the initiation of labor epidural analgesia by combined spinal epidural vs. epidural for the influence on risk for postpartum depression symptoms. Investigators will randomize women to the receipt of CSE or E during labor, after measuring baseline psychological, psychosocial, and psychophysical factors related to pain and depression. The immediate research goals are to understand whether the association between labor pain and PPD is modifiable through the use of tailored anesthetic techniques.","Inclusion Criteria:~Nulliparous (no prior childbirth)~Singleton gestation~Third trimester~Healthy pregnancy~English proficiency (surveys validated in English)~Planned vaginal delivery~Planning to use labor epidural analgesia~Term delivery (>/= 37.0 weeks)~Exclusion Criteria:~Severe maternal disease~Severe fetal disease~Delivery not at term (delivery prior to 37.0 weeks)~Contraindications to neuraxial anesthesia known at the time of enrollment~Cesarean delivery WITHOUT labor~Planning to list infant for adoption~Did not receive epidural analgesia (either CSE or E) for labor","Postpartum intervention","The purpose of this pilot prospective randomized control trial is to compare the initiation of labor epidural analgesia by combined spinal epidural vs. epidural for the influence on risk for postpartum depression symptoms.",0,0,"compare the initiation of labor epidural analgesia by combined spinal epidural vs. epidural for the influence on risk for postpartum depression symptoms"
"56","NCT03657602","Immediate Postpartum Insertion of Kyleena vs Mirena Contraceptive Intrauterine Devices","In this randomized trial, investigators intend to determine the expulsion and discontinuation rate of immediate postpartum intrauterine devices in the patient population of the University of Oklahoma Women's Healthcare Specialists Clinic (OUWHSC).","Inclusion Criteria:~18 years or older~desire an intrauterine device as postpartum contraception~want to avoid pregnancy for at least 1 year~are currently pregnant~desire immediate postpartum IUD insertion.~Exclusion Criteria:~known uterine or cervical anomaly~untreated cervical infection~untreated cervical infection~pelvic infection within 3 months of the study~recent (within last 3 months) or active intrauterine infection~genital bleeding of unknown etiology~history of postpartum or postabortal sepsis~cervical cancer or carcinoma in suit~plan to leave Tulsa area within 10 weeks postpartum~allergy to device ingredients","Enrolls postpartum","desire immediate postpartum IUD insertion.",1,1,"desire immediate postpartum IUD insertion."
"57","NCT02813551","Torsemide for the Prevention of Persistent Postpartum Hypertension in Preeclamptic Women: A Randomized, Placebo-Control Trial","Currently there is no intervention to prevent persistent postpartum hypertension in preeclamptic women. Physiologically, the use of a pharmacokinetically predictable loop-diuretic is a reasonable intervention to increase elimination of extra fluid accumulated secondary to preeclampsia.The purpose of this study is to assess if Torsemide reduces the incidence of persistent postpartum hypertension in preeclamptic women.","Inclusion Criteria:~Postpartum women at ≥ 18 years of age~Antepartum/intrapartum or within 24 hours postpartum diagnosis of either:~Preeclampsia~Preeclampsia with severe features~Preeclampsia superimposed to chronic hypertension~Exclusion Criteria:~Chronic hypertension without superimposed preeclampsia~Gestational hypertension~Urine output < 30 cc/h at time of randomization~Heart failure or pulmonary edema~Hypersensitivity to Torsemide or sulfonylureas~Hypokalemia (serum potassium < 3 mEq/L)~Preexisting diuretic use within 24 hours prior to randomization","Enrolls postpartum","Postpartum women at ≥ 18 years of age~Antepartum/intrapartum or within 24 hours postpartum diagnosis of either:~Preeclampsia~Preeclampsia with severe features~Preeclampsia superimposed to chronic hypertension",1,1,"Postpartum women at ≥ 18 years of age~Antepartum/intrapartum or within 24 hours postpartum diagnosis of either:~Preeclampsia"
"58","NCT06069102","OPT-BP: Optimal Blood Pressure Treatment Thresholds Following a Hypertensive Disorder of Pregnancy: A Pilot Trial","The objective of this research project is to conduct a single-site pilot trial within our institution's clinical remote blood pressures (BP) management program to assess the feasibility and effect of tight blood pressure control versus usual care in the immediate postpartum period after a hypertensive disorder of pregnancy (HDP).~The investigators' central hypothesis is that tight blood pressure control will be feasible and acceptable to postpartum individuals and will result in lower BP at six months postpartum and a reduction in postpartum hospital readmissions. Subjects will undergo 3 study visits (1 in-person and 2 remote) involving BP measurements, blood draws, and/or questionnaires. Up to 60 adult subjects will be enrolled at Magee-Women's Hospital.","Inclusion Criteria:~Postpartum individuals ≥18 years old~Preeclampsia or gestational hypertension diagnosis (complying ACOG criteria)~Enrolled in remote BP management program.~Exclusion Criteria:~Pre-pregnancy hypertension~Pre-pregnancy diabetes~Maternal cardiac disease~Chronic kidney disease","Enrolls postpartum","The objective of this research project is to conduct a single-site pilot trial within our institution's clinical remote blood pressures (BP) management program to assess the feasibility and effect of tight blood pressure control versus usual care in the immediate postpartum period after a hypertensive disorder of pregnancy (HDP).",1,1,"The objective of this research project is to conduct a single-site pilot trial within our institution's clinical remote blood pressures (BP) management program to assess the feasibility and effect of tight blood pressure control versus usual care in the immediate postpartum period after a hypertensive disorder of pregnancy (HDP)."
"59","NCT02216383","Intramuscular Oxytocics: A Randomised Control Trial of Intramuscular Carbetocin, Syntocinon and Syntometrine for the Third Stage of Labour Following Vaginal Birth","A quarter of all pregnancy and child-birth related deaths are due to excessive bleeding after the birth, post-partum haemorrhage (PPH). In the UK, PPH affects approx 10% of new mothers. PPH can be frightening for women and cause them to need additional treatments prolonging their hospital stay.~Commonly PPH is caused by an inadequately contracted womb after childbirth. Giving the mother an injection of uterotonic medicine following the birth of their baby can prevent this. It reduces the risk of PPH by 66%.~In the UK, the two medicines most commonly used are Syntocinon and Syntometrine. Syntometrine is longer acting, but a published review of trials concluded that Syntometrine is no better at preventing severe blood loss. Syntometrine is associated with more side effects including nausea, vomiting, and high blood pressure, and has been linked with rare, but fatal, cases of stroke. All guidelines therefore recommend Syntocinon for preventing PPH.Following a telephone survey of all maternity units in the UK, 71.4% of units still routinely use Syntometrine.~Carbetocin is a newer medicine, already widely used after caesarean section, but not yet after vaginal birth. Other studies have shown that Carbetocin is slightly better at preventing bleeding after birth when compared to Syntometrine, has fewer side effects than Syntometrine, and that it may be just as good as Syntocinon at preventing PPH. No studies have directly compared all three medicines or compared their overall cost; information vital to the NHS.~Investigators propose a trial of 5712 women over 13 months, in four maternity units to compare the effectiveness, side effects and cost of Syntocinon, Syntometrine and Carbetocin, for women having a vaginal birth.~Women will be randomly allocated to receive one of these drugs. Women and staff will not know which drug they receive. Staff will collect data such as the number of extra drugs and treatments needed and the volume of blood lost. Women will be asked to complete a side effects questionnaire. Investigators will perform an analysis of cost effectiveness once all results are available.~Aim: To directly compare the effectiveness, side effects and cost of Syntocinon, Syntometrine and Carbetocin given intramuscularly to prevent PPH in the 3rd stage of labour.","Inclusion Criteria:~≥18 years of age at time of delivery~Singleton pregnancy~Vaginal birth (spontaneous and instrumental)~>24 weeks gestation~Exclusion Criteria:~Significant APH (>50ml) or suspected or proven placenta abruption~Maternal coagulation disorder~Intrauterine fetal death~Patients who would decline blood products if required~Known or suspected hypertensive disorders, including pre-eclampsia, pregnancy induced hypertension, essential hypertension (even if blood pressure well controlled)~Hypertension in labour, or patients who have not had their blood pressure checked in labour~Patients with peripheral, hepatic or cardiac disease~Patients with an allergy or hypersensitivity to any of the active ingredients in Carbetocin, Syntometrine or Syntocinon~Epilepsy","Postpartum intervention","Aim: To directly compare the effectiveness, side effects and cost of Syntocinon, Syntometrine and Carbetocin given intramuscularly to prevent PPH in the 3rd stage of labour.",0,0,""
"60","NCT03048422","Phase III Study of the Virologic Efficacy and Safety of Dolutegravir-Containing Versus Efavirenz-Containing Antiretroviral Therapy Regimens in HIV-1-Infected Pregnant Women and Their Infants","The purpose of this study was to compare the virologic efficacy and safety of three antiretroviral (ARV) regimens, dolutegravir plus emtricitabine/tenofovir alafenamide, dolutegravir plus emtricitabine/tenofovir disoproxil fumarate, and efavirenz/emtricitabine/tenofovir disoproxil fumarate in pregnant women living with HIV-1 and to compare the safety of these regimens for their infants.","Inclusion Criteria:~Mother is able to provide written informed consent for her and her infant's participation in this study~Mother has confirmed HIV-1 infection based on documented testing of two samples collected at different time points:~Sample #1 may be tested using any of the following:~Two rapid antibody tests from different manufacturers or based on different principles and epitopes~One enzyme immunoassay (EIA) OR Western blot OR immunofluorescence assay OR chemiluminescence assay~One HIV DNA polymerase chain reaction (PCR)~One quantitative HIV RNA PCR (above the limit of detection of the assay)~One qualitative HIV RNA PCR~One total HIV nucleic acid test~Sample #2 may be tested using any of the following:~One rapid antibody test. If this option is used in combination with two rapid tests for Sample #1, at least one of the three rapid tests must be FDA-approved and the third rapid test must be from a third manufacturer or based on a third principle or epitope.~One EIA OR Western blot OR immunofluorescence assay OR chemiluminescence assay~One HIV DNA PCR~One quantitative HIV RNA PCR (above the limit of detection of the assay)~One qualitative HIV RNA PCR~One total HIV nucleic acid test.~See the protocol for more information on this inclusion criterion.~At screening, mother is ART-naive, defined as having not received prior antiretroviral therapy other than ARVs received during prior pregnancies or prior periods of breastfeeding (i.e., receipt of any single, dual, or triple ARV regimen during prior time-limited periods of pregnancy and breastfeeding is permitted). Receipt of up to 14 days of ARVs during the current pregnancy is permitted prior to study entry so that initiation of ARVs during the current pregnancy is not delayed during the study screening period. Note: Non-study ART may be initiated in the current pregnancy prior to initiation of the study screening process. For eligible participants, enrollment must occur within 14 days of non-study ART initiation. Note: Receipt of ARVs during a prior pregnancy or prior period of breastfeeding must have concluded at least six months prior to study entry. Receipt of TDF or FTC/TDF for pre-exposure prophylaxis at any time in the past is not exclusionary (even if received within six months prior to study entry).~At screening, mother has the following laboratory test results (based on testing of samples collected within 14 days prior to study entry):~Grade 1 or lower (less than 2.5 times upper limit of normal [ULN]) alanine aminotransferase (ALT) and aspartate aminotransferase (AST)~Grade 2 or lower (less than or equal to 1.8 times ULN) creatinine~Grade 2 or lower (greater than or equal to 60 mL/min) estimated creatinine clearance (CrCl; Cockcroft-Gault formula). See the protocol for guidance on severity grading. Laboratory tests may be repeated during the study screening period, with the latest result used for eligibility determination.~At screening and at study entry, no evidence of multiple gestation or fetal anomalies, as assessed by best available method~At study entry, gestational age of 14-28 weeks, defined as greater than 13 weeks plus six days and less than 28 completed weeks gestation, estimated by best available method. Note: For this inclusion criterion and the previous inclusion criterion, fetal ultrasound is preferred but not required for purposes of eligibility determination. If ultrasound cannot be performed during the study screening period prior to study entry, it must be performed within 14 days after study entry. As further explained in the protocol, enrolled participants will not be withdrawn from the study based on ultrasound findings obtained after study entry.~At study entry, mother expects to remain in the geographic area of the study site during pregnancy and for 50 weeks postpartum [Eligibility criteria added per Letter of Amendment 1 to V2; July 2018]:~At study entry, mother reports that she does not wish to become pregnant again for at least 50 weeks after her current pregnancy and that she is willing to use effective contraception during this period. Effective contraception may include surgical sterilization (i.e., hysterectomy, bilateral oophorectomy, tubal ligation, or salpingectomy) or any of the following methods:~Contraceptive intrauterine device (IUD) or intrauterine system (IUS)~Subdermal contraceptive implant~Progestogen injections~Progestogen only oral contraceptive pills~Combined estrogen and progestogen oral contraceptive pills~Percutaneous contraceptive patches~Contraceptive vaginal rings~Note: IUDs, IUSs, implants, and injections are strongly recommended due to their lower failure rates with typical use. Male or female condom use is recommended with all contraceptive methods for dual protection against pregnancy and to avoid transmission of HIV and other sexually transmitted infections.~Exclusion Criteria:~Mother is currently incarcerated or involuntarily confined in a medical facility~Mother is currently receiving:~A psychoactive medication for treatment of a psychiatric illness~Treatment for active tuberculosis~Treatment for active hepatitis C infection~Mother is expected to require treatment with interferon and/or ribavirin for hepatitis C infection during the study follow-up period~Mother has a history of any of the following, as determined by the site investigator or designee based on maternal report and available medical records:~Hypersensitivity or clinically significant adverse reaction to any of the ARVs included in the three study drug regimens (ever)~Antiretroviral drug resistance mutations that would impact selection of ART regimen (ever)~Clinically significant heart disease and/or known prolonged corrected QT (QTc) interval (ever)~Suicidal ideation or attempt (ever)~HIV-2 infection (ever)~Zika virus infection, diagnosed or suspected, during the current pregnancy~Receipt of any antiretroviral medication within six months prior to study entry, with two exceptions: receipt of any duration of TDF or FTC/TDF for pre-exposure prophylaxis or receipt of up to 14 days of ARVs during the current pregnancy~Receipt of any prohibited medication within 14 days prior to study entry (see the protocol for more information)~Clinically significant acute illness requiring systemic treatment and/or hospitalization (i.e., major medical condition that is likely to lead to hospitalization and/or to an adverse pregnancy outcome) within 14 days prior to study entry~Unstable liver disease (defined by the presence of ascites, encephalopathy, coagulopathy, hypoalbuminemia, esophageal or gastric varices, or persistent jaundice) or known biliary abnormalities (with the exception of Gilbert's syndrome or asymptomatic gallstones) within 14 days prior to study entry~Note: Testing to rule out HIV-2 infection is not required.~Mother or fetus has any other condition that, in the opinion of the site investigator or designee, would make participation in the study unsafe, complicate interpretation of study outcome data, or otherwise interfere with achieving the study objectives","Enrolls postpartum","At study entry, mother expects to remain in the geographic area of the study site during pregnancy and for 50 weeks postpartum.",1,0,"At study entry, mother expects to remain in the geographic area of the study site during pregnancy and for 50 weeks postpartum"
"61","NCT02866643","Labor and Delivery Implant Insertion: A Randomized Controlled Trial","A barrier to initiating progestin contraceptives in the early postpartum period is the concern of interference with breastfeeding, specifically lactogenesis. In this trial, the investigators aim to describe the effects of immediate insertion of the contraceptive implant on breastfeeding. The investigators seek to examine the time to lactogenesis with immediate post-delivery insertion in delivery room versus insertion of a contraceptive implant in the postpartum ward prior to medical discharge. For this study, 82 consenting women will be randomized to immediate implant insertion (0-2 hours following delivery) in the delivery room or insertion of the implant following delivery in postpartum room and prior to medical discharge (24-48 hours following delivery).~Participants complete a questionnaire that asks questions about breastfeeding continuation, supplementation, duration, and exclusivity. This questionnaire also includes questions about contraceptive continuation, patient satisfaction with implant, pregnancy, and postpartum care visits.","Inclusion Criteria:~Pregnant women who are patients of the Stanford University Obstetrics service~Pregnant women who delivery a healthy infant, regardless of gestational age.~Intend to breastfeed~Desire the contraceptive implant as their method of contraception~Agree to be randomized to delivery room vs. postpartum ward insertion~Exclusion Criteria:~Not English or Spanish speaking~Allergy or Contraindication to contraceptive implant.","Postpartum intervention","The investigators seek to examine the time to lactogenesis with immediate post-delivery insertion in delivery room versus insertion of a contraceptive implant in the postpartum ward prior to medical discharge.",1,1,"immediate implant insertion (0-2 hours following delivery) in the delivery room or insertion of the implant following delivery in postpartum room and prior to medical discharge (24-48 hours following delivery)"
"62","NCT02163447","Reducing the Burden of Malaria in HIV-uninfected Pregnant Women and Infants (PROMOTE Birth Cohort 1)","This will be a double-blinded randomized controlled phase III trial of 300 HIV uninfected pregnant women and the children born to them. The study interventions will be divided into two phases. In the first phase, HIV uninfected women at 12-20 weeks gestation will be randomized in equal proportions to one of three intermittent preventive therapy in pregnancy (IPTp) treatment arms: 1) 3 doses of sulfadoxine-pyrimethamine (SP), 2) 3 doses of dihydroartemisinin-piperaquine (DP), or 3) monthly DP. All three interventions arms will have either SP or DP placebo to ensure adequate blinding is achieved. Follow-up for the pregnant women will end approximately 6 weeks after giving birth. In the second phase of the study, all children born to mothers enrolled in the study will be followed from birth until they reach 36 months of age. Children born to mothers randomized to receive 3 doses of SP during pregnancy will receive DP every 3 months between 2-24 months of age. Children born to mothers randomized to receive 3 doses of DP or monthly DP during pregnancy will receive either DP every 3 months or monthly DP between 2-24 months of age. To ensure adequate blinding, children who will receive DP every 3 months will be given DP placebo during the months they will not be taking DP. Children will then be followed an additional year between 24-36 months of age following the interventions. We will test the hypothesis that IPT with DP will significantly reduce the burden of malaria in pregnancy and infancy and improve the development of naturally acquired antimalarial immunity.","Inclusion Criteria:~Pregnancy confirmed by positive urine pregnancy test or intrauterine pregnancy by ultrasound~Estimated gestational age between 12-20 weeks~Confirmed to be HIV uninfected by rapid test~16 years of age or older~Residency within 30km of the study clinic~Provision of informed consent by the pregnant woman for herself and her unborn child~Agreement to come to the study clinic for any febrile episode or other illness and avoid medications given outside the study protocol~Plan to deliver in the hospital~Exclusion Criteria:~History of serious adverse event to SP or DP~Active medical problem requiring inpatient evaluation at the time of screening~Intention of moving more than 30km from the study clinic~Chronic medical condition requiring frequent medical attention~Prior SP preventive therapy or any other antimalarial therapy during this pregnancy~Early or active labor (documented by cervical change with uterine contractions)","Enrolls postpartum","Follow-up for the pregnant women will end approximately 6 weeks after giving birth.",0,0,""
"63","NCT00343317","Prophylactic Intrapartum Antibiotics and Immunological Markers for Postpartum Morbidity in HIV Positive Women","Postpartum infections are among the leading causes of maternal mortality world-wide, particularly in under-resourced countries. Available data suggests that HIV infected women are at greater risk of postpartum complications than uninfected women. In South Africa, HIV/AIDS and related infections are now cumulatively the leading causes of maternal deaths (though indirectly), with puerperal sepsis among the 5 most common causes.~This was a prospective longitudinal cohort of HIV infected (n = 675) and uninfected (n = 648) women. These were women in whom vaginal delivery was anticipated, and were recruited at > 36 weeks of gestation during the antenatal period.~Hypothesis - HIV infected women are at increased risk of postpartum infectious morbidity and this morbidity can be reduced by use of prophylactic intrapartum antibiotics.","Inclusion Criteria:~Women with a pregnancy of > to 36 weeks of gestation~Women with known HIV status as documented by routine rapid HIV tests, following pre-test voluntary counselling and testing (VCT).~Women who gave informed study consent.~Over the age of 18years~Eligible for vaginal delivery~Exclusion Criteria:~Women who received antibiotic therapy less than 2 weeks prior to study enrolment.~Women planned for elective caesarean delivery.~Obstetric complications such as preterm prelabour rupture of membranes, cardiac disease, diabetes and antepartum haemorrhage.","Enrolls postpartum","Postpartum infections are among the leading causes of maternal mortality world-wide, particularly in under-resourced countries.",0,0,""
"64","NCT04937881","Comparison of Pharmacokinetics of Tenofovir Alafenamide (TAF) With Tenofovir Disoproxil (TDF) in Pregnant and Postpartum Women and Their Infants in PrEP-PP Study","This study will establish benchmarks of TFV-DP concentrations as measures of adherence following daily dosing with Tenofovir Alafenamide (TAF) compared with Tenofovir Disoproxil Fumarate (TDF) during pregnancy and postpartum. Study Investigators will recruit from an ongoing observational cohort study in Cape Town, South Africa, PrEP-PP (recruitment ongoing through July, 2021; NIMH R01MH116771; PI Coates & Myer). Findings form this PK sub-study will be used to inform future PrEP in pregnancy and postpartum studies and develop benchmarks of the relative PK between TDF and TAF.","Inclusion Criteria:~>18 years old~confirmed HIV-negative (confirmed with a 4th generation antigen HIV test) at time of study entry~intend on giving birth in the MOU facility~confirmed to be 14-24 weeks pregnant~without psychiatric or medical contraindications to PrEP~estimated creatinine clearance (CrCI) >60mL/min~resides close to clinic (<10km)~has a smart phone that can take video footage (with data bundle from study)~agrees to provide video phone footage of taking a pill a day for 8 weeks during pregnancy and again for 8 weeks in postpartum period~Exclusion Criteria:~Individuals not meeting the above criteria or meeting any of the following criteria will be excluded:~Concurrent enrolment in another HIV-1 vaccine or prevention trial~History of renal disease~Current clinical diagnosis of hypertension~Exhibiting psychotic symptoms~Currently or history of taking an anti-psychotic medication~Positive Hepatitis B surface antigen (HBsAg) test on screening~History of bone fracture not related to trauma~Any other medical, psychiatric or social condition which in the opinion of the investigators would affect the ability to consent and/or participate in the study~Any maternal or fetal complication, obstetric or medical, detected during routine care or study procedures that requires referral of pregnant or postpartum women/infants to secondary or tertiary obstetric or medical care.","Enrolls postpartum","agrees to provide video phone footage of taking a pill a day for 8 weeks during pregnancy and again for 8 weeks in postpartum period",1,1,"agrees to provide video phone footage of taking a pill a day for 8 weeks during pregnancy and again for 8 weeks in postpartum period"
