,nct_id,official_title,summary,criteria,conditions,Erectile,Erectile_summary,Erectile_quote,Review,
139,NCT01698684,"A Randomized, Double-Blind, Placebo-Controlled Evaluation of Avanafil for On-Demand Treatment of Men With Erectile Dysfunction",The objectives of this study are to examine the therapeutic effects of two doses of avanafil after dosing in men with erectile dysfunction,"Inclusion Criteria:~Males ≥ 18 years of age;~Minimum 6 months of erectile dysfunction;~In a monogamous, heterosexual relationship for at least 3 months;~Agree to make at least 4 attempts at intercourse per month;~Provide written informed consent;~Agree not to use any other ED treatments for erectile dysfunction;~Willing and able to comply with all study requirements.~Exclusion Criteria:~Allergy or hypersensitivity to PDE5 inhibitors;~History of dose-limiting AEs with a PDE5 inhibitor or discontinued use of a PDE5 inhibitor;~Concomitant use of one or more of the following medications:~Other prescription or OTC drugs known to interfere with metabolism by the CYP 3A4 enzyme;~Dose of an alpha blocker that has not been stable for at least 14 days;~Any nitrate;~ED as a consequence of advanced neurologic disease, spinal cord injury,or radical prostatectomy;~Myocardial infarction, stroke, life-threatening arrhythmia or coronary revascularization within the past 6 months;~Unstable angina, angina with sexual intercourse, or congestive heart failure > NYHA Class II;~Poorly controlled type 1 or type 2 diabetes;~Evidence of prostate cancer or previous radical prostatectomy;~Untreated hypogonadism or total testosterone levels outside normal reference range;~Abnormal laboratory value(s) judged to be clinically significant by the investigator;~Positive urine drug screen;~History of retinitis pigmentosa, nonarteritic anterior ischemic optic neuropathy or glaucoma;~Previous participation in any other study with avanafil;~Use of any other investigational medication or device for any indication within 30 days prior to enrollment or at any time during this study;~Evidence of any clinically significant medical, psychiatric, social or other condition by history, physical examination or laboratory studies that, in the opinion of the investigator, would contraindicate the administration of study medications, affect compliance, interfere with study evaluations, limit study participation, contraindicate sexual activity or confound the interpretation of study results.",erectile dysfunction,1,The trial is focused on evaluating the therapeutic effects of avanafil specifically for the treatment of erectile dysfunction in men.,The objectives of this study are to examine the therapeutic effects of two doses of avanafil after dosing in men with erectile dysfunction,1,
141,NCT04008732,"A Single Centre, Open-label, Randomised, Single Dose, Six Period, Reference Replicate, Crossover Study to Evaluate the Bioavailability of MED2005","Futura Medical Developments Ltd (FMD) are developing a gel formulation of GTN (MED2005) as a topical treatment for ED delivered using DermaSys®, a versatile and bespoke technology. Treatment requires the application of a small quantity of gel (approx 300 mg), containing a fixed dose of GTN, to the glans of the penis. Pharmacokinetic studies in healthy volunteers indicate rapid absorption of the drug and low systemic exposure, reducing the risk of adverse events (such as headache) commonly associated with GTN therapy.~The purpose of this study is to demonstrate similar or lower bioavailability of GTN from MED2005 (test IMP) with that from Nitrostat (reference IMP).~The study will be conducted in two parts (Part 1 and 2). Part 1 will be conducted in 30 subjects and Part 2 will be conducted in 10 subjects. Part 1 will compose of a pre-study screen, followed by six treatment periods and a post-study follow-up.~Part 2 will compose of a pre-study screen, followed by two treatment periods and a post-study follow-up. Subjects can only participate in either Part 1 or 2 of the study (not both).","Inclusion Criteria:~Healthy male subjects between 18 and 50 years of age, inclusive (at screening).~A BMI of 18.5-30 kg/m2 (inclusive).~No clinical significant abnormal serum biochemistry, haematology and urine examination values as defined by the Investigator.~A negative urinary drugs of abuse screen. A positive alcohol test may be repeated on admission at the discretion of the Investigator.~Negative HIV and Hepatitis B and C results.~No clinically significant abnormalities in 12-lead ECG as defined by the Investigator.~No clinically significant deviation outside the normal ranges for blood pressure and heart rate measurements as defined by the Investigator (please refer to appendix 1 for normal ranges).~Subjects (unless anatomically sterile (documented evidence) or where abstaining from sexual intercourse is in line with the preferred and usual lifestyle of the subject) and sexual partners must use 2 effective contraception methods during the trial and for 3 months after the last dose, for example:~Oral contraceptive + condom.~Intra-uterine device (IUD) + condom.~Diaphragm with spermicide + condom.~Subjects must be available to complete all periods of the study and the follow-up visit.~Subjects must satisfy the PI / designee about their fitness to participate in the study.~Subjects must be able to read and understand the informed consent form and must provide written informed consent to participate in the study.~Exclusion Criteria:~A clinically significant history of gastrointestinal disorder likely to influence IMP absorption (Part 1 only).~Use of prescription or non-prescription drugs, including vitamins, herbal and dietary supplements within 28 days (or 5 half-lives (whichever is longer) prior to the first dose of IMP, unless in the opinion of the Investigator and Sponsor's Responsible Physician the medication will not interfere with the study procedures or compose subject safety.~Evidence of renal, hepatic, central nervous system, respiratory, cardiovascular or metabolic dysfunction.~A clinically significant history of drug or alcohol abuse within 2 years before the first dose of IMP.~A clinically significant history of previous allergy/sensitivity to GTN, other nitrates and/or any of the excipients in either the test of reference products.~Recent history of using PDE5 inhibitors or alkyl nitrates (e.g. poppers).~A history of frequent tension headaches or vascular headaches or migraine.~A history of increased intra-cranial pressure or spinal cord injury.~A history of severe psychological disorders.~A presence of scarring/piercings/tattoos at the site of MED2005 administration (penis) (or any other features that the Investigator considers may influence IMP absorption).~Subjects (if uncircumcised) who are not able to retract foreskin of penis easily without any discomfort.~Any obvious sensitivity/local tolerability issues at the site of medication application.~Inability to communicate well with the investigator (i.e. language problems, poor mental development or impaired cerebral function).~Participation in a New Chemical Entity or marketed drug clinical study within the previous 3 months or, five half-lives of study drug, whichever is the longer period. (NB. the three month washout period between trials is defined as the period of time elapsed between the last dose of the previous study and the first dose of the next study).~Subjects who smoke (or ex-smokers) who have smoked or used nicotine-containing products (including snuff, chewing tobacco, cigars, pipes or nicotine replacement products) within four months prior to first dose.~Donation or receipt of ≥ 450 mL of blood within 3 months before the first dose of IMP.~Donation of sperm from the first dose and for at least 3 months after the last dose of IMP.",erectile dysfunction,1,The trial is focused on developing a gel formulation of GTN (MED2005) specifically as a topical treatment for erectile dysfunction (ED).,"Futura Medical Developments Ltd (FMD) are developing a gel formulation of GTN (MED2005) as a topical treatment for ED delivered using DermaSys®, a versatile and bespoke technology.",1,
143,NCT00381732,"A Randomized, Double-Blind, Parallel, Placebo-Controlled Study to Evaluate the Efficacy and Safety of Tadalafil (2.5mg and 5mg) Administered Once Daily to Men With Erectile Dysfunction","This is a multicenter, randomized, double blind, placebo-controlled, parallel design study to evaluate the efficacy and safety of 2.5mg and 5mg tadalafil taken once daily in men with erectile dysfunction.","Inclusion Criteria:~Men with erectile dysfunction~At least 18 years of age~Exclusion Criteria:~Certain chronic medical conditions including cardiac disease, congestive heart failure, kidney or liver disease, cancer and HIV~A history of certain impotence disorders~History of specified pelvic surgery~Any significant genital abnormality identified at the start of the study",erectile dysfunction,1,The trial is specifically focused on evaluating the efficacy and safety of tadalafil in men with erectile dysfunction.,"This is a multicenter, randomized, double blind, placebo-controlled, parallel design study to evaluate the efficacy and safety of 2.5mg and 5mg tadalafil taken once daily in men with erectile dysfunction.",1,
147,NCT01423370,"Multi-center, Randomized, Double-blind, Placebo/Active-controlled, Phase II Clinical Trial to Assess the Safety and Efficacy of YHD1023 in Patients With Erectile Dysfunction",The objective of this study is to assess the safety and efficacy of oral YHD1023 5g or 10g on erectile dysfunction to investigate the optimal recommended dosage. Study period is 12 weeks including 4weeks of follow-up period without treatment. Study patients will fill in the international index of erectile function questionnaire and life satisfaction questionnaires.,"Inclusion Criteria:~Male volunteers of aged 20 years and older with history of organic erectile dysfunction of at least 6 months duration~Anticipate having the same adult female sexual partner, who have no possibility of being pregnant or breast-feeding and take steps to prevent conception during the study~The patient or legally authorized representative must sign a written informed consent, prior to the any procedure, using a form that is approved by the local Institutional Review Board after detail explanation of the purpose, contents, and characteristic of the drug~Have Erectile Function(EF) domain score 25 and under as the result of the International Index of Erectile Function(IIEF)~Agree to make at least 4 sexual intercourse attempts on 4 separate days with the female sexual study party during the 4-week run-in period without medication and at least 50% of attempts during this period had been unsuccessful due to insufficient erection or unable to sustain penile rigidity until ejaculation~Exclusion Criteria:~Have history of stroke, myocardial infarction, or Coronary Artery Bypass Graft surgery within the last 6 months~Have history of cardiac failure, unstable angina, or life-threatening arrhythmia within the last 6 months~Shown tachyarrhythmia, heart rate over 100 times/min(e.g. arterial fibrillation, flutter)~Presence of hypotension as evidenced by SBP/DBP < 90/50mmHg or uncontrollable hypertension as evidenced by SBP/DBP > 170/100mmHg~Presence of diagnosed diabetes(HbA1C > 12%)~Have history of symptomatic postural hypotension within the last 6 months~Have history of spinal cord injury, radical prostatectomy, or pelvic surgery~Presence of penile anatomical deformities (e.g. severe penile fibrosis or Peyronie's disease)~Presence of hypogonadism(serum total testosterone under the reference lowest limit)~Presence of hepatic impairment(AST or ALT > 3 times of normal upper limit) or renal impairment(serum creatinine ≥ 2.5mg/dl)~Have history of severe gastrointestinal hemorrhage within the last 1 year~Have history of hematodyscrasia predisposing to priapism(e.g. sickle cell disease, multiple myeloma, or leukemia) or bleeding disorder~Subject who is judged to be ineligible according to their physical checkup(medical history, physical examination, ECG, laboratory values and etc.) within 56 days prior to the first administration~Concomitant use of one or more of nitrates/nitric oxide(NO) donor(e.g. nitroglycerine, isosorbid, mononitrate, isosorbid dinitrate, amylnitrate/nitrite, sodium nitroprusside), Trazodone, cancer chemotherapy, anticoagulants, androgens, or anti-androgens~Use of any PDE-5 inhibitor(e.g. Viagra, Levitra, Cialis, Yaila, or Zydena), vasodilator self-injection, or other treatments for erectile dysfunction within the last 2 weeks prior to the study~Participated in any other clinical trials within 30 days prior to the first administration~Have history of primary hypoactive sexual desire~Subject who is judged to be ineligible by principal investigator or sub-investigator due to mental disorder or continuous drug abuse",erectile dysfunction,1,This clinical trial is specifically focused on assessing the safety and efficacy of a drug (YHD1023) for the treatment of erectile dysfunction. The study involves patients with a history of organic erectile dysfunction and includes measures such as the International Index of Erectile Function questionnaire to evaluate outcomes.,The objective of this study is to assess the safety and efficacy of oral YHD1023 5g or 10g on erectile dysfunction to investigate the optimal recommended dosage.,1,
148,NCT06324006,"A Phase 1, Randomized, Double-blind, Parallel and Placebo-controlled Single and Multiple Ascending Dose Trial Investigating Safety, Tolerability and Pharmacokinetics of LIB-01 in Healthy Participants.","The goal of this clinical trial is to learn about the safety, tolerability and pharmacokinetics of LIB-01 in healthy male participants. The main questions it aims to answer are:~How safe and tolerable is LIB-01 when given once or repeatedly at different dose levels.~What are the pharmacokinetic characteristics of LIB-01~Participants will receive LIB-01 and be followed up for safety and pharmacokinetics by:~Adverse events~ECG~Blood sampling for laboratory parameters and pharmacokinetic analysis","Inclusion Criteria~Provision of signed and dated written informed consent prior to any trial specific procedures.~Healthy male participant aged 18 to 65 years, inclusive.~Body mass index ≥ 18.5 and ≤ 30.0 kg/m2.~Medically healthy participant without abnormal clinically significant medical history, physical findings, vital signs, ECG and laboratory values.~Participants must be willing to use an acceptable form of contraception and refrain from donating sperm from the administration of IMP until 3 months after the administration of IMP. Any female partner of a non-vasectomised male participant who is of child-bearing potential must use an acceptable contraceptive method from at least 2 weeks prior to the administration of IMP to 4 weeks after the administration of IMP.~Understands the trial requirements.~MAD participants only: Mild to moderate erectile dysfunction.~Exclusion criteria~History of any clinically significant disease or disorder which, in the opinion of the Investigator, may either put the participant at risk because of participation in the trial, or influence the results or the participant's ability to participate in the trial.~Any clinically significant illness, medical/surgical procedure or trauma within 4 weeks of the (first) administration of IMP.~Malignancy within the past 5 years, with the exception of in situ removal of basal cell carcinoma.~Any planned major surgery within the duration of the trial.~History of severe allergy/hypersensitivity or ongoing allergy/hypersensitivity, or history of hypersensitivity to drugs with a similar chemical structure or class to LIB-01.~History of priapism.~History of glaucoma.~History of Non-Arteritic Anterior Ischemic Optic Neuropathy.~History of prostatectomy or prostate surgery.~Bleeding deficiencies or ongoing anticoagulant therapy that would put the participant at risk.~Cardiac disease, including but not limited to uncontrolled hypertension; unstable angina; myocardial infarction or cerebrovascular accident.~Any positive result for serum hepatitis B surface antigen, hepatitis C antibodies and/or human immunodeficiency virus (HIV).~Abnormal vital signs.~Shortened QT interval corrected according to Fridericia (QTcF), prolonged QTcF (>450 ms), cardiac arrhythmias or any clinically significant ECG abnormalities.~Use of oral, injectable, or topical pro-erectile drugs or supplements.~Use of nitrates.~Ongoing antiandrogen treatment.~Regular use of any prescribed or non-prescribed medications, within 2 weeks (Part I:SAD) or 4 weeks (Part II: MAD) prior to the (first) administration of IMP, except occasional intake of paracetamol, as well as nasal decongestants without cortisone, antihistamine or anticholinergics for a maximum of 10 days.~Planned treatment or treatment with another investigational drug.~Current smokers or users of nicotine products.~Positive screening result for drugs of abuse or alcohol.~History of alcohol abuse or excessive intake of alcohol.~Presence or history of drug abuse.~History of, or current use of anabolic steroids.",erectile dysfunction,1,"The trial includes participants with mild to moderate erectile dysfunction, indicating that the study is focused on this condition.",MAD participants only: Mild to moderate erectile dysfunction.,1,
152,NCT01514903,NA,This is a single dose open-label comparative pharmacokinetic study to assess the pharmacokinetic characteristics of sildenafil between HIP0908 (chewable tablet) and Viagra (tablet) in healthy male subjects.,"Inclusion Criteria:~age between 20 and 45~weight : over 55kg and 18.5 < BMI, 25.0~have to give their consent to participating clinical trial by oneself~Exclusion Criteria:~has a medical history of hypersensitivity to drug including PDE5 inhibitor and QTc > 430ms or uncontrolled arrhythmia",erectile dysfunction,1,"The trial is focused on assessing the pharmacokinetic characteristics of sildenafil, which is a medication specifically used to treat erectile dysfunction. Therefore, the study is directly related to erectile dysfunction.",This is a single dose open-label comparative pharmacokinetic study to assess the pharmacokinetic characteristics of sildenafil between HIP0908 (chewable tablet) and Viagra (tablet) in healthy male subjects.,1,
153,NCT04801368,A Randomized-Controlled Trial Comparing Long-acting and Short-acting Local Anesthetics at the Time of Penile Prosthesis Placement,The purpose of this research is to determine the effects of penile ring block for local anesthesia with liposomal bupivacaine vs ropivacaine mixture in subjects undergoing surgery for Penile Prosthesis Placement.,"Inclusion Criteria:~Men undergoing 3-piece penile prosthesis placement under general anesthesia at Mayo Clinic - Rochester.~≥ 18 years old.~Exclusion Citeria:~History of opioid exposure within the preceding 90 days prior to surgery (based on patient-report, review of the electronic medical record, and NMP prescribing database review)~Current or prior history of alcohol or drug abuse (illicit or prescription)~History of chronic pain conditions (chronic musculoskeletal pain, fibromyalgia, central sensitization, chronic pelvic pain syndrome, etc.)~History of cardiac arrhythmia or untreated severe cardiovascular disease~Uncontrolled hypertension~Hepatic insufficiency~Renal insufficiency (CKD stage IIIa or greater)~Current anti-platelet or anti-coagulation therapy with plans to continue at the time of prosthesis placement~Poorly controlled diabetes mellitus (defined as HgbA1c > 8.5 within 30 days of surgery)~Concurrent adjunctive operative procedures planned at the time of penile prosthesis placement (examples: male urethral sling, Peyronie's disease straightening with penile plication or incision/grafting)~Concurrent non-prosthetic surgery planned at the time of penile prosthesis placement (examples: circumcision, hernia repair, hydrocelectomy, etc.)~Planned infrapubic or subcoronal incision at the time of penile prosthesis placement~Patients who will be undergoing prosthesis placement using local, monitored, or spinal anesthesia (i.e. non-general anesthesia)~Allergy or history of intolerance to any local anesthetic agents included in the protocol~History of prior penile prosthesis or artificial urinary sphincter surgery~Revision penile prosthesis surgery",erectile dysfunction,1,"The trial is focused on penile prosthesis placement, which is a common treatment for erectile dysfunction. Therefore, the study is directly related to erectile dysfunction.",The purpose of this research is to determine the effects of penile ring block for local anesthesia with liposomal bupivacaine vs ropivacaine mixture in subjects undergoing surgery for Penile Prosthesis Placement.,1,
154,NCT01810575,A Study to Assess the Relative Efficacy and Safety of a Single Dose of Alprostadil Cream Combined With 2 Concentrations of WC3036 Compared to Vehicle in Subjects With Erectile Dysfunction,The purpose of this study is to assess the safety & efficacy of a single dose of alprostadil cream with 2 concentrations of WC3036 compared to vehicle alone in men with erectile dysfunction.,Inclusion Criteria:~Male subject aged 40 or older of any race~History of ED (erectile dysfunction) of at least 3 months duration defined as inability to attain & maintain an erection of the penis sufficient to permit satisfactory sexual intercourse~Completed and signed informed consent prior to any study related procedures~Exclusion Criteria:~History/presence any significant disease that Investigator feels will interfere with course of the study~Anatomic deformity of penis~History/presence alcoholism or drug abuse/dependence within past 2 years (discretion of Investigator)~Participation in investigational study drug trial within 30 days prior to randomization,erectile dysfunction,1,"The study is focused on assessing the safety and efficacy of alprostadil cream in men with erectile dysfunction, making it directly related to erectile dysfunction.",The purpose of this study is to assess the safety & efficacy of a single dose of alprostadil cream with 2 concentrations of WC3036 compared to vehicle alone in men with erectile dysfunction.,1,
157,NCT04984993,"A Multi-centre, Randomised, Open-label, Home Use, Parallel Group, Clinical Investigation of Topically-applied MED3000 Gel and Oral Tadalafil (5 mg) Tablets for the Treatment of Erectile Dysfunction (ED) Over a 24 Week Period",An open-label investigation using MED3000 gel or tadalafil (5 mg) tablets in the treatment of erectile dysfunction in patients from 22 to 70 years of age. Each patients will be expected to participate for up to 30 weeks. Eligible patients will be randomised to receive either MED3000 gel or tadalafil (5 mg) tablets in a 1:1 ratio.,"Inclusion Criteria:~Male heterosexual patients aged 22-70 years.~Confirmed clinical diagnosis of mild, moderate or severe ED for more than 3 months.~Involved in a continuous heterosexual relationship with their partner for at least 6 months.~Exclusion Criteria:~Any significant cardiovascular, pulmonary, hepatic, renal, gastrointestinal, haematological, endocrinological, metabolic, neurological or psychiatric disease.~History of unstable medical or psychiatric condition or using any medication that, in the opinion of the Principal Investigator, is likely to affect the patient's ability to complete the investigation or precludes the patient's participation in the investigation.",erectile dysfunction,1,"The trial is focused on the treatment of erectile dysfunction using MED3000 gel or tadalafil (5 mg) tablets, as explicitly stated in the study description.",An open-label investigation using MED3000 gel or tadalafil (5 mg) tablets in the treatment of erectile dysfunction in patients from 22 to 70 years of age.,1,
159,NCT01037218,"Randomized, Placebo-controlled, Double-Blind, Parallel Design, Phase 3 Study to Assess the Safety and Efficacy of Udenafil Tablets in Male Subjects With Erectile Dysfunction","Randomized, placebo-controlled, double-blind, parallel design, Phase 3 study to evaluate the safety and efficacy of udenafil, an orally administered, potent and selective inhibitor of PDE-5 versus placebo for the treatment of subjects with erectile dysfunction (ED).","Inclusion Criteria:~Male, at least 19 years of age~Stable monogamous relationship for at least 6 months with a consenting female partner who is at least 19 years of age, vaginal intercourse is a required study activity~History of ED (clinically defined as the inability to attain and maintain an erection of the penis sufficient to permit satisfactory sexual intercourse) of at least 3 months duration~Partner is not pregnant or lactating~Exclusion Criteria:~History of new-onset symptomatic coronary artery disease within the last 3 months or a history of myocardial infarction or cardiac surgical procedure within six months~Cardiac arrhythmias requiring antiarrhythmic treatment~Symptomatic congestive heart failure~Taking nitrate medication in any form~Uncontrolled diabetes (HbA1c ≥ 13%)~Hypersensitivity to phosphodiesterase type 5 (PDE-5) inhibitors such as Viagra®, Cialis® or Levitra®~Previously failed to respond to PDE-5 inhibitors such as Viagra®, Cialis® or Levitra®",erectile dysfunction,1,The trial is focused on evaluating the safety and efficacy of udenafil specifically for the treatment of erectile dysfunction in male subjects.,"Randomized, placebo-controlled, double-blind, parallel design, Phase 3 study to evaluate the safety and efficacy of udenafil, an orally administered, potent and selective inhibitor of PDE-5 versus placebo for the treatment of subjects with erectile dysfunction (ED).",1,
91,NCT00693056,"A Double-Blinded, Randomized, Placebo-Controlled, Dose-Exploring Study of RX-10100 for Eight Weeks of On-Demand Administration in Subjects With Erectile Dysfunction (ED)",The primary objective of this Phase IIa trial is to determine the effective doses and treatment period for an upcoming RX-10100 Phase IIb trial in subjects with erectile dysfunction (ED). The secondary objectives of this trial are to evaluate the safety and the quality of life in subjects with ED receiving RX-10100 treatment.,"Inclusion Criteria:~Have had ED for at least six months~Stable, heterosexual relationship for at least 3 months~Make at least one attempt of sexual intercourse per week during the untreated, 2-week screening period~At least 50% of attempts of sexual intercourse during the untreated baseline period must be unsuccessful~'Moderate' or 'mild to moderate' ED, defined as an IIEF-EF domain score between 11 and 21 measured~Exclusion Criteria:~Following previous or current medical conditions~Any unstable medical, psychiatric, or substance abuse disorder~Penile anatomical abnormalities~Primary hypoactive sexual desire~Spinal cord injury~Hypogonadism~Surgical prostatectomy~Stable or unstable angina pectoris~Myocardial infarction, stroke, or life-threatening arrhythmia~Uncontrolled atrial fibrillation/flutter at screening~Severe chronic or acute liver disease~Moderate or severe hepatic impairment~Clinically significant chronic hematological disease~Bleeding disorder~Significant active peptic ulcer disease~Resting hypotension or hypertension~Malignancy (cancers)~NYHA Class II to IV heart failures~Positive test for Hepatitis B surface antigen (HBsAg) or Hepatitis C~Symptomatic postural hypotension~Following concomitant medication~Androgens or estrogens~Anti-androgens~Potent inhibitors of cytochrome P450 3A4~Any other investigational drug within 30 days before Visit 1~Any treatment for ED within 7 days before Visit 1 or during the study~Antibiotics in the penicillin class~Following abnormal laboratory values~Serum total testosterone level (at least 25% lower)~Serum creatinine (> 3.0 mg/dl)~Elevation of AST and/or ALT (> 3 times the upper limit of normal)~Diabetic subjects with an HbAlc (> 6.5%)~Subjects with known hypersensitivity to amoxicillin~Subjects with a history of unresponsiveness to any PDE5 Inhibitor treatment or a history of significant side effects leading to its treatment discontinuation",erectile dysfunction (ed),1,"The trial is specifically focused on studying the intervention RX-10100 for the treatment of erectile dysfunction (ED), as indicated by the primary objective and the inclusion criteria targeting subjects with ED.",The primary objective of this Phase IIa trial is to determine the effective doses and treatment period for an upcoming RX-10100 Phase IIb trial in subjects with erectile dysfunction (ED).,1,
98,NCT05558007,Phase 2 Clinical Trial to Evaluate Safety and Efficacy of BZ371A In A Gel Applied in Patients That Performed Radical Prostatectomy,"To determine efficacy, safety and tolerabiltiy of topically applied BZ371A in patients that experienced RP, in combination with daily tadalafil compared to placebo.","Inclusion Criteria:~Men between the ages of 40 and 65 years;~Exclusive heterosexual men, regardless of race or social class.~RP due to prostate cancer without metastasis;~RP performed less than 60 days before the screening visit;~Erectile function prior to normal RP, defined as IIEF questionnaire with more than 22 points in domain A;~Stable sexual partner (more than 2 months prior to RP), and intention to maintain the relationship during the study.~Continuous use of 5mg Tadalafil from the 30th up to the 60th day after RP.~Exclusion Criteria:~Prostate cancer in TNM stage classified as T3 or T4.~Perineal and/or open RP;~Necessity of other therapy for prostate cancer than RP, including radiation therapy or hormone therapy;~Uncontrolled diabetes at screening visit (HbA1C > 10%);~Prior spinal cord injury with lower limb paralysis;~Current male hormone use, or hypogonadism, defined by total testosterone below 8 nmol/L (2300 pg/mL) or total testosterone between 8 and 11 nmol/L (2300 and 3170 pg/mL) and free testosterone < 220 pmol/L (< 64 ng/dL);~Patients with current depression, characterized by use or need for use of antidepressants.~Presence of genital lesions (such as severe penile fibrosis or Peyronie's disease) or active sexually transmitted disease (STD) (such as herpes, gonorrhea, candidiasis, HPV, and others) that impair analysis of local adverse effects on the genitalia;~Use of topical medications in the genital region that may interfere in the IP evaluation, as well as in its absorption or drug interaction;~Possession of penile prosthesis;~History of symptomatic hypotension, or diseases that increase the risk of symptomatic hypotension, such as patient with heart diseases (including history of angina and/or heart failure) and nephropathies;~Current use of nitrates, such as propatilnitrate (Sustrate®), isosorbide (Monocordil®, Cincordil®, Isordil®), nitroglycerin (Nitradisc®, Nitroderm TTS®, Nitronal®, Tridil®) and isosorbitol dinitrate (Isocord®);ketoconazole; ritonavir; and rifampicin.~Findings on ECG and/or laboratory tests that, in the Investigator's criteria, are considered significant and offer risk to the research volunteer's participation or may hinder the study analyses;~BP outside the limits considered safe: SBP below 90 mmHg or above 170 mmHg; or DBP below 50 mmHg or above 100 mmHg, except situations such as white coat syndrome;~Diseases that can cause priapism, such as sickle cell anemia, multiple myeloma, or leukemia;~Histroy of priapism, defined as painful erection from up to 6 hours.~Current relevant diarrhea, defined as duration over four weeks, association with abdominal pain or dysabsortive syndrome, or presence of mucus, pus, or blood in the stool;~Known hypersensitivity to tadalafil and/or BZ371A;~History of symptomatic Lactose intolorence such as: the necessity of enzymatic treatment, abdominal distension or diarrhea when ingesting products or supplements with lactose;~Low adhsesion to 5mg Tadalafil use, characterized by the use of <80% of the pills between the 30th and 60th day post PR;.~Pregnant or lacting partner.~Partner in childbearing age which does not accept to get exposed to the treatment~Any disease, condition or physical finding that the Investigator considers significant and that increases the risk of the research subject's participation or may interfere with the results, including severe debilitating illness, presence of cancer other than prostate cancer, severe mental illness persistent medication abuse;",erectile dysfunction following radical prostatectomy~erectile dysfunction~prostate cancer~radical prostatectomy,1,"The trial is focused on evaluating the efficacy, safety, and tolerability of BZ371A in patients who have undergone radical prostatectomy and are experiencing erectile dysfunction as a result. The inclusion criteria specifically mention the need for normal erectile function prior to the prostatectomy and the study aims to address erectile dysfunction post-surgery.",erectile dysfunction following radical prostatectomy,1,
90,NCT00855582,"A Randomized, Double-Blind, Placebo-Controlled, Parallel Design, Multinational Study to Evaluate the Efficacy and Safety of Tadalafil 2.5 and 5 mg Once Daily Dosing for 12 Weeks for the Treatment of Erectile Dysfunction and Signs and Symptoms of Benign Prostatic Hyperplasia in Men With Both Erectile Dysfunction and Benign Prostatic Hyperplasia",Study LVHR is a Phase 3 study which will examine the efficacy and safety of tadalafil 2.5 and 5 mg once daily versus placebo for the treatment of erectile dysfunction (ED) and signs and symptoms of benign prostatic hyperplasia (BPH) in men with both ED and signs and symptoms of BPH.,"Inclusion Criteria:~Have BPH Lower Urinary Tract Symptoms (LUTS) based on the disease diagnostic criteria at 1st screening.~Have a history of ED based on the disease diagnostic criteria at 1st screening.~Have LUTS with a Total International Prostate Symptom Score (IPSS) greater than or equal to 13 at 2nd screening.~Have bladder outlet obstruction as defined by a Peak Urine Flow Rate (Qmax) of greater than or equal to 4 to less than or equal to 15 milliliter (mL)/second (sec) (from a prevoid total bladder volume as assessed by ultrasound of greater than or equal to 150 to less than or equal to 550 mL and a minimum voided volume of 125 mL) at 2nd screening.~Make at least 4 sexual intercourse attempts during the 4-weeks after 2nd screening as recorded in the Sexual Encounter Profile (SEP) diary.~Are sexually active with an adult female partner, and expect to remain sexually active with the same adult female partner for the duration of the study.~Agree not to use any other approved or experimental BPH, overactive bladder (OAB), or ED treatments as indicated in the protocol at any time during the study.~Have not taken treatments indicated in the protocol prior to the 2nd screening.~Exclusion Criteria:~Current treatment with nitrates.~Prostate-specific antigen (PSA) greater than 10.0 nanogram (ng)/mL at 1st screening.~PSA greater than or equal to 4.0 to less than or equal to 10.0 ng/mL at 1st screening if prostate malignancy has not been ruled out to the satisfaction of a urologist.~Clinical evidence of prostate cancer.~Bladder postvoid residual volume (PVR) greater than or equal to 300 mL by ultrasound determination at 1st screening.~History or clinical evidence of certain pelvic, bladder, urinary tract, or urinary retention conditions described in the protocol.~Lower urinary tract instrumentation (including prostate biopsy) within 30 days of 1st screening.~Clinical evidence of severe hepatic impairment at 1st screening.~Current neurologic disease or condition associated with neurogenic bladder (for example, Parkinson's disease or multiple sclerosis).~History of significant renal insufficiency as defined by the protocol.~History of ED caused by other primary sexual disorders including premature ejaculation or ED caused by untreated endocrine disease.~Presence of penile deformity judged by the investigator to be clinically significant.~History of certain cardiac or cardiovascular conditions described in the protocol.~History of resuscitated cardiac arrest.~Current treatment with certain medications described in the protocol.~Scheduled or planned surgery (or any procedure requiring general, spinal, or epidural anesthesia) during the course of the study.~History of significant central nervous system injuries (including stroke or spinal cord injury) within 6 months of 1st screening.~Glycosylated hemoglobin (HbA1c) greater than 9% at 1st screening.~Prior treatment with phosphodiesterase type 5 (PDE5) inhibitors judged by the investigator to be ineffective. However, if the investigator judges that a subject's lack of response to as-needed PDE5 inhibitors is the result of inadequate coordination between dosing and sexual activity with a treatment, the subject may be enrolled.",erectile dysfunction~benign prostatic hyperplasia,1,The trial is focused on evaluating the efficacy and safety of tadalafil for the treatment of erectile dysfunction (ED) in men who also have benign prostatic hyperplasia (BPH). The study specifically targets men with a history of ED and aims to treat this condition alongside BPH symptoms.,"A Randomized, Double-Blind, Placebo-Controlled, Parallel Design, Multinational Study to Evaluate the Efficacy and Safety of Tadalafil 2.5 and 5 mg Once Daily Dosing for 12 Weeks for the Treatment of Erectile Dysfunction and Signs and Symptoms of Benign Prostatic Hyperplasia in Men With Both Erectile Dysfunction and Benign Prostatic Hyperplasia",1,
