"","Combined"
"82","NCT00858832_Reduction of Endometritis After Cesarean Section With the Routine Use of Methergine_Endomyometritis is an infection in the uterus. It can occur in up to 1 out of 5 women having unplanned cesarean deliveries. Antibiotics are routinely given at the time of Cesarean delivery, but the infection in the uterus can still occur. When endomyometritis occurs it can prolong the woman's stay in the hospital after birth, slow down her recovery time at home, and increase medical costs. Methergine is a medication that is routinely used to stop uterine hemorrhage (excessive bleeding from the uterus) that sometimes happens after delivery. Methergine works by contracting (tightening) the uterus. These contractions also help the uterus to expel or remove parts of the placenta that increase the chance of developing a uterine infection.~This research study is being done to learn if routine use of Methergine can lower the chances of developing a uterine infection after cesarean delivery. Half of the women in this study will receive Methergine for a few days during their hospitalization after cesarean delivery. The other half of the women will not routinely receive Methergine._Female_18 Years_45 Years_Conditions:  endometritis_Inclusion Criteria:~Female singleton gravidas~Patients receiving non-elective cesarean deliveries after trial of labor~No evidence of chorioamnionitis~Exclusion Criteria:~Diagnosis of chorioamnionitis~Elective cesarean section~Unable to provide informed consent~Immunocompromised patients and those on antiretroviral drugs~Patients with known infection~Hypertension (blood pressure greater than 140/90 x 2, six hours apart), including those with a past history, gestational or Preeclampsia.~Allergic to ergot alkaloids. This would include people allergic to migraine medicine."
"83","NCT00779467_Epidural Neostigmine Dose Response for the Treatment of Labor Pain_The purpose of this study is to see which dose of epidural neostigmine is the best additive to use with the numbing medication used in an epidural during labor._Female_18 Years_50 Years_Conditions:  labor pain_Inclusion Criteria:~Healthy pregnancy~Term pregnancy ( > 37 weeks)~Primiparous or multiparous~Induction or spontaneous labor greater or = 18 years of age~Cervical exam on entry </=5 cm~Exclusion Criteria:~Weight > 115 kg~Non-English speaking~IV analgesics within 60 minutes prior to epidural being administered~Allergy to local anesthetics or neostigmine"
"84","NCT04126213_A Phase II, Randomised, Observer-blind, Placebo Controlled Multi-country Study to Assess the Safety, Reactogenicity and Immunogenicity of a Single Intramuscular Dose of GSK Biologicals' Investigational RSV Maternal Unadjuvanted Vaccine (GSK3888550A), in Healthy Pregnant Women Aged 18 to 40 Years and Infants Born to Vaccinated Mothers_The purpose of this study was to evaluate the safety and immune response to a single intramuscular (IM) dose of GSK Biologicals' investigational RSV maternal vaccine (RSVPreF3) in healthy pregnant women 18-40 years of age and in infants born to vaccinated mothers._Female_18 Years_40 Years_Conditions:  respiratory syncytial virus infections_Inclusion Criteria:~Maternal subjects~Subjects who, in the opinion of the investigator, can and will comply with the requirements of the protocol.~Subjects who give written or witnessed/thumb printed informed consent after the study has been explained according to local regulatory requirements, and before any study specific procedures are performed. The informed consent given at screening should (consistent with local regulations / guidelines) either:~include consent for both the maternal subject's participation and participation of the infant after the infant's birth, or~include consent for the maternal subject's participation and expressed willingness to consider permitting the infant to take part after the infant's birth.~Both mother and father should consent if local regulations/guidelines require it.~Age 18 to 40 years, inclusive, when informed consent is given.~Pre-pregnancy BMI 18.5 to 34.9, inclusive~Healthy as established by medical history and clinical examination before entering into the study.~At 28^0/7 to 33^6/7 weeks of gestation at the time of study vaccination (Visit 1), as established by last menstrual period (LMP) date corroborated by first or second trimester ultrasound examination (U/S).~* If LMP and U/S do not correlate, default to U/S gestational age assessment. The level of diagnostic certainty of the gestational age should be established by using the Global Alignment of Immunisation safety Assessment in pregnancy gestation age assessment tool~Subject satisfying screening requirements~Singleton pregnancy~HIV negative, as assessed by local standard of care serologic tests conducted during the current pregnancy and before enrolment (Visit 1).~No fetal genetic abnormalities.~No significant congenital malformations, as assessed by level 2 ultrasound (also known as a fetal anomaly ultrasound scan or fetal morphology assessment) conducted after 18 weeks of gestation~Willing to provide cord blood~Willing to have the infant followed-up after delivery for a period of 12 months~Does not plan after delivery to give the infant for adoption or place the infant in care Note that women whose pregnancies resulted from Assisted Reproductive Technologies may be enrolled if they meet all inclusion criteria and none of the exclusion criteria.~Infant subjects~Live-born from the study pregnancy.~Re-signed (confirmed) written or witnessed/thumb printed informed consent for study participation of the infant obtained from the infant's mother and/or father and/or legally authorized representative, as applicable by local law, before performing any study specific procedure.~Exclusion Criteria:~Maternal subjects~Medical conditions~History of allergic disease or reactions likely to be exacerbated by any component of the RSV vaccine~Hypersensitivity to latex~Significant complications in the current pregnancy such as:~Gestational hypertension at ≥20 weeks of gestation in the absence of proteinuria in a woman with a previously normal blood pressure~Gestational diabetes which is not controlled by diet and exercise~Pre-eclampsia~Eclampsia during current pregnancy~Intrauterine growth restriction~Placenta previa~Placental abruption, placenta accreta/percreta/increta, chorioamnionitis or any abnormalities that in the opinion of Investigator can impair the maternal-fetal circulation~Polyhydramnios~Oligohydramnios~Cervical suture in place~Preterm labour or history of preterm labour in the current pregnancy~Ongoing medical intervention to prevent preterm delivery or medical treatment for suspected preterm delivery~Cholestasis~Other pregnancy-related complications that in the Investigator's judgement would preclude participation of the subjects in an investigational vaccine trial or might pose risk to the subject due to participation in the study~Significant structural abnormalities of the uterus or cervix~History of prior stillbirth or neonatal death~History of preterm birth~History of ≥2 spontaneous abortions~Known or suspected HBV or HCV infection, based on medical history and clinical presentation~Known or suspected infection during the current pregnancy with Toxoplasma, Parvovirus B19, Syphilis, Zika, Rubella, Varicella, CMV or primary genital Herpes Simplex, based on medical history and clinical presentation~Active infection with tuberculosis, based on medical history and clinical presentation~Known or suspected impairment of the immune system or autoimmune disorder (based on medical history and physical examination; no laboratory testing required)~Lymphoproliferative disorder or malignancy within 5 years before vaccination (excluding effectively treated non-melanoma skin cancer)~Any clinically significant grade 1 hematological and/or biochemical laboratory abnormalities identified at screening, which are clinically significant for pregnant women in the second and third trimester~Grade ≥ 2 hematological and/or biochemical laboratory abnormalities identified at screening being clinically significant for pregnant women in the second and third trimester~Acute or chronic clinically significant conditions, that might pose additional risk to the subject due to participation in the study~Any conditions that, may interfere with subject's ability to comply with study procedures or receipt of prenatal care~Any condition which, would increase the risks of study participation to the unborn infant~Prior/Concomitant therapy~Prior receipt of a COVID-19 vaccine.~Prior receipt of an RSV vaccine~Use of any investigational or non-registered product other than the study vaccine(s)/product(s) during the period beginning 29 days before the dose of study vaccine/product or planned use during the study period~Planned administration/administration of any vaccine within 29 days before study vaccine administration and through Day 43 post-delivery, except seasonal influenza vaccines and dTpa/Tdap or tetanus, which may be administered according to standard of care ≥ 15 days before or after study vaccination~Administration of immunoglobulins, blood products or plasma derivatives within 3 months before study vaccination or planned administration through Visit 5~Administration of immune-modifying therapy within 6 months before the study vaccine/product dose, or planned administration through delivery. This includes but is not limited to:~Azathioprine, mycophenolate mofetil, 6-mercaptopurine, cyclosporine, tacrolimus, monoclonal or polyclonal antibodies;~Prednisone, ≥ 5 mg/day or equivalent for ≥ 14 days. Topical, steroids are allowed. Inhaled steroids are allowed if ≤ 500µg/day of beclomethasone or fluticasone, or ≤ 800µg/day of budesonide.~Prior/Concomitant clinical study experience~Previous participation in a clinical trial of an RSV vaccine~Concurrently participating in another clinical study, in which the subject has been or will be exposed to an investigational or a non-investigational vaccine/product~Other exclusions~Alcoholism or substance use disorder within the past 24 months based on the presence of two or more abuse criteria~A local condition that precludes injection of the study drug or precludes assessment of local reactogenicity~Consanguinity of maternal subject and her partner (second degree cousins or closer)~Any study personnel or their immediate dependants, family, or household members~Infant subjects~Concurrently participating in another clinical study, in which the subject has been or will be exposed to an investigational or a non-investigational vaccine/product~Child in care"
"85","NCT02490345_Effect of Gabapentin on Postoperative Pain Control After a Cesarean Section_The specific aims of this research study are to use 600 mg gabapentin as an adjunctive treatment for acute postoperative pain control in order to reduce postoperative opiate consumption and improve postoperative pain control._Female_18 Years_N/A_Conditions:  drug usage_Inclusion Criteria:~Pregnant women at least 18 years of age~Singleton gestation~Gestational age equal to or greater than 30 weeks~Women undergoing a non-emergent (often scheduled) repeat cesarean delivery~Spinal anesthesia utilized during cesarean~Exclusion Criteria:~History of opiate abuse~Women on opiates during pregnancy~Women requiring treatment with magnesium sulfate postpartum~Preexisting Fibromyalgia, chronic pain syndrome, or rheumatologic disorder~General anesthesia required for cesarean~Plans to breastfeed~History of major depression or postpartum depression requiring medication~Planned classical cesarean section"
"86","NCT02893423_The Dose Dependent Effect of Ropivacaine Transversus Abdominis Plane Blocks on Postoperative Analgesia After Cesarean Section_With this research the investigators hope to determine the lowest dose of ropivacaine used in transversus abdominis plane (TAP) blocks that can effectively treat pain in women after cesarean section (c-section)._Female_N/A_N/A_Conditions:  postoperative pain_Inclusion Criteria:~Pregnant patients undergoing elective c-section~Exclusion criteria:~Allergy to local anesthetics~Contraindication to tap blocks"
"87","NCT02181387_Does Acetaminophen Reduce Neuraxial Analgesic Requirement During Labor_The hypothesis is if administration of acetaminophen during labor will reduce the amount of neuraxial pain medication required for comfort. For the study, Acetaminophen or placebo capsules will be administered at the time of neuraxial analgesia placement and then administered every 6 hours until delivery. Overall consumption of neuraxial pain medication will be determined._Female_18 Years_55 Years_Conditions:  pain_Inclusion Criteria:~>/= 18 years of age not allergic to study medications~Exclusion Criteria:~pre-eclampsia in labor AND with demonstrated significant abnormal liver enzyme function changes non-English speaking subjects"
"88","NCT04651166_Effect of Prophylactic Tranexamic Acid on Bleeding Outcomes for Dilation and Evacuation_Prophylactic tranexamic acid has shown been shown to reduce maternal mortality from postpartum hemorrhage with no adverse effects, but has not been studied to reduce bleeding complications with dilation and evacuation (D&E). We propose a randomized, double-blinded, placebo-controlled pilot study to determine whether routine use of intravenous (IV) tranexamic acid will decrease the need for interventions to control bleeding at the time of D&E at 16 to 24 weeks gestation._Female_14 Years_N/A_Conditions:  abortion~dilation and evacuation~hemorrhage~blood loss_Inclusion Criteria:~Requesting pregnancy termination~Intrauterine pregnancy at 16 to 24 weeks gestation~Participants must be willing and capable of giving informed consent and able to understand and sign written consents in English.~Exclusion Criteria:~History of thromboembolic events (i.e. deep vein thrombosis, stroke, pulmonary embolism)"
"89","NCT04254081_Addition of Buprenorphine to Paracervical Block Prior to Osmotic Dilator Insertion for Dilation and Evacuation: A Randomized Controlled Trial_Cervical preparation with osmotic dilators is commonly used prior to dilation and evacuation (D&E) procedures to decrease the risk of complications. Women have described the pain of osmotic dilator insertion as moderate to severe yet there have been few studies aimed at addressing pain during and after osmotic dilator insertion. In addition to the discomfort during insertion, pain after osmotic dilator insertion peaks at 2 hours post-insertion with use of a lidocaine paracervical block. One randomized trial found that use of a paracervical block with 1% buffered lidocaine decreased pain with osmotic dilator insertion compared to a sham block. There are adjunct treatments to optimize analgesia with local anesthetics at a variety of anatomic locations. Buprenorphine, a partial mu-opioid receptor agonist, has been found to increase the quality of the anesthetic at the time of administration and increase the duration of nerve block analgesia at several anatomic sites, though has never been studied as an adjunct in a paracervical block. This has been used extensively in orthopedic surgery with significant prolongation of the local anesthetic effect by almost threefold in some studies.~Primary Aim: To compare the mean pain score at the time of osmotic dilator insertion among women randomized to a 1% lidocaine and buprenorphine paracervical block compared to a 1% lidocaine paracervical block alone.~Secondary Aim: To compare the mean pain score 2 hours after osmotic dilator insertion among women randomized to a lidocaine and buprenorphine paracervical block compared to a lidocaine paracervical block alone.~The investigators hypothesize that in patients undergoing osmotic dilator insertion in preparation for dilation and evacuation, the addition of buprenorphine 0.15mg to a 1% lidocaine paracervical block will be associated with lower mean pain scores at time of osmotic dilator insertion compared to women who receive a 1% lidocaine paracervical block alone._Female_18 Years_N/A_Conditions:  procedural pain~buprenorphine~adjuvants, anesthesia~dilation and evacuation~analgesics_Inclusion Criteria:~Gestational age 14 0/7 weeks to 23 6/7 weeks at time of osmotic dilator insertion~Require cervical preparation with placement of osmotic dilators~At least 18 years of age~Fluent in English or Spanish~Exclusion Criteria:~Same day dilation and evacuation procedure~Request for sedation during osmotic dilator insertion~Liver disease~Allergy to buprenorphine, lidocaine, or ibuprofen~Narcotic or opioid medication use in the preceding 24 hours~Use of recreational/illicit medications in the preceding 24 hours~Currently incarcerated"
"90","NCT03872336_Acute Labetalol Use in Preeclampsia Randomized Trial_The purpose of this study is to understand if administration of a personalized dose of the anti-hypertensive medication, labetalol, based on patient's body-mass index, will be more effective at controlling severe hypertension during pregnancy, compared to the current standard dosing._Female_18 Years_N/A_Conditions:  preeclampsia with severe features_Inclusion Criteria:~BMI ≥ 30~Age ≥ 18 years~Gestational age ≥ 24 weeks~Singleton gestation~One sustained severe range blood pressure at Albany Medical Center~Exclusion Criteria:~Known allergic reaction to labetlol~Persistent mild-moderate asthma (≥ 2 rescue inhaler uses per week in the previous month)~Obstructive airway disease~Bradycardia < 70 beats/min~Heart block > 1st degree or history of heart failure"
"91","NCT01052480_A Randomized, Open-Label, Phase 2, Multicenter Safety and Exploratory Efficacy Study of Investigational Anti-Influenza Immune Plasma for the Treatment of Influenza (IRC002)_This randomized, open-label, multicenter phase 2 trial will assess the safety, efficacy, and pharmacokinetics (PK) of anti-influenza plasma in subjects with influenza A or B. Hospitalized subjects with influenza A or B that have either a low oxygen level or a high respiratory rate will be eligible for study participation. This study will enroll adults, children and pregnant women._All_N/A_N/A_Conditions:  influenza a~influenza b_Inclusion Criteria:~Diagnosis of influenza A or B within 72 hours prior to enrollment (by local assay including rapid antigen, direct fluorescent antibody (DFA), polymerase chain reaction (PCR), or culture, and must be able to detect and distinguish influenza A from influenza B)~Hospitalization for signs and symptoms of influenza (decision for hospitalization will be up to the individual treating clinician).~Abnormal respiratory status, defined as room air saturation of oxygen (SaO2) less than 93% or tachypnea (respiratory rate above an age adjusted normal range)~Agree to the storage of specimens and data~ABO compatible plasma available on site or available within 24 hours after randomization with activity against locally circulating strains of influenza~Exclusion Criteria:~Receipt of non-licensed treatment for influenza within the last 2 weeks (or plans to receive any time during the study). This does not include licensed drugs at non approved doses, off-label indications, or drugs available under an Emergency Use Authorization (EUA).~History of severe allergic reaction to blood products (as judged by the investigator).~Medical conditions for which receipt of 500 mL volume (or 8 mL/kg for pediatric patients) may be dangerous to the subject (e.g. decompensated congestive heart failure [CHF], etc.)~Clinical suspicion that etiology of acute illness is primarily due to a condition other than active influenza virus replication (e.g., a bacterial or fungal infection)"
"92","NCT00015002_A Randomized Placebo-Controlled Trial of Antenatal Corticosteroid Regimens_A course of steroids given to a mother who is in labor with a premature fetus will reduce the risk of the premature infant dying or having serious complications. This trial will test whether more than one course of antenatal steroids is more beneficial or risky to the infant than a single course._Female_N/A_N/A_Conditions:  complications, pregnancy_Inclusion criteria:~Pregnant~Gestational age > 23.0 wks and < 31.6 wks~Singleton or twin pregnancy~Intact membranes~At-risk for spontaneous preterm delivery~Received full course of corticosteroids within the previous 7 days~Exclusion criteria:~Diagnosis of fetal lung maturity~Chorioamnionitis~Non-reassuring fetal testing~Known major fetal anomaly~Corticosteroid therapy, other than qualifying course~Insulin dependent diabetes~Active preterm labor at the time of randomization~Delivery intended outside center~Participation in any intervention study which influences neonatal morbidity or mortality~Previous participation in this trial"
"93","NCT04578015_A Randomized Controlled Trial of Treatment of Bacterial Vaginosis in Late Third Trimester to Prevent Maternal Peripartum Infection_This is a double-blinded, placebo controlled, multi-center randomized trial of 482 pregnant women who are diagnosed with Bacterial Vaginosis (BV) in the late 3rd trimester (>34 weeks). During routine clinic visit after 34 weeks, prospective patients will be counseled about the study. Patients who agree to be enrolled, will sign informed consent. Following enrollment, patients will be screened for BV. Those patients who are BV positive by clinical diagnosis, will be randomized to receive either metronidazole 500 mg BID orally for 7 days or identically appearing placebo._Female_18 Years_50 Years_Conditions:  bacterial vaginoses_Inclusion Criteria:~Pregnant women 18 to ≤50 years with the ability to give informed consent.~Patients expected to have a vaginal delivery with no obstetric contraindication for vaginal delivery at time of screening.~Diagnosed with bacterial BV per Amsel criteria at time of screening in clinic.~Gestational age ≥ 35 weeks~Exclusion Criteria:~Plan for elective cesarean delivery~Allergy or contraindications to metronidazole~Receipt of metronidazole or clindamycin on admission for delivery for other indications.~Hemodialysis~Severe liver dysfunction~Patient reports BV to nurse or clinician provider at current clinic visit or has been treated for BV within the past 3 months."
"94","NCT05057858_Pharmacology of TDF-FTC Pre-exposure Prophylaxis in Kenyan Cisgender Women_The study seeks to define the expected blood levels of pre-exposure prophylaxis (PrEP) medications (tenofovir) for cisgender women taking directly observed oral PrEP therapy to understand the frequency of PrEP dosing associated with HIV protection in cisgender women. Cisgender women will be randomly assigned to receive varying frequency of weekly PrEP doses and followed for up to 16 weeks. The study will also investigate how pregnancy affects the expected blood levels to help define optimal dosing of PrEP for HIV prevention during pregnancy._Female_18 Years_30 Years_Conditions:  hiv infections_Inclusion Criteria:~Age ≥18 and ≤30 years old~Willing to undergo urine pregnancy tests~Has understood the information provided and has provided written informed consent before any study-related procedures are performed.~HIV uninfected based on negative HIV rapid tests, according to Kenyan national algorithm~Normal renal function (estimated glomerular filtration rate >60 mL/min)~Hepatitis B surface Ag negative~No active clinically significant medical or psychiatric conditions that would interfere with study participation~Lack of severe anemia~Willing to use DOT and come to clinic frequently for DOT PrEP for at least 8 weeks~Willing to have home visits for follow up~Has access to an active smartphone to allow off-site observation of dosing if unable to come to the clinic or as determined by the study staff, the participant resides in close location to clinic to permit home visit if unable to come to the clinic. i.e., potential participants without a smartphone may be enrolled in the study if investigator determines that the participant resides within reasonable distance from the clinic that would permit home visit id the participant misses their visit.~Intention to stay within the study site's catchment area for at least 8 weeks.~Resides or works in catchment area with high speed internet coverage to permit video streaming~Specific for non-pregnant cisgender women cohort~Not pregnant or breast feeding~At low risk for HIV. In Kenya, national guidelines define substantial risk for HIV and recommend PrEP be an option for individuals reporting: partner of HIV-infected person not on ART or on ART for <6 months, >1 partner of unknown status, transactional sex, recent STI, recurrent PEP use, inconsistent condom use, or injection drug use. So, non-pregnant cisgender women reporting any of these factors will not be eligible for the study but will be linked for PrEP at clinic of choice including at Thika Site itself.~Willing to be randomized to non-daily PrEP and come to clinic frequently for DOT PrEP~Willingness and ability to be abstinent for at least 7 days after each vaginal biopsy visit.~Specific for pregnant cisgender women only~At screening, evidence of a viable pregnancy with gestational age of 13-26 weeks after the date of conception with sonographic confirmation. If adequate sonographic results are not available from medical records at screening, an ultrasound must be performed in the interim so that the result is available at study entry.~At elevated risk for acquiring HIV according to Kenya guideline for PrEP. This is to ensure an ethical approach for provision of PrEP in pregnancy (i.e., only exposing PrEP to those who want and might benefit from it). Kenya national guidelines define substantial risk for HIV and recommend PrEP be an option for individuals reporting partner of HIV-infected person not on ART or on ART for <6 months, >1 partner of unknown status, transactional sex, recent STI, recurrent PEP use, no or inconsistent condom use~At study entry, willing to use PrEP during pregnancy for HIV prevention~Exclusion Criteria:~For all cisgender women~Inability to give informed consent~Positive screening HIV+ as determined by standard rapid serologic assays or suspected acute HIV infection in the opinion of the clinician. (example signs and symptoms of acute HIV infection include combinations of fever, headache, fatigue, arthralgia, vomiting, myalgia, diarrhea, pharyngitis, rash, night sweats, and adenopathy cervical or inguinal)~Positive HBV surface antigen test at screening~Calculated creatinine clearance < 60 ml/min.~Any laboratory value or uncontrolled medical conditions that, in the opinion of the investigators, would interfere with the study conditions such as, heart disease and/or cancer.~Prohibited concomitant medications are: investigational agents (within 30 days of enrollment), aminoglycosides, ganciclovir/valganciclovir, chronic high-dose acyclovir/valacyclovir (>800mg acyclovir or > 500mg valacyclovir for >7 days), cyclosporine, amphotericin B, foscarnet, and cidofovir, and products with same or similar active ingredients as the study medications including TAF®, ATRIPLA®, COMPLERA®, EMTRIVA®, VIREAD®; or drugs containing lamivudine or adefovir, which are close analogs of FTC and tenofovir, respectively.~Current or past use of PrEP (pre-exposure prophylaxis)~Not willing to have home visits~Specific for non-pregnant cisgender women cohort~Pregnancy or plan to become pregnant in the next 6 months or unwillingness to use birth control~Current breastfeeding~High risk of HIV infection (for example: sexually active with an HIV infected partner; engages in condomless intercourse with HIV-infected partners or partner of unknown status during the study; females who exchange sex for money, shelter, or gifts; active injection drug use or during the last 12 months; newly diagnosed sexually transmitted infections in last 6 months.~Specific for pregnant cisgender women cohort~Mother has a known history of any of the following, as determined by the site investigator or designee based on maternal report and available medical records:~Sickle cell anemia (excluding sickle cell trait), chronic bleeding, blood transfusion within the past 120 days (excluding for chronic illness) or other blood dyscrasias~Fetus has a known or suspected major congenital anomaly, from chart review of prior data, defined ultrasound.~Complications in prior pregnancies that would be considered exclusionary"
"95","NCT00986921_Mifepristone vs. Laminaria Insertion for Cervical Preparation Prior to Surgical Abortion at 14-16 Weeks_Women who are requesting pregnancy termination at 14-16 weeks, who would normally have osmotic dilator insertion the day before their procedure, would be asked if they wanted to participate. Participants would be randomized to two groups: first, dilator insertion as usual, or second, mifepristone taken the day before the procedure._Female_18 Years_45 Years_Conditions:  abortion_Inclusion Criteria:~women aged 18-45 having pregnancy termination at 14-16 weeks~Exclusion Criteria:~multiple gestation, pre-existing infection, contraindication to osmotic dilators, unable to obtain proper consent"
"96","NCT00746551_Low Dose Intravenous Versus Oral Iron for Iron Deficiency Anemia Starting Late in Pregnancy: A Randomized Controlled Trial_The purpose of this study is to compare the efficacy of body iron storage replenishment between low dose intravenous iron and oral iron in late pregnancy._Female_18 Years_45 Years_Conditions:  anemia~pregnancy complications_Inclusion Criteria:~Age 18-45 years old~Singleton pregnancy at 32 weeks gestation~Having anemia in the third trimester according to World Health Organization, namely, with a hemoglobin level of < 11 g/dL or hematocrit of < 33%~Having no underlying disease such as hypertension, gestational diabetes mellitus, heart disease, peptic ulcer, etc.~Having no history of allergy to iron containing medication~Having no history or other allergic conditions or asthma~Having no thalassemia disease, for examples: B thalassemia major, hemoglobin E/ B thalassemia, homozygous hemoglobin E, Hemoglobin H, AE Bart disease, and EF Bart disease. Pregnant women who have iron deficiency anemia and are thalassemia carriers such as A-thalassemia 1, B-thalassemia, or less severe Hb E/ B thalassemia are able to enter the study.~Having no history of bleeding tendency~Having no history of blood transfusion within the prior 120 days~Having no history of delivery before 36 weeks gestation~Giving consent and having signed the consent form for this study~Exclusion Criteria:~Stool exam revealed parasitic infestation~C-reactive protein > 3 mg/L~Serum ferritin > 15 mcg/L"
"97","NCT01390233_Comparison of Pre-Induction Cervical Ripening Using Prepidil Gel Administered Through a Urinary Balloon Catheter._This study is designed to assess the effectiveness of a combination method of induction of labor using a urinary balloon catheter and prostaglandin gel.~The vaginal delivery rate for medical induction of labor is lower than the vaginal delivery rate for spontaneous labor. As a consequence, the frequency of cesarean section for failed induction in the United States is rising. This has led to a renewed effort to examine the effectiveness of the varied methods of induction.~The study is a randomized, unblinded trial of urinary balloon catheter and prostaglandin gel for induction of labor in term pregnant patients. Pregnant women presenting to the Palmetto Health Richland for a scheduled induction of labor will be offered enrollment in the trial. Patients who enroll in the study will be randomized into one of 3 study arms: urinary balloon catheter only, prostaglandin gel only and combination urinary balloon catheter and prostaglandin gel. Randomization will be per sealed envelope from the locked nurse medication storage area (Pyxis) located in Labor and Delivery at Palmetto Health Richland. The investigator will be given the next sequentially numbered study randomization envelope by the patient's nurse. The randomization assignment will be unblinded to the patient and her physicians. If the patient is not in active labor 6 hours after initiation of the intervention, a standardized protocol of oxytocin will commence. Labor management will be at the discretion of the physician._Female_18 Years_N/A_Conditions:  failed labour_Inclusion Criteria:~Single, live fetus~Cephalic (head-first) presentation~Reassuring fetal health assessment~Gestational age between 26 and 42 weeks~Maternal age 18 and above~Bishop score less than 5~Exclusion Criteria:~Multiple Gestation (twins, triplets, quadruplets)~Fetal demise~Fetal malpresentation~Estimated fetal weight less than 500 grams or more than 4000 grams~Placenta previa~Non-reassuring fetal health assessment~Maternal asthma~Latex allergy~Spontaneous labor~Other contraindication to vaginal delivery"
"98","NCT00308711_A Multi-center, Randomized, Double-blind Phase III Study of the Efficacy and Safety of the Misoprostol Vaginal Insert Compared to Cervidil for Women Requiring Cervical Ripening and Induction of Labor (The MVP Study)._The purpose of this study is to determine whether the misoprostol vaginal insert (50 mcg and 100 mcg) can safely and effectively speed time to vaginal delivery compared to Cervidil (R) in women who need to have cervical ripneing and induction of labor._Female_18 Years_N/A_Conditions:  cervical ripening~labor, induced_Inclusion Criteria:~Pregnant women at least 36 weeks gestation requiring cervical ripening and induction of labor~Exclusion Criteria:~No uterine scar (no previous delivery by cesarean section)~No multiple gestation~No condition that disallows use of prostaglandins for induction of labor~No more than 3 previous vaginal births beyond 24 weeks gestation"
"99","NCT06118957_A Pilot Randomized Controlled Trial of Low Molecular Weight Heparin or no Treatment Following Cesarean Delivery_The aim of this study is to evaluate the feasibility of randomizing individuals to low molecular weight heparin (enoxaparin) or no treatment following cesarean delivery. The investigators hypothesize that among eligible individuals, at least 35% will enroll, undergo randomization, and complete the allocated treatment group._Female_18 Years_N/A_Conditions:  thromboembolism_Inclusion Criteria:~Cesarean delivery at the University of Utah Health~Exclusion Criteria:~Contraindication to anticoagulation~Plan for therapeutic anticoagulation~Known renal dysfunction (creatinine clearance <30mL/minute)~History of venous thromboembolism~High risk thrombophilia~Receipt of antepartum anticoagulation for >2 weeks"
"100","NCT05676476_The ACHIEVE Trial: Achieving Longer Gestation in Preeclampsia Via Antihypertensive Therapy._The Achieve Trial is a randomized clinical trial to test whether lowering blood pressure to less than 140/90 mmHg in women with hypertensive disorders of pregnancy will prolong pregnancy._Female_14 Years_49 Years_Conditions:  preeclampsia~gestational hypertension~hypertensive disorder of pregnancy_Inclusion Criteria:~Pregnant women~Gestational age: 23 weeks, 0 days to 35 weeks, 6 days~Hypertensive disorder of pregnancy including gestational hypertension or preeclampsia, the non-severe form at enrollment, which is called without severe features by the American College of Obstetricians and Gynecologists.~No evidence of the severe form of preeclampsia, termed severe features, as outlined in maternal exclusions~No indication for delivery at the time of enrollment.~Planned expectant management at time of enrollment~Singleton or dichorionic twin gestation, defined at and beyond 14 weeks gestation. (A pregnancy complicated by a vanishing twin in the first trimester defined as less than 14 weeks gestation will be eligible.)~Dating sonogram at less than 21 weeks of gestation~Prenatal care, or another healthcare visit with a documented blood pressure, at less than 21 weeks gestation~Intact membranes~Exclusion Criteria:~Preeclampsia with severe features, defined per ACOG as:~Systolic blood pressure of 160 mm Hg or more, or diastolic blood pressure of 110 mm Hg or more on two occasions at least 4 hours apart (unless antihypertensive therapy is initiated before this time)~Thrombocytopenia defined as: lower than 100 x 10e9 platelets/L~Impaired liver function that is not accounted for by alternative diagnoses and as indicated by abnormally elevated blood concentrations of liver enzymes (to more than twice the upper limit normal concentrations), or by severe persistent right upper quadrant or epigastric pain unresponsive to medications~Renal insufficiency (serum creatinine concentration more than 1.1 mg/dL or a doubling of the serum creatinine concentration in the absence of other renal disease)~Pulmonary edema~New-onset headache unresponsive to medication and not accounted for by alternative diagnoses~Visual disturbances~Underlying renal dysfunction defined as, presenting the following parameters prior to 20 weeks gestation: baseline creatinine, equal to or higher than, 1.2 mg/dL Or proteinuria: defined as presenting protein in urine, equal to or higher than, 300 mg/24 hours or protein/creatinine ratio, equal to or higher than, 0.3 or Urine dipstick reading of greater than or equal to 2 at baseline and in the absence of a urinary tract infection~Stage 2 chronic hypertension~Contraindications to labetalol and nifedipine XL according to the FDA package insert~Patient unable to or unwilling to adhere to management recommendations~Fetal Reasons for Study Ineligibility:~Fetal growth restriction (lower than 10th percentile) at enrollment, based on an ultrasound within 3 weeks prior to enrollment~Oligohydramnios defined by amniotic fluid deepest vertical pocket <2 cm based on an ultrasound within the 48 hours prior to enrollment~Known major structural or chromosomal abnormality"
