NCT_ID,AnyPregGPT,Preg_Only_GPT,Category,Secondary category,Pain,Summary,Certainty
NCT03528967,1,1,8. Fetal growth/IUGR/Fetal Growth Retardation,2. Hypertension/pre-eclampsia/eclampsia/HELLP syndrome,0,"This trial evaluates the effectiveness of Enoxaparin combined with Aspirin in reducing placental insufficiency in pregnant women. The inclusion criteria specifically target pregnant women with a history of intrauterine growth restriction (IUGR), severe preeclampsia, and other related conditions. Therefore, the primary category is 'Fetal growth/IUGR/Fetal Growth Retardation' and the secondary category is 'Hypertension/pre-eclampsia/eclampsia/HELLP syndrome'.",95
NCT02959840,1,1,15. C-section/caesarean,27. Nausea and vomiting during pregnancy/Morning sickness/Hyperemesis,0,"The trial compares the effectiveness of acupressure point P6 stimulation versus traditional pharmacotherapy in reducing nausea and vomiting during elective cesarean section under regional anesthesia. It exclusively enrolls pregnant individuals undergoing cesarean delivery, fitting into the categories of C-section/caesarean and nausea and vomiting during pregnancy.",95
NCT02959996,1,1,15. C-section/caesarean,None,1,"This trial investigates the use of liposomal bupivacaine to decrease post-operative pain in individuals undergoing cesarean delivery. The inclusion criteria specifically mention scheduled cesarean delivery, indicating that the trial is focused on pregnant individuals. The primary focus is on pain management post-cesarean, fitting well into the 'C-section/caesarean' category.",100
NCT03805607,1,1,15. C-section/caesarean,28. Postpartum sepsis/hemorrhage/complications,1,"The trial evaluates the effects of IV Ketorolac on platelet function post-cesarean delivery, focusing on postpartum hemorrhage and postoperative pain management. It exclusively enrolls pregnant individuals undergoing cesarean sections, making it fit into the 'C-section/caesarean' category. The study also addresses postpartum hemorrhage, justifying the secondary category. The use of NSAIDs for pain management indicates the trial evaluates a pain management intervention.",95
NCT02295280,1,1,22. Pregnancy headache/leg cramps,None,1,"The trial focuses on treating headaches in pregnant patients who are refractory to acetaminophen, using a combination of metoclopramide and diphenhydramine. The inclusion criteria specify pregnant women, and the condition being treated is headache, which falls under 'Pregnancy headache/leg cramps'. The trial evaluates a pain management intervention, hence the Pain variable is set to 1.",100
NCT03111316,1,1,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",None,0,"The trial focuses on the combined use of the controlled release dinoprostone vaginal insert and Foley catheter for cervical ripening and labor induction in term women. The primary goal is to decrease the median time from induction to vaginal delivery. The inclusion criteria specify pregnant women at term, and the exclusion criteria include conditions that could complicate labor induction. This clearly fits into the category of labor induction/labor management.",100
NCT01015807,1,1,15. C-section/caesarean,None,1,"The trial investigates the use of a transversus abdominis plane (TAP) block with Clonidine to manage postoperative pain following a cesarean section. The study exclusively enrolls non-laboring women undergoing cesarean delivery, making it specific to pregnant individuals. The primary focus is on pain management post-cesarean, fitting well into the 'C-section/caesarean' category. Pain management is a key aspect of the study.",100
NCT04718961,1,1,30. Other - maternal/parental/pregnant person disease or injury,None,0,"This study focuses on evaluating the efficacy and safety of volixibat in adult women with intrahepatic cholestasis of pregnancy (ICP) and elevated serum bile acid concentrations. The inclusion criteria specify that participants must be pregnant women aged 18-45 years with a diagnosis of ICP. Therefore, the trial is exclusively for pregnant individuals, and the primary category is 'Other - maternal/parental/pregnant person disease or injury.' There is no indication that the study involves pain management.",95
NCT03152877,1,1,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",27. Nausea and vomiting during pregnancy/Morning sickness/Hyperemesis,1,"This trial evaluates the efficacy of liposomal bupivacaine for post-partum pain management following obstetrical laceration in pregnant individuals undergoing vaginal delivery. The primary aim is to assess post-partum pain, making it relevant to labor management and pain control.",95
NCT00153517,1,1,1. Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage,21. Other infectious disease prevention/treatment (non-vaccine),0,"The study focuses on the treatment of bacterial vaginosis (BV) in pregnant women and its effects on preventing preterm delivery and maternal infectious morbidity. The primary goal is to compare the efficacy and acceptability of oral versus intravaginal metronidazole. The study exclusively enrolls pregnant women, making it relevant to the prevention of preterm labor and other pregnancy-related complications. Additionally, it addresses the treatment of an infectious disease (BV).",95
NCT02300155,1,1,27. Nausea and vomiting during pregnancy/Morning sickness/Hyperemesis,7. Nutrition supplementation/Vitamin D/folic acid (DO NOT INCLUDE IRON OR ANEMIA),0,"The study focuses on comparing the tolerability of two prenatal vitamins among pregnant women, specifically targeting those with morning sickness or other gastrointestinal conditions. This aligns with the primary category of 'Nausea and vomiting during pregnancy/Morning sickness/Hyperemesis'. The secondary category of 'Nutrition supplementation/Vitamin D/folic acid' is also relevant due to the focus on multivitamin supplementation.",95
NCT03954990,1,1,21. Other infectious disease prevention/treatment (non-vaccine),"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",0,"The trial evaluates the use of metronidazole to treat bacterial vaginosis in pregnant women at the time of delivery to reduce infectious morbidities. This fits best under 'Other infectious disease prevention/treatment (non-vaccine)' as it focuses on treating an infection. A secondary category of 'Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)' is also relevant due to the focus on women admitted for labor.",95
NCT00805545,1,1,15. C-section/caesarean,21. Other infectious disease prevention/treatment (non-vaccine),0,"The study focuses on the timing of antibiotic prophylaxis to prevent postpartum infectious morbidities in women undergoing cesarean delivery. It exclusively enrolls pregnant individuals undergoing cesarean delivery, making it fit well into the 'C-section/caesarean' category. The secondary category is 'Other infectious disease prevention/treatment (non-vaccine)' because the primary aim is to prevent infections.",95
NCT03921177,1,0,7. Nutrition supplementation/Vitamin D/folic acid (DO NOT INCLUDE IRON OR ANEMIA),1. Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage,0,"The trial evaluates the efficacy of multiple micronutrient supplementation in reducing low birth weight and other adverse pregnancy outcomes, which fits well under 'Nutrition supplementation/Vitamin D/folic acid'. The focus on preterm birth also aligns with 'Prevention of pre-term labor/premature birth/preterm delivery'.",95
NCT02922985,1,1,15. C-section/caesarean,17. Opioid use disorder/Substance use disorder/OUD/SUD,1,"The trial investigates a multimodal pain management strategy for postoperative pain after cesarean delivery (CD) to reduce opioid use. It exclusively enrolls pregnant individuals undergoing elective CD, making it relevant to the category of C-section/caesarean. The focus on reducing opioid use also fits well with the category of Opioid use disorder/Substance use disorder/OUD/SUD. The trial evaluates pain management interventions, hence the Pain variable is set to 1.",100
NCT03620890,1,1,9. Diabetes (Type I or Type II ONLY),None,0,"This trial evaluates the effectiveness of detemir versus NPH in pregnant women with Type 2 Diabetes Mellitus (T2DM). The inclusion criteria specify preexisting type 2 diabetes mellitus and pregnancy, indicating that only pregnant individuals are enrolled. The primary focus is on diabetes management, fitting the category of 'Diabetes (Type I or Type II ONLY)'. There is no indication of pain management in the trial.",100
NCT00185887,1,1,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",None,0,"The trial compares nitroglycerin and terbutaline for intrapartum fetal heart rate resuscitation, which falls under labor management. The inclusion criteria specify nonreassuring fetal heart rate tracing, indicating it is related to labor and delivery management.",95
NCT00957593,1,1,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",15. C-section/caesarean,0,"This trial investigates the use of oxytocin for labor induction and its impact on the rate of cesarean delivery. It exclusively involves pregnant women and focuses on labor management and delivery outcomes, fitting well into the categories of labor induction and cesarean delivery.",95
NCT02852434,1,1,34. Abortion/Fetal Demise/Dilation and Evacuation/Dilation and Curettage,None,1,"The trial evaluates the use of self-administered lidocaine gel for pain control during cervical preparation for dilation and evacuation (D&E), which is a procedure related to abortion or fetal demise. The inclusion criteria specify intrauterine pregnancy ≥16 weeks gestation, indicating that the trial is specifically for pregnant individuals. Pain management is a key focus of the study.",100
NCT02913495,1,1,1. Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage,None,0,"The study evaluates the effectiveness of vaginal versus intramuscular progesterone in preventing recurrent preterm birth in pregnant women with a history of spontaneous preterm birth. The inclusion criteria specifically target pregnant women, and the primary condition being studied is premature birth.",100
NCT01127581,1,1,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",None,0,"The trial focuses on comparing the efficacy and safety of two vaginal inserts for reducing the time to vaginal delivery in pregnant women at term. It specifically targets labor induction and cervical ripening, which are key aspects of labor management.",100
NCT00409591,1,1,"3. HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria)",None,0,"This study focuses on the prevention of mother-to-child transmission of HIV-1 by comparing different antiretroviral regimens. It exclusively enrolls pregnant women, making it a clear fit for the category 'HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria)'. There is no indication that the study involves pain management.",100
NCT00224419,1,1,20. Smoking cessation,None,0,"This trial focuses on testing pharmacological therapies for smoking cessation specifically among pregnant smokers. The inclusion criteria explicitly require participants to be pregnant, and the study aims to evaluate the effectiveness of nicotine replacement therapies (NRT) as part of prenatal care. Therefore, it fits best under the category of 'Smoking cessation.' There is no indication that the trial involves pain management.",100
NCT00097110,1,1,2. Hypertension/pre-eclampsia/eclampsia/HELLP syndrome,7. Nutrition supplementation/Vitamin D/folic acid (DO NOT INCLUDE IRON OR ANEMIA),0,"The trial aims to test the effectiveness of antioxidant therapy (vitamin C and vitamin E) in preventing preeclampsia among pregnant women with chronic hypertension or a history of preeclampsia/eclampsia. The primary focus is on preeclampsia and related hypertensive disorders, but it also involves nutritional supplementation.",95
NCT01146457,1,1,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",17. Opioid use disorder/Substance use disorder/OUD/SUD,1,"The trial aims to determine the optimal dosage of intrathecal morphine for peripartum analgesia, specifically targeting labor pain management in pregnant individuals. The inclusion criteria focus on women in active labor, and the study evaluates a pain management drug (morphine). Therefore, the primary category is labor management, and a secondary category is opioid use disorder due to the focus on morphine dosage.",95
NCT02133573,1,1,30. Other - maternal/parental/pregnant person disease or injury,29. Other - infant disease or injury,0,"The trial involves administering progesterone to pregnant women to protect the brain of unborn babies with congenital heart disease (CHD) and improve their neurodevelopmental outcomes after heart surgery. The primary focus is on maternal and fetal health, specifically related to CHD and neurodevelopmental outcomes.",95
NCT02891174,1,1,2. Hypertension/pre-eclampsia/eclampsia/HELLP syndrome,28. Postpartum sepsis/hemorrhage/complications,1,"The trial assesses the effect of ibuprofen on postpartum blood pressure in women with gestational hypertension or preeclampsia, indicating it is focused on hypertensive disorders of pregnancy. The inclusion criteria specify pregnant women, making it a pregnancy-only trial. The use of ibuprofen for pain management is also noted.",95
NCT00398684,1,1,"3. HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria)",None,0,"The study assesses the efficacy of nevirapine (NVP) in addition to standard zidovudine (ZDV) prophylaxis for preventing mother-to-child transmission of HIV-1. The trial exclusively enrolls pregnant women, making it a PMTCT study. There is no indication of pain management intervention.",100
NCT01011634,1,1,34. Abortion/Fetal Demise/Dilation and Evacuation/Dilation and Curettage,None,1,"This trial evaluates pain management strategies (intravenous vs. oral/sublingual) for first-trimester surgical abortions, which involves pregnant individuals. The primary focus is on abortion procedures, fitting the category of 'Abortion/Fetal Demise/Dilation and Evacuation/Dilation and Curettage.' Pain management is a key aspect of the study, hence the 'Pain' variable is set to 1.",100
NCT02027272,1,1,2. Hypertension/pre-eclampsia/eclampsia/HELLP syndrome,None,0,"This trial evaluates the efficacy of IV dexamethasone in treating Posterior Reversible Encephalopathy Syndrome (PRES) in eclamptic patients. The inclusion criteria specify that participants must be currently pregnant or within 6 weeks postpartum, indicating that the trial is exclusively for pregnant or recently postpartum individuals. The primary condition being studied is eclampsia, which falls under the category of hypertension/pre-eclampsia/eclampsia/HELLP syndrome. There is no indication that the trial focuses on pain management.",100
NCT01844206,1,1,15. C-section/caesarean,None,1,"The trial aims to assess the analgesic effect of a two-dose epidural morphine regimen for post-cesarean pain, specifically targeting women undergoing cesarean section. The primary outcome is related to pain management, making it relevant to both C-section/caesarean and pain management categories.",100
NCT00067340,1,1,29. Other - infant disease or injury,None,0,"The trial focuses on preventing the transmission of dental caries from pregnant Alaska Native mothers to their infants using chlorhexidine mouth rinse and xylitol-sweetened chewing gum. The primary category is 'Other - infant disease or injury' because the intervention aims to prevent a condition (dental caries) in infants. Pregnant individuals are the only participants, so 'Preg_Only_GPT' is 1.",95
NCT03476083,1,1,"3. HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria)",None,0,"This study investigates the use of Tenofovir Disoproxil Fumarate (TDF) in combination with hepatitis B vaccination to prevent mother-to-child transmission (MTCT) of hepatitis B in highly viremic mothers. The trial exclusively enrolls pregnant individuals, aiming to reduce MTCT rates without the use of hepatitis B immune globulin (HBIg). The primary focus is on preventing infectious disease transmission from mother to child, fitting well under the category of HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria).",95
NCT04299438,1,1,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",15. C-section/caesarean,0,"The trial focuses on the management of prolonged labor using propranolol and compares cesarean delivery rates, which directly relates to labor management and delivery. The inclusion criteria specify pregnant individuals, making it a pregnancy-only trial. The secondary category is C-section/caesarean due to the focus on cesarean delivery rates.",95
NCT00639938,1,1,"3. HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria)",None,0,"This trial investigates the effectiveness of nevirapine (NVP) plus immunoprophylaxis or extended NVP dosing regimens in HIV-infected pregnant women and their infants during the perinatal period. The primary focus is on preventing maternal-infant HIV transmission, which fits well under the category of 'HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria)'. Pregnant individuals are the only participants, and there is no mention of pain management.",100
NCT01190163,1,1,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",None,0,"This trial compares the effectiveness and safety of dinoprostone vaginal pessary vs. oxytocin for cervical ripening in pregnant women requiring induction of labor. The inclusion criteria specify pregnant women at 38 or more weeks of gestation, indicating that the trial is focused on labor management. The trial does not involve pain management drugs or interventions.",100
NCT01634854,1,1,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",None,0,"The study compares the effectiveness of vaginal misoprostol and intravenous oxytocin for labor induction in multiparous women at term. It involves pregnant individuals exclusively, focusing on labor induction and management.",100
NCT00074399,1,0,"3. HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria)",None,0,"The trial focuses on preventing maternal-infant HIV transmission through breastfeeding by administering nevirapine to infants of HIV-infected mothers. Pregnant individuals can enroll, but the trial is not exclusively for pregnant individuals. The primary category is HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria) as it aims to reduce HIV transmission from mother to child.",100
NCT02726490,1,1,10. Gestational diabetes,None,0,"The trial focuses on comparing glyburide to glucovance in the management of gestational diabetes, specifically enrolling pregnant individuals with gestational diabetes and excluding those with pre-existing diabetes or other conditions. This fits well under the category of 'Gestational diabetes'.",100
NCT01050647,1,1,1. Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage,None,0,"The trial investigates the use of 17-hydroxyprogesterone caproate to delay delivery in women with pre-term, premature rupture of membranes (PPROM). This directly relates to the prevention of pre-term labor and premature birth. The trial exclusively enrolls pregnant individuals.",100
NCT02806024,1,1,15. C-section/caesarean,28. Postpartum sepsis/hemorrhage/complications,0,"The trial focuses on the use of tranexamic acid to reduce blood loss during high-risk surgical procedures related to placenta previa and accreta, which are conditions that can lead to postpartum hemorrhage. The study exclusively enrolls pregnant women, making it a pregnancy-only trial. The primary category is C-section/caesarean due to the surgical context, and the secondary category is postpartum sepsis/hemorrhage/complications due to the focus on reducing blood loss.",95
NCT00275158,1,1,2. Hypertension/pre-eclampsia/eclampsia/HELLP syndrome,8. Fetal growth/IUGR/Fetal Growth Retardation,0,"The trial focuses on the use of L-arginine therapy to treat pre-eclampsia, a condition that complicates pregnancies and can lead to fetal growth retardation and premature birth. The study exclusively enrolls pregnant women diagnosed with pre-eclampsia, aiming to assess kidney dysfunction and blood pressure. The primary category is hypertension/pre-eclampsia/eclampsia/HELLP syndrome, with a secondary category of fetal growth/IUGR due to the mention of fetal growth retardation.",95
NCT04158713,1,1,5. Malaria (with or without HIV),"3. HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria)",0,"This trial evaluates the safety and efficacy of malaria chemoprevention with monthly dihydroartemisinin-piperaquine (DP) in HIV-infected pregnant women on daily cotrimoxazole (CTX) and dolutegravir (DTG)-based combination antiretroviral therapy (cARTs). The study focuses on pregnant women, making it a pregnancy-only trial. The primary focus is on malaria prevention, with a secondary focus on HIV prevention of mother-to-child transmission.",95
NCT00004840,1,1,1. Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage,None,0,"The trial assesses the efficacy and safety of antenatal administration of thyrotropin-releasing hormone to women in premature labor to improve pulmonary outcomes in preterm infants. It specifically targets pregnant women in active labor with 24-29 weeks gestation, which fits the category of prevention of pre-term labor/premature birth. There is no indication of pain management intervention.",95
NCT00120471,1,1,"3. HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria)",None,0,"The trial focuses on the safety and pharmacokinetics of Tenofovir Disoproxil Fumarate in HIV-1 infected pregnant women and their infants, aiming to prevent mother-to-child transmission of HIV. The inclusion criteria specifically target pregnant women, and the study's primary goal aligns with the prevention of mother-to-child transmission of HIV.",100
NCT04733157,1,1,15. C-section/caesarean,28. Postpartum sepsis/hemorrhage/complications,0,"This study evaluates the efficacy of tranexamic acid in preventing postpartum hemorrhage after caesarean section. It exclusively enrolls pregnant women undergoing caesarean delivery, aiming to address a major cause of maternal mortality. The primary category is C-section/caesarean, with a secondary focus on postpartum hemorrhage complications.",95
NCT02793622,1,0,5. Malaria (with or without HIV),None,0,"This trial focuses on the prevention of malaria in HIV-uninfected pregnant women and their infants. The study involves two treatment arms with different malaria preventive medications. Pregnant women are the primary participants, but the trial also follows the children born to these women. The primary condition being addressed is malaria, and there is no indication of pain management being a focus of the study.",100
NCT02722356,1,1,15. C-section/caesarean,28. Postpartum sepsis/hemorrhage/complications,0,"This study focuses on the implementation of a new oxytocin protocol for the prevention of postpartum hemorrhage in non-emergent cesarean sections. It involves pregnant women undergoing elective cesarean sections, making it relevant to the category of C-section/caesarean. The primary and secondary outcomes are related to uterine tone, blood loss, and oxytocin side effects, which are complications that can occur postpartum, justifying the secondary category of Postpartum sepsis/hemorrhage/complications.",95
NCT00310921,1,1,34. Abortion/Fetal Demise/Dilation and Evacuation/Dilation and Curettage,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",1,"The trial involves the use of misoprostol prior to elective first trimester pregnancy termination, focusing on its effects on pain, ease of procedure, and complications. It exclusively enrolls pregnant individuals seeking termination, fitting the category of abortion-related studies. The use of misoprostol for cervical priming also aligns with labor induction/management. Pain management is a key focus of the study.",95
NCT00121329,1,0,34. Abortion/Fetal Demise/Dilation and Evacuation/Dilation and Curettage,None,1,The trial investigates the use of intrauterine lidocaine infusion for pain management during first trimester abortions. It includes pregnant individuals and focuses on pain reduction during abortion procedures.,100
NCT05832502,1,1,23. GBS,"4. HIV (non-PMTCT, NO malaria, NO tuberculosis)",0,"This trial investigates the safety and immunogenicity of a GBS vaccine in pregnant women, including those with HIV. The inclusion criteria specifically target pregnant women, and the study aims to prevent GBS infection, which is why it falls under the GBS category. The secondary category is HIV (non-PMTCT) because it includes HIV-positive pregnant women but does not focus on mother-to-child transmission prevention.",95
NCT00386230,1,1,"3. HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria)",None,0,"The trial focuses on preventing mother-to-child transmission of HIV using zidovudine (ZDV) regimens. It exclusively enrolls pregnant women with HIV, aiming to compare the efficacy and safety of different ZDV regimens. The study does not involve pain management.",100
NCT00293644,1,1,27. Nausea and vomiting during pregnancy/Morning sickness/Hyperemesis,None,0,"The trial focuses on the pre-emptive use of Diclectin® to reduce severe nausea and vomiting of pregnancy (NVP) and hyperemesis gravidarum (HG). The inclusion criteria specifically target pregnant women, and the study aims to address a condition unique to pregnancy.",100
NCT03967288,1,0,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",30. Other - maternal/parental/pregnant person disease or injury,1,"The trial involves evaluating the effectiveness of chloroprocaine versus bupivacaine for spinal anesthesia in various obstetric procedures, which are related to labor management and other delivery processes. The inclusion criteria allow pregnant individuals, but the trial is not exclusively for them. Pain management is a key focus of the study.",95
NCT05996549,1,0,11. Vaccination,None,0,"This study focuses on the acceptability, cost-effectiveness, and capacity of a facility-based seasonal influenza vaccination program in Bangladesh. It includes pregnant individuals among other high-risk groups, but does not exclusively enroll pregnant people. The primary focus is on vaccination, making '11. Vaccination' the best category. There is no indication of pain management being evaluated.",95
NCT02693028,1,1,30. Other - maternal/parental/pregnant person disease or injury,None,0,"The trial investigates the effects of Lactobacillus Reuteri on pregnant women and their newborns, focusing on the presence of the probiotic in maternal and infant compartments and its impact on inflammation levels. The study exclusively enrolls pregnant women, making it a pregnancy-specific trial. The primary focus is on maternal and infant health, fitting best under 'Other - maternal/parental/pregnant person disease or injury.'",95
NCT00270296,1,1,"3. HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria)",None,0,"This study focuses on the prevention of mother-to-child transmission (PMTCT) of HIV among pregnant women in Botswana. It compares the efficacy of two anti-HIV drug regimens in reducing HIV-1 viral load and preventing MTCT. The inclusion criteria specifically target HIV-infected pregnant women, confirming that the trial is exclusively for pregnant individuals.",100
NCT00185900,1,1,1. Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage,None,0,"The trial compares magnesium sulfate to nifedipine for acute tocolysis of preterm labor, which directly relates to the prevention of pre-term labor and premature birth. The inclusion criteria specify preterm gestation with uterine contractions and cervical change or ruptured membranes, indicating that only pregnant individuals are enrolled.",100
NCT01139801,1,1,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",None,0,"The trial investigates the efficacy of misoprostol versus oxytocin for cervical ripening in conjunction with a Foley balloon for induction of labor. The inclusion criteria specify that participants must be undergoing an indicated induction of labor, which is a labor management intervention. Therefore, the primary category is 'Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)'. The trial exclusively enrolls pregnant individuals, so 'AnyPregGPT' and 'Preg_Only_GPT' are both set to 1. There is no indication that the trial evaluates a pain management drug or intervention, so 'Pain' is set to 0.",100
NCT01457521,1,1,34. Abortion/Fetal Demise/Dilation and Evacuation/Dilation and Curettage,None,1,"This trial focuses on pain control in first trimester medical abortion, specifically comparing two oral analgesic regimens in pregnant women undergoing medical abortion with mifepristone and misoprostol. The primary outcome is pain, and the inclusion criteria specify pregnant women seeking medical abortion.",100
NCT02105558,1,1,15. C-section/caesarean,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",1,"This trial compares the effects of epidural versus combined spinal and epidural anesthesia on the success of Trial of Labor After Cesarean (TOLAC). It involves pregnant individuals undergoing labor and delivery, specifically focusing on those with a history of cesarean section. The primary category is C-section/caesarean, with a secondary category of labor induction/labor management. Pain management is a key aspect of the study.",95
NCT04680221,1,1,15. C-section/caesarean,17. Opioid use disorder/Substance use disorder/OUD/SUD,1,"The trial investigates the use of a transversus abdominis block using liposome bupivacaine suspension to reduce opioid use after cesarean delivery, which is a common procedure among pregnant individuals. The primary focus is on pain management and reducing opioid exposure post-operatively. The trial exclusively enrolls pregnant individuals undergoing cesarean delivery, making it relevant to both C-section/caesarean and opioid use disorder categories.",95
NCT00086177,1,1,1. Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage,None,0,"This study focuses on the prevention of preterm delivery in pregnant women at increased risk, using 8% progesterone vaginal gel. The inclusion criteria specifically target pregnant women with a history of preterm delivery or a short cervical length, and the study aims to prevent preterm labor. Therefore, it fits best under the category of 'Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage.' There is no indication that the study involves pain management.",100
NCT02277782,1,1,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",None,1,"The trial evaluates the effect of intrathecal hydromorphone on labor analgesia and temperature increase in laboring parturients. It exclusively enrolls pregnant individuals at term gestation, focusing on labor management and pain relief.",100
NCT03438227,1,1,6. Anemia,None,0,"The trial focuses on treating iron-deficiency anemia in pregnant women using parenteral iron compared to oral iron. It exclusively enrolls pregnant individuals, making it a pregnancy-only trial. The primary condition being addressed is anemia, specifically iron-deficiency anemia.",100
NCT00383942,1,1,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",15. C-section/caesarean,0,"This trial compares the effect of misoprostol vs extra amniotic saline infusion via a catheter (EASI) for cervical ripening on the proportion of patients delivered by cesarean section for fetal intolerance of labor versus vaginal delivery. It involves pregnant individuals undergoing labor induction, making it fit well under 'Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)' with a secondary category of 'C-section/caesarean'.",95
NCT00486824,1,1,1. Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage,None,0,"This trial compares the efficacy and adverse outcomes of oral nifedipine versus oral indomethacin for preterm labor tocolysis. The study involves pregnant individuals diagnosed with preterm labor, aiming to identify the most effective drug for preventing preterm delivery. The inclusion criteria specify pregnant individuals with certain gestational conditions, and the exclusion criteria rule out those with contraindications to the medications or tocolysis.",100
NCT03074695,1,1,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",None,1,"This trial focuses on comparing two techniques for labor analgesia in morbidly obese patients, specifically targeting labor pain management. The study involves pregnant women admitted for vaginal delivery, making it relevant to labor management. Pain management is a primary focus, as indicated by the evaluation of pain scores and analgesia effectiveness.",95
NCT00126906,1,1,5. Malaria (with or without HIV),"3. HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria)",0,"The trial focuses on the prevention of malaria during pregnancy using sulfadoxine-pyrimethamine intermittent protective treatment among HIV-positive and HIV-negative women. The study compares a two-dose regimen to a monthly regimen to determine efficacy in preventing placental malaria. The inclusion criteria specify pregnant women, making it clear that the trial is exclusively for pregnant individuals. The primary category is malaria prevention, with a secondary focus on HIV prevention.",95
NCT01004029,1,1,1. Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage,None,0,"This study focuses on the prevention of preterm birth in women with a previous singleton spontaneous preterm delivery using hydroxyprogesterone caproate (HPC). The inclusion criteria specifically target pregnant women, and the primary condition being studied is preterm birth, which fits well into the category of 'Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage.' There is no indication that the study involves pain management.",100
NCT00333307,1,1,2. Hypertension/pre-eclampsia/eclampsia/HELLP syndrome,None,0,"The trial focuses on evaluating the safety of recombinant human relaxin in women with severe preeclampsia, which is a condition related to hypertension during pregnancy. The inclusion criteria specify a diagnosis of preeclampsia, and the study exclusively enrolls pregnant individuals.",100
NCT00135707,1,1,2. Hypertension/pre-eclampsia/eclampsia/HELLP syndrome,7. Nutrition supplementation/Vitamin D/folic acid (DO NOT INCLUDE IRON OR ANEMIA),0,"The trial focuses on preventing preeclampsia, a common pregnancy complication characterized by high blood pressure and protein in the urine. It involves a randomized clinical trial and an observational cohort study, both enrolling pregnant women. The intervention includes vitamin C and E supplementation, which fits under nutrition supplementation. The primary category is hypertension/pre-eclampsia due to the focus on preeclampsia prevention.",95
